"method","exper","id.exper","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4"
"vol","2","A1-E2",0,0,0,0,0,0
"vol","2","A1-E2",0,0,0,0,0,0
"vol","2","A1-E2",1.00486111111111,0.547,719.061209977331,394.105565189683,719.061209977331,394.105565189683
"vol","2","A1-E2",1.00486111111111,0.547,719.061209977331,394.105565189683,719.061209977331,394.105565189683
"vol","2","A1-E2",1.82152777777778,0.5017,719.061209977331,361.539184362705,1438.12241995466,755.644749552388
"vol","2","A1-E2",1.82152777777778,0.5017,719.061209977331,361.539184362705,1438.12241995466,755.644749552388
"vol","2","A1-E2",2.97916666666667,0.5491,408.681624404838,224.84951073286,1846.8040443595,980.494260285248
"vol","2","A1-E2",2.97916666666667,0.5491,408.681624404838,224.84951073286,1846.8040443595,980.494260285248
"vol","2","A1-E2",4.62291666666667,0.5491,236.653056448236,130.202389288516,2083.45710080774,1110.69664957376
"vol","2","A1-E2",4.62291666666667,0.5491,236.653056448236,130.202389288516,2083.45710080774,1110.69664957376
"vol","2","A1-E2",6.75208333333333,0.565,167.47754764029,94.8047813189758,2250.93464844803,1205.50143089274
"vol","2","A1-E2",6.75208333333333,0.565,167.47754764029,94.8047813189758,2250.93464844803,1205.50143089274
"vol","2","A1-E2",11.1263888888889,0.5654,182.040812652489,103.121449814773,2432.97546110051,1308.62288070751
"vol","2","A1-E2",11.1263888888889,0.5654,182.040812652489,103.121449814773,2432.97546110051,1308.62288070751
"vol","2","A1-E2",14.7868055555556,0.5689,86.4693860099322,49.2851523874259,2519.44484711045,1357.90803309494
"vol","2","A1-E2",14.7868055555556,0.5689,86.4693860099322,49.2851523874259,2519.44484711045,1357.90803309494
"vol","2","A1-E2",20.0701388888889,0.5721,88.2897941364571,50.6050863932596,2607.7346412469,1408.5131194882
"vol","2","A1-E2",20.0701388888889,0.5721,88.2897941364571,50.6050863932596,2607.7346412469,1408.5131194882
"vol","2","A1-E2",31.0743055555556,0.5813,111.955099781281,65.1986276971934,2719.68974102818,1473.71174718539
"vol","2","A1-E2",31.0743055555556,0.5813,111.955099781281,65.1986276971934,2719.68974102818,1473.71174718539
"grav","2","A1-E2",1.00486111111111,0.547,665.073521778157,364.515805547815,665.073521778157,364.515805547815
"grav","2","A1-E2",1.00486111111111,0.547,665.073521778157,364.515805547815,665.073521778157,364.515805547815
