"id.exper","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"A1-E2",0,0,0,0,0,0,NA,NA
"A1-E2",1.00486111111111,0.547,719.061209977331,394.105565189683,719.061209977331,394.105565189683,715.582683045858,392.199042068517
"A1-E2",1.82152777777778,0.5017,719.061209977331,361.539184362705,1438.12241995466,755.644749552388,880.483114257957,442.701042076781
"A1-E2",2.97916666666667,0.5491,408.681624404838,224.84951073286,1846.8040443595,980.494260285248,353.030317422295,194.231131046982
"A1-E2",4.62291666666667,0.5491,236.653056448236,130.202389288516,2083.45710080774,1110.69664957376,143.971441185238,79.2105790348385
"A1-E2",6.75208333333333,0.565,167.47754764029,94.8047813189758,2250.93464844803,1205.50143089274,78.65873078996,44.5267074687949
"A1-E2",11.1263888888889,0.5654,182.040812652489,103.121449814773,2432.97546110051,1308.62288070751,41.6159343101419,23.5743590622754
"A1-E2",14.7868055555556,0.5689,86.4693860099322,49.2851523874259,2519.44484711045,1357.90803309494,23.6228260015751,13.4643558030532
"A1-E2",20.0701388888889,0.5721,88.2897941364571,50.6050863932596,2607.7346412469,1408.5131194882,16.7110020447553,9.57824979052233
"A1-E2",31.0743055555556,0.5813,111.955099781281,65.1986276971934,2719.68974102818,1473.71174718539,10.1738826003436,5.92490369077108
"A2-E2",0,0,0,0,0,0,NA,NA
"A2-E2",1.00486111111111,0.5596,694.485700269245,389.382534358252,694.485700269245,389.382534358252,691.126059701253,387.498859347535
"A2-E2",1.82152777777778,0.5113,747.277535938467,382.899587212313,1441.76323620771,772.282121570565,915.033717475674,468.856637402833
"A2-E2",2.97916666666667,0.5455,395.028563455901,215.916326575044,1836.79179966361,988.198448145609,341.236431539591,186.514403280182
"A2-E2",4.62291666666667,0.5511,245.75509708086,135.701466019366,2082.54689674447,1123.89991416497,149.508804307748,82.5560249547473
"A2-E2",6.75208333333333,0.5569,171.11836389334,95.4804413433066,2253.66526063781,1219.38035550828,80.3687031984374,44.8440429009659
"A2-E2",11.1263888888889,0.5623,174.759180146389,98.4551433880755,2428.4244407842,1317.83549889636,39.9512969377363,22.5076054101966
"A2-E2",14.7868055555556,0.563773375262055,91.0204063262445,51.4127531762637,2519.44484711045,1369.24825207262,24.866132633237,14.0456013230544
"A2-E2",20.0701388888889,0.5659,84.6489778834073,47.99377415698,2604.09382499385,1417.2420262296,16.0218885583736,9.08399510857667
"A2-E2",31.0743055555556,0.5771,121.967344477168,70.5174935669637,2726.06116947102,1487.75951979656,11.0837420198865,6.40825386447228
"A3-E2",0,0,0,0,0,0,NA,NA
"A3-E2",1.00486111111111,0.5691,645.334680853073,367.951862592025,645.334680853073,367.951862592025,642.212813012042,366.171860492409
"A3-E2",1.82152777777778,0.5201,689.934679952933,359.588086363672,1335.26936080601,727.539948955697,844.817975452571,440.311942486129
"A3-E2",2.97916666666667,0.5406,354.979584672353,192.287455222226,1690.24894547836,919.827404177923,306.641032950323,166.103140683866
"A3-E2",4.62291666666667,0.5454,218.448975182987,119.378897478511,1908.69792066135,1039.20630165643,132.89671494022,72.6259452340751
"A3-E2",6.75208333333333,0.5524,147.453058248516,81.612480932668,2056.15097890986,1120.8187825891,69.2538825433343,38.3307151151474
"A3-E2",11.1263888888889,0.5598,163.83673138724,91.8923256878985,2219.9877102971,1212.711108277,37.4543408791278,21.007294648448
"A3-E2",14.7868055555556,0.5636,81.91836569362,46.2572832167715,2301.90607599072,1258.96839149377,22.3795193699133,12.6371633147697
"A3-E2",20.0701388888889,0.5651,72.8163250609956,41.2267475950366,2374.72240105172,1300.19513908881,13.7822697276332,7.80316989180504
"A3-E2",31.0743055555556,0.5778,95.5714266425567,55.3230993401923,2470.29382769427,1355.518238429,8.68502173200061,5.02746832322839
"B1-E2",0,0,0,0,0,0,NA,NA
"B1-E2",1.00486111111111,0.4762,919.306103895069,438.776522995924,919.306103895069,438.776522995924,914.858873261161,436.653899871549
"B1-E2",1.82152777777778,0.4706,836.477534138187,394.557850855599,1755.78363803326,833.334373851523,1024.25820506717,483.132062272162
"B1-E2",2.97916666666667,0.5737,467.844888516897,268.902858854134,2223.62852655015,1102.23723270566,404.137156247349,232.285612927386
"B1-E2",4.62291666666667,0.5773,227.551015815611,131.607967268234,2451.17954236576,1233.84519997389,138.434078062729,80.0656835091919
"B1-E2",6.75208333333333,0.5856,136.530609489367,80.0971721066346,2587.71015185513,1313.94237208053,64.1239653179022,37.6190240813939
"B1-E2",11.1263888888889,0.578,150.183670438303,86.9663150977491,2737.89382229343,1400.90868717828,34.3331458058671,19.8811706208539
"B1-E2",14.7868055555556,0.5908,79.1877535038327,46.8678166823124,2817.08157579727,1447.77650386059,21.6335353909161,12.8039567487251
"B1-E2",20.0701388888889,0.5817,84.6489778834073,49.3303586856317,2901.73055368067,1497.10686254622,16.0218885583736,9.33697640737508
"B1-E2",31.0743055555556,0.5888,121.967344477168,71.9434698679542,3023.69789815784,1569.05033241417,11.0837420198865,6.53783898837903
"B2-E2",0,0,0,0,0,0,NA,NA
"B2-E2",1.00486111111111,0.474,803.710187860739,381.835094351344,803.710187860739,381.835094351344,799.822163455054,379.98793079885
"B2-E2",1.82152777777778,0.478,793.697943164852,380.253814931783,1597.40813102559,762.088909283128,971.875032446757,465.616916243
"B2-E2",2.97916666666667,0.5701,409.5918284681,233.947194182473,2006.99995949369,996.036103465601,353.816576481142,202.0899577821
"B2-E2",4.62291666666667,0.5723,203.885710170788,116.901981641592,2210.88566966448,1112.93808510719,124.036933944205,71.1190762838584
