"descrip","exper","elapsed.time","mean.vol","sd.vol","mean.grav","sd.grav","mean.man","sd.man","mean.gd","sd.gd"
"C",1,0,135.157871862496,2.54901367352449,0,0,119.841616866989,2.39183986795436,129.874739831756,33.9158511173778
"C",1,1.29236111111111,260.83661757642,84.9243886610969,90.6934292506938,82.7299045344381,231.626804355042,78.8585553471933,263.69626323819,100.019104580533
"C",1,2.08472222222222,342.087365150632,85.3212637711172,175.298828350882,91.6733922806065,302.518438941754,76.7506241694267,334.269331537408,115.262217559483
"C",1,3.17777777777778,398.76252613926,82.1726007856571,218.821450627079,93.7636119095894,353.156124742054,73.3004601488387,400.329049981852,104.814174177832
"C",1,4.78402777777778,441.702947601566,81.5751549918261,268.567105081901,95.0497554483366,391.472701751038,71.7833286648916,433.552300162504,101.372197886773
"C",1,7.85625,469.58670192844,81.2849461372008,302.222374639761,95.8122168668291,419.072125347546,71.2355081654795,454.32283233633,81.4321171573997
"C",1,12.7847222222222,488.038794798542,81.6760842414678,310.684410004033,95.0320395730074,436.881720278175,71.1651156344136,486.418732161605,84.8314343110736
"C",1,20.8923611111111,507.818064045026,83.0812607877935,333.967370869674,88.506754593865,456.945584411493,70.8117644548765,520.144208438936,75.0270337873594
"C",1,29.8520833333333,520.722604886505,82.2530734334582,341.027917173807,87.6794658913891,469.569706633394,69.6935429197084,534.049298874537,83.3754519233887
"Cellulose",1,0,0.510047137574414,1.7205930597657,0,0,0.741363636195401,1.18820324770292,16.8062881785307,27.2785487658426
"Cellulose",1,1.29236111111111,115.337854369733,3.73283585801963,98.5780812616571,27.3849891867773,102.532269526707,2.70541907309448,144.523815649051,29.3653681741399
"Cellulose",1,2.08472222222222,228.964620852214,4.18987202467994,212.758082754584,9.73989114446009,206.392131603057,2.54674867725172,268.637095667709,37.7110241578964
"Cellulose",1,3.17777777777778,290.130169214801,5.24661144616587,259.341994665119,16.6131619908728,261.670324662783,2.95491642235219,355.112429941598,38.3507878566518
"Cellulose",1,4.78402777777778,336.209138508849,6.0307488748308,310.161373681503,17.048981280227,302.92920875474,3.9118264452967,391.579333724228,39.4102679489351
"Cellulose",1,7.85625,363.236658560616,8.78823427713941,329.320057274386,18.9970925614881,330.831841101227,5.12879311452748,418.893550632168,43.373508604765
"Cellulose",1,12.7847222222222,357.921431163989,21.4677832904021,337.746552955064,10.3829659297602,337.297460041063,5.38960873487634,372.06698120928,87.6158339245167
"Cellulose",1,20.8923611111111,355.795114724566,21.8503112216712,346.039294032255,16.4455069363971,328.852683752479,26.6184349997099,412.98968587835,71.2596716754087
"Cellulose",1,29.8520833333333,363.129239566041,22.1221288098471,348.054228788911,14.6225878662666,336.452026685705,26.5692680060077,418.731513812791,84.7208818281877
"Ethanol",1,0,46.6677589655775,2.87430027535029,0,0,41.0048773397789,2.80184342559785,47.742231835081,24.5675684312589
"Ethanol",1,1.29236111111111,187.915040112414,53.230020642323,79.6596575289591,73.7497885861863,170.682963209647,51.5114353098911,181.660862266191,52.7939243211422
"Ethanol",1,2.08472222222222,434.657731585632,65.598257976138,331.32958199916,113.258450066825,398.64439550818,64.6069092986919,434.253975826237,67.4164246688159
"Ethanol",1,3.17777777777778,650.168458007572,54.3656232152038,557.441206191095,79.8245032801834,598.643924229593,52.3842210268087,654.419965868929,86.8873058225503
"Ethanol",1,4.78402777777778,674.642575908416,57.0417477937234,600.081632726468,45.0940583525332,617.474616809216,52.8433854799054,660.846157420656,109.551366211628
"Ethanol",1,7.85625,682.709607542445,61.0915918715866,601.429734506616,74.5378354082495,625.158516472033,55.9994446172965,650.282600249846,112.075637897477
"Ethanol",1,12.7847222222222,686.369278519834,65.8175770658024,589.803883807843,73.2396361311294,628.910085083612,60.2298282680321,672.588293862458,119.93464395807
"Ethanol",1,20.8923611111111,684.003848297854,81.8974349217057,603.951913650143,74.7630502279112,627.699705001002,74.9713452641875,669.163334778428,131.796965379585
"Ethanol",1,29.8520833333333,683.110561811863,94.0055506609678,607.36260215381,66.7249956871787,626.825266160909,86.5995794209797,657.412692623667,156.322165638352
"A",2,0,118.641920190863,2.48224356748568,0,0,111.661110327254,1.52807807418912,106.462586604989,7.14929994500545
"A",2,0.816666666666667,234.51317918003,7.9760754543092,114.070508784587,8.68687105407892,223.243278965852,5.52861782740554,219.457937609562,5.82683500121635
"A",2,1.97430555555556,296.628972554762,6.03493131260888,169.472273220396,3.45188846412725,281.863161575246,2.16712867835492,285.124347401598,15.5269396988701
"A",2,3.61805555555556,329.972337860052,6.11262993723652,207.70981114718,7.15308305060181,314.780146334414,2.1571467603039,325.571549098923,20.3547607823204
"A",2,5.74722222222222,351.339121131976,5.69901917801919,230.685527288616,7.14886513978391,335.892358298918,3.10909725942951,356.025424020618,25.7240334640265
"A",2,10.1215277777778,370.150828537516,5.48303602016163,245.808212101202,3.79808466124023,354.324481362199,4.9648298951592,380.337376209383,25.214473375012
"A",2,13.7819444444444,375.772156647606,4.93453936742455,247.911075098879,3.26094063445597,360.938692831117,5.31307450011017,394.375690152269,33.8026847494099
"A",2,19.0652777777778,380.643675679997,8.54053996279198,256.462240346176,4.63450704279289,365.9366966984,9.8988713704718,401.935230879584,29.2162407725156
"A",2,30.0694444444444,390.373810920677,12.4820592958271,267.038996023762,5.45218261215636,376.309867869105,13.8325008977975,396.549643164013,36.0685207591417
"B",2,0,126.089173859396,8.29761179190972,0,0,118.994888601713,7.08964979505403,118.183593012713,10.7975649363597
