"id.exper","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"A1-E2",0,0,-39.3826852989392,0,-39.3826852989392,0,NA,NA
"A1-E2",1.00486111111111,0.547,713.858562038033,391.254079838854,674.475876739094,391.254079838854,710.405203410344,389.361351049032
"A1-E2",1.82152777777778,0.5017,703.65061473878,353.79083977704,1378.12649147787,745.044919615894,861.612997639323,433.213273196375
"A1-E2",2.97916666666667,0.5491,404.353091836854,222.468027514671,1782.47958331473,967.512947130565,349.291213104421,192.173940984479
"A1-E2",4.62291666666667,0.5491,240.261064833976,132.18745265278,2022.7406481487,1099.70039978334,146.166427275423,80.4182221461777
"A1-E2",6.75208333333333,0.565,171.463418054435,97.0610812129198,2194.20406620314,1196.76148099626,80.5307638611826,45.5864177908038
"A1-E2",11.1263888888889,0.5654,180.746093742604,102.38802477044,2374.95015994574,1299.1495057667,41.319951577925,23.4066924383924
"A1-E2",14.7868055555556,0.5689,90.4737031976445,51.5675021520156,2465.42386314339,1350.71700791872,24.7167771968522,14.0878776510913
"A1-E2",20.0701388888889,0.5721,98.3741256941427,56.3851255777006,2563.79798883753,1407.10213349642,18.6197083332762,10.672263516284
"A1-E2",31.0743055555556,0.5813,122.023201614094,71.0619284695337,2685.82119045162,1478.16406196595,11.0888180186984,6.45772920586448
"A2-E2",0,0,-38.7189691726576,0,-38.7189691726576,0,NA,NA
"A2-E2",1.00486111111111,0.5596,685.727587681919,384.472057333129,647.008618509261,384.472057333129,682.4103153158,382.612137221635
"A2-E2",1.82152777777778,0.5113,723.441476794235,370.686163459875,1370.4500953035,755.158220793004,885.846706278655,453.901424644745
"A2-E2",2.97916666666667,0.5455,378.903350035391,207.10254152483,1749.35344533889,962.260762317834,327.307033023973,178.90081571431
"A2-E2",4.62291666666667,0.5511,236.534499641325,130.610020897853,1985.88794498021,1092.87078321569,143.899315371148,79.4585678466025
"A2-E2",6.75208333333333,0.5569,169.305579456199,94.4689458253482,2155.19352443641,1187.33972904104,79.5172975919525,44.3689765128837
"A2-E2",11.1263888888889,0.5623,182.802749908728,102.986698260556,2337.99627434514,1290.32642730159,41.7901190456531,23.5435538173044
"A2-E2",14.7868055555556,0.563773375262055,96.1297027014539,54.2987323104536,2434.12597704659,1344.62515961204,26.261956344165,14.8340304547625
"A2-E2",20.0701388888889,0.5659,92.8174764549337,52.6251009071202,2526.94345350153,1397.25026051917,17.5679766160758,9.96058692248333
"A2-E2",31.0743055555556,0.5771,129.600472634503,74.9307163688379,2656.54392613603,1472.180976888,11.7774000122229,6.80930402443056
"A3-E2",0,0,-38.7039167870864,0,-38.7039167870864,0,NA,NA
"A3-E2",1.00486111111111,0.5691,633.521075666694,361.216073921085,594.817158879608,361.216073921085,630.45635726333,359.468656839227
"A3-E2",1.82152777777778,0.5201,661.590329571348,344.815252051834,1256.40748845096,706.031325972919,810.110607638385,422.222757614491
"A3-E2",2.97916666666667,0.5406,326.769650516991,177.006530107256,1583.17713896795,883.037856080175,282.272523541972,152.903061400389
"A3-E2",4.62291666666667,0.5454,217.680172090323,118.958758791646,1800.85731105827,1001.99661487182,132.429002032135,72.3703475538532
"A3-E2",6.75208333333333,0.5524,149.23284070505,82.5975568851342,1950.09015176332,1084.59417175696,70.0897881980667,38.7933730967362
"A3-E2",11.1263888888889,0.5598,159.164493091264,89.2717726559257,2109.25464485458,1173.86594441288,36.3862311559644,20.4082160064348
"A3-E2",14.7868055555556,0.5636,84.3179577801964,47.6122737590466,2193.57260263478,1221.47821817193,23.0350709928823,13.0073371680947
"A3-E2",20.0701388888889,0.5651,80.7547067169007,45.7212569865354,2274.32730935168,1267.19947515846,15.2848025331673,8.65386567568494
"A3-E2",31.0743055555556,0.5778,99.2404710169039,57.4469862961207,2373.56778036858,1324.64646145458,9.01844492391403,5.22047584667511
"B1-E2",0,0,-38.4494373935228,0,-38.4494373935228,0,NA,NA
"B1-E2",1.00486111111111,0.4762,893.888377448057,426.644871105843,855.438940054534,426.644871105843,889.564107481135,424.580936000286
"B1-E2",1.82152777777778,0.4706,810.780580974036,382.436862305165,1666.21952102857,809.081733411008,992.792548131472,468.290035475712
"B1-E2",2.97916666666667,0.5737,459.630459199057,264.181457420371,2125.84998022763,1073.26319083138,397.041308486288,228.207137783644
"B1-E2",4.62291666666667,0.5773,224.761907495055,129.994839437345,2350.61188772268,1203.25803026872,136.737282126269,79.084312965685
"B1-E2",6.75208333333333,0.5856,141.445674267258,82.9806484999678,2492.05756198994,1286.23867876869,66.432410614759,38.9732987083998
"B1-E2",11.1263888888889,0.578,156.126591823422,90.4076610994216,2648.18415381336,1376.64633986811,35.6917434871769,20.6678888685771
"B1-E2",14.7868055555556,0.5908,83.8250891237305,49.612455671436,2732.00924293709,1426.25879553955,22.9004227543487,13.5537727503069
"B1-E2",20.0701388888889,0.5817,91.1248245555621,53.1042475986267,2823.13406749265,1479.36304313818,17.2476008622515,10.051277148005
"B1-E2",31.0743055555556,0.5888,128.746209201891,75.9420405686008,2951.88027669455,1555.30508370678,11.6997691058136,6.90120777601825
"B2-E2",0,0,-38.0580753686705,0,-38.0580753686705,0,NA,NA
"B2-E2",1.00486111111111,0.474,794.152867853443,377.294502180371,756.094792484772,377.294502180371,790.31107789147,375.46930417397
"B2-E2",1.82152777777778,0.478,753.71712287417,361.099349973725,1509.81191535894,738.393852154097,922.918925968371,442.162469355582
"B2-E2",2.97916666666667,0.5701,398.601909380841,227.670065206603,1908.41382473978,966.0639173607,344.323185068033,196.667602817941
