"descrip","exper","elapsed.time","leak.l","n","mean.vol","sd.vol","rsd.vol","mean.man","sd.man","rsd.man","mean.grav","sd.grav","rsd.grav","mean.gd","sd.gd","rsd.gd","mean.gd7","sd.gd7","rsd.gd7","mean.gd8","sd.gd8","rsd.gd8","mean.gd9","sd.gd9","rsd.gd9","mean.gd10","sd.gd10","rsd.gd10","mean.gd11","sd.gd11","rsd.gd11","mean.gd12","sd.gd12","rsd.gd12"
"A",2,29,FALSE,3,394.004070216978,11.3528965035176,2.88141604660722,385.605505131438,12.1367354974704,3.14744871013536,374.518492812142,5.96956415036163,1.59393041062887,404.460224781432,34.8547554853085,8.61759781302199,412.503587702738,26.0834495566305,6.32320550274268,381.885272787526,22.5180236696016,5.89654152024088,391.215934942801,40.019729764501,10.2295755847349,404.460224781432,34.8547554853085,8.61759781302199,359.228739065298,22.2422568771393,6.19166966847166,350.584412925552,39.048938717247,11.1382415411432
"B",2,29,FALSE,3,387.236255636796,13.8407658005187,3.57424326855915,382.416572499031,10.1740985272248,2.66047531903199,377.522511313153,6.39986380374396,1.69522706910458,401.091989285583,65.42845062313,16.3125797500144,401.485745802028,49.5859137062782,12.3506037822645,363.117634648445,28.8226276155589,7.93754554043175,381.302129431784,60.5965475029667,15.8920034339351,401.091989285583,65.42845062313,16.3125797500144,340.516724151577,27.2651095169838,8.00698103299239,347.347215399266,72.0122298572224,20.732059065004
"C",1,29,TRUE,3,518.069082420806,82.4181397073301,15.9087161353484,472.947166772286,69.9873261338792,14.7981277933263,519.173164293941,15.0496794241755,2.89877837669876,531.19003636286,81.2356142777166,15.2931359243764,479.433224015165,205.875109844177,42.9413523159722,434.687635361876,330.064183320549,75.9313485063295,451.837770827871,202.614691168176,44.8423536609034,531.19003636286,81.2356142777166,15.2931359243764,534.903189807519,120.625182272759,22.5508436986822,513.794564112996,84.3544341024661,16.4179304325833
"C",2,29,FALSE,3,545.905957915404,27.7753107009884,5.0879295780268,506.652750680322,36.1588705065782,7.13681519700128,514.344999972434,9.95721626068147,1.93590221761952,591.975244922397,47.0932760316337,7.95527793359117,568.076734069085,69.9112244185983,12.306651588744,484.981485946592,61.204763827686,12.6200206814547,529.266073980804,91.5574706591822,17.2989494623271,591.975244922397,47.0932760316337,7.95527793359117,454.305335674271,45.2010370497986,9.94948408050547,491.537150752293,42.8590029145703,8.7193822173919
"CB",2,29,TRUE,3,425.067221919467,139.415264576337,32.7984039669731,413.421549638986,142.088179980473,34.3688373536768,525.344503063856,36.2986853531327,6.9095013160765,440.91378751355,142.487540079402,32.3164174300228,269.854045370767,319.650527702388,118.453116855522,237.185875872425,219.240433578232,92.4340173173527,231.992159423878,347.187966580531,149.655043275052,440.91378751355,142.487540079402,32.3164174300228,365.089724146743,121.513366812565,33.283151722924,398.776680065265,117.488025851237,29.4621104303312
"Cellulose",1,29,FALSE,3,378.014834430212,21.6933054576012,5.73874448348037,350.744805860851,8.9966118564312,2.56500216285465,355.24922177491,9.98064125797026,2.80947589641565,426.925471711203,88.9976919104799,20.8461892783673,440.567011039886,71.5212443405638,16.2339082474082,483.117152893437,65.1792567385726,13.4913977589509,410.885112065174,71.3421799665555,17.3630481785963,426.925471711203,88.9976919104799,20.8461892783673,460.20287615768,96.4434619232212,20.956727330443,408.767881976441,91.9212758737558,22.4874017570328
"Cellulose",2,29,TRUE,3,328.977208672498,87.9780104075829,26.7428891997094,327.476419856905,89.1814498867642,27.2329378480848,361.571555989031,16.4072574339632,4.53776221115715,404.302813751264,95.9634618444919,23.735541426019,273.917026269009,285.76982736355,104.327150179741,277.315304611291,281.310553037011,101.440688039674,248.584510373315,315.119622240243,126.765590409076,404.302813751264,95.9634618444919,23.735541426019,351.897571422151,100.291079125883,28.5000770879348,369.038197730594,91.6075994246649,24.8233380685271
"Ethanol",1,29,FALSE,3,683.294245662997,91.4929870130732,13.3899835383946,632.108218711769,84.3648479959119,13.3465829898315,739.147753570496,9.02425261702735,1.22089968797648,659.828942324224,151.259782059711,22.9240902235819,580.050967200993,196.276795368849,33.8378533038179,582.936330016135,133.978662046726,22.9834126212407,576.247848124077,200.376354788714,34.7725992280963,659.828942324224,151.259782059711,22.9240902235819,691.792691452685,147.210765442216,21.2796069199705,640.438708436279,154.702836152558,24.1557598119399
"Ethanol",2,29,FALSE,3,743.684408852373,30.8290986002901,4.14545447414509,744.573231613516,25.4129013236839,3.41308285668735,728.915524418354,27.9150169102968,3.82966420321091,680.956042328222,52.0431968763106,7.64266614014796,725.325152569065,84.5569236927485,11.6577955959823,637.931446090874,64.822493109928,10.1613572284527,701.815614620714,95.236515851418,13.5700195133001,680.956042328222,52.0431968763106,7.64266614014796,550.065991204782,62.1435695395077,11.2974753089893,649.371262247408,35.365704992875,5.44614568721101
