"method","descrip","elapsed.time","mean","se","sd","n","pid"
"man","C",0,0,0,0,3,"C.man"
"man","C",0.840277777777778,64.5889940051181,0.839475926663019,1.45401495671131,3,"C.man"
"man","C",1.84375,164.087078710542,2.81178804233133,4.87015974943249,3,"C.man"
"man","C",2.85069444444444,275.543249990358,5.51926073681354,9.55964001638109,3,"C.man"
"man","C",3.80902777777778,341.355672544233,8.89603614572101,15.408386590358,3,"C.man"
"man","C",4.86111111111111,380.324517399989,9.24125937561163,16.0063307644816,3,"C.man"
"man","C",5.85902777777778,404.084605908295,9.66522483601641,16.740660482557,3,"C.man"
"man","C",6.83958333333333,420.205311122573,10.0606107089875,17.4254889031379,3,"C.man"
"man","C",8.91666666666667,439.597693241082,10.7594509574108,18.6359157197811,3,"C.man"
"man","C",10.8784722222222,452.077273902157,11.1944153268292,19.3892961070959,3,"C.man"
"man","C",13.125,461.544404509105,11.8038710489749,20.4449043828158,3,"C.man"
"man","C",15.8541666666667,468.867841111982,12.1844198436768,21.1040342299987,3,"C.man"
"man","C",18.9097222222222,475.046602892151,12.7532145407847,22.0892155444653,3,"C.man"
"man","C",22.8611111111111,481.409356160266,13.2887309199379,23.0167571214439,3,"C.man"
"man","C",27.1458333333333,485.997486899276,13.7392667537067,23.797108076162,3,"C.man"
"man","L",0,0,0,0,3,"L.man"
"man","L",0.840277777777778,1.134110484657,0.340525658178917,0.589807741246716,3,"L.man"
"man","L",1.84375,16.9480147460676,0.646971128622202,1.12058686580383,3,"L.man"
"man","L",2.85069444444444,95.1152718233237,1.83863478030017,3.18460885604314,3,"L.man"
"man","L",3.80902777777778,178.638496233827,2.92102963253277,5.05937173396101,3,"L.man"
"man","L",4.86111111111111,231.661799025245,3.28090021539507,5.68268586762794,3,"L.man"
"man","L",5.85902777777778,257.616745997437,3.53723059629905,6.12666311087712,3,"L.man"
"man","L",6.83958333333333,273.219136357196,3.88125007389072,6.72252232485918,3,"L.man"
"man","L",8.91666666666667,292.126855967284,4.39706406105184,7.61593835787693,3,"L.man"
"man","L",10.8784722222222,302.27091382576,4.55887542735069,7.89620386554868,3,"L.man"
"man","L",13.125,308.561968497452,4.64925034381218,8.05273781258977,3,"L.man"
"man","L",15.8541666666667,313.2698817577,5.19244011246911,8.99357009005515,3,"L.man"
"man","L",18.9097222222222,316.395436413697,5.61335905040562,9.72262307642911,3,"L.man"
"man","L",22.8611111111111,319.837455766432,6.18095661278836,10.7057308927283,3,"L.man"
"man","L",27.1458333333333,324.045598318585,6.56151205194484,11.364872248444,3,"L.man"
"grav","C",0,0,0,0,3,"C.grav"
"grav","C",0.840277777777778,63.1750996472371,0.810229768721463,1.40335912523035,3,"C.grav"
"grav","C",1.84375,170.557607189987,0.921927309805709,1.59682494146878,3,"C.grav"
"grav","C",2.85069444444444,287.978310887322,1.30735761311361,2.26440980957475,3,"C.grav"
"grav","C",3.80902777777778,354.653354339034,1.21630285682302,2.10669834540864,3,"C.grav"
"grav","C",4.86111111111111,393.293394003649,0.650821526387639,1.12725595036292,3,"C.grav"
"grav","C",5.85902777777778,417.626011006098,1.04559783304969,1.81102857112598,3,"C.grav"
"grav","C",6.83958333333333,436.560280504534,2.96865191193692,5.14185594146124,3,"C.grav"
"grav","C",8.91666666666667,455.131091414239,2.83767003663051,4.91498867855988,3,"C.grav"
"grav","C",10.8784722222222,467.751480483395,2.41482619432457,4.18260166001836,3,"C.grav"
"grav","C",13.125,478.342834729789,2.76100301666938,4.78219750472231,3,"C.grav"
"grav","C",15.8541666666667,485.901230740425,2.69984744291594,4.67627294381532,3,"C.grav"
"grav","C",18.9097222222222,491.173716132464,2.75875754884446,4.77830824036278,3,"C.grav"
"grav","C",22.8611111111111,497.597885929052,3.3413382702727,5.78736764938663,3,"C.grav"
"grav","C",27.1458333333333,502.66818319459,3.62732589231249,6.28271274109534,3,"C.grav"
"grav","L",0,0,0,0,3,"L.grav"
"grav","L",0.840277777777778,0.849495388152334,0.293849907344713,0.508962969320449,3,"L.grav"
"grav","L",1.84375,17.0022648839862,0.301842949522743,0.522807324479839,3,"L.grav"
"grav","L",2.85069444444444,105.171522967854,1.15538010563099,2.00117704500717,3,"L.grav"
"grav","L",3.80902777777778,201.741779250183,1.91021717424557,3.30859319928398,3,"L.grav"
"grav","L",4.86111111111111,261.988743050162,1.84821354528786,3.20119976367558,3,"L.grav"
"grav","L",5.85902777777778,290.837117603731,1.7304849746109,2.99728789776062,3,"L.grav"
"grav","L",6.83958333333333,309.707175091433,3.08446530373329,5.34245062024942,3,"L.grav"
"grav","L",8.91666666666667,330.725091291934,2.92961615654515,5.07424402981085,3,"L.grav"
"grav","L",10.8784722222222,342.724352818117,3.15794394381282,5.46971935813824,3,"L.grav"
"grav","L",13.125,350.067286339811,3.63792131882765,6.30106455814747,3,"L.grav"
"grav","L",15.8541666666667,355.249245502116,3.90908696592685,6.77073723619056,3,"L.grav"
"grav","L",18.9097222222222,358.330192191995,4.02389555424249,6.96959154429852,3,"L.grav"
"grav","L",22.8611111111111,362.156370960816,4.42989220619666,7.67279837318599,3,"L.grav"
"grav","L",27.1458333333333,368.401101327925,5.01695208221714,8.68961590553855,3,"L.grav"
