"descrip","elapsed.time","n","mean.man","se.man","sd.man","leak.l.man","rsd.man","mean.grav","se.grav","sd.grav","leak.l.grav","rsd.grav"
"C",27.1458333,3,485.997486863583,13.7392667501968,23.7971080700827,FALSE,4.89654961462021,502.668183155145,3.62732588996727,6.2827127370333,FALSE,1.24987276847283
"L",27.1458333,3,324.045598285847,6.56151204893148,11.3648722432247,FALSE,3.50718303329629,368.401101279344,5.01695207694874,8.68961589641342,FALSE,2.35873776333378
