"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","elapsed.time","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method","pressure","massloss","cmassloss","descrip","pid"
"C1","12112018",0,"1230",0,0,NA,188.205,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,79.0056,30,1013.25,1013.25,1,1013.25,1,20,-3.71632110464606,0,-3.71632110464606,0,NA,NA,"man",NA,NA,NA,"C","C1.man"
"C1","13112018",0.840277777773736,"0840",1626,0,188.204,188.0469,33.57,31.2,0.48170449282075,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.51829550717925,79.0056,30,2639.25,1013.25,0.383915885194658,1013.25,1,30,114.214669683754,59.3216503266289,110.498348579108,59.3216503266289,135.924896152566,70.5976665044179,"man",NA,NA,NA,"C","C1.man"
"C1","14112018",1.84375,"0845",2146,0,188.0476,187.8448,51.06,36.34,0.415789473684211,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.58421052631579,79.0056,30,3159.25,1013.25,0.320724855582812,1013.25,0.383915885194658,30,148.897382714411,87.1455401409332,259.395731293518,146.467190467562,148.382166857267,86.8439984795458,"man",NA,NA,NA,"C","C1.man"
"C1","15112018",2.85069444444525,"0855",2103,0,187.8416,187.6653,63.13,32.28,0.338329315585368,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.661670684414632,79.0056,30,3116.25,1013.25,0.325150421179302,1013.25,0.320724855582812,30,145.687866480805,96.5399247376085,405.083597774324,243.007115205171,144.683122574041,95.8741321532111,"man",NA,NA,NA,"C","C1.man"
"C1","16112018",3.80902777777374,"0755",1279,0,187.6653,187.5613,62.13,32.57,0.343928194297782,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.656071805702218,79.0056,30,2292.25,1013.25,0.442032937070564,1013.25,0.325150421179302,30,87.821148078774,57.703584348009,492.904745853098,300.71069955318,91.6394588648076,60.2124358414008,"man",NA,NA,NA,"C","C1.man"
"C1","17112018",4.86111111110949,"0910",802,0,187.5602,187.4953,61.76,34.62,0.359203154181365,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.640796845818635,79.0056,30,1815.25,1013.25,0.558187577468668,1013.25,0.442032937070564,30,54.6651153577553,35.0842287524178,547.569861210853,335.794928305597,51.9589215281635,33.3473857448724,"man",NA,NA,NA,"C","C1.man"
"C1","18112018",5.85902777777665,"0907",536,0,187.4966,187.4524,60.89,36.02,0.371685068620369,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.628314931379631,79.0056,30,1549.25,1013.25,0.654026141681459,1013.25,0.558187577468668,30,36.3281105582985,22.8625771714773,583.897971769151,358.657505477075,36.403952125226,22.9103069776808,"man",NA,NA,NA,"C","C1.man"
"C1","19112018",6.8395833333343,"0839",406,0,187.4486,187.4152,59.03,36.09,0.379415475189235,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.620584524810765,79.0056,30,1419.25,1013.25,0.713933415536375,1013.25,0.654026141681459,30,27.4833253801777,17.0840128469869,611.381297149329,375.741518324062,28.0283205010311,17.422789305709,"man",NA,NA,NA,"C","C1.man"
"C1","21112018",8.91666666666424,"1030",533,0,187.4184,187.3764,63.27,36.14,0.363544914998491,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.636455085001509,79.0056,30,1546.25,1013.25,0.655295068714632,1013.25,0.713933415536375,30,36.5834107717692,23.3206953408788,647.964707921098,399.06221366494,17.6128757978427,11.2276166134622,"man",NA,NA,NA,"C","C1.man"
"C1","23112018",10.878472222219,"0935",428,0,187.3788,187.3443,62.06,36.53,0.370524393954762,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.629475606045238,79.0056,30,1441.25,1013.25,0.703035559410234,1013.25,0.655295068714632,30,29.032462774648,18.30482463361,676.997170695746,417.36703829855,14.7988482815905,9.33060087518529,"man",NA,NA,NA,"C","C1.man"
"C1","25112018",13.125,"1530",372,0,187.3431,187.313,61.62,37.14,0.376063183475091,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.623936816524909,79.0056,30,1385.25,1013.25,0.731456415809421,1013.25,0.703035559410234,30,25.2417196637986,15.7751267064695,702.238890359545,433.14216500502,11.2358813959412,7.02200385079322,"man",NA,NA,NA,"C","C1.man"
"C1","28112018",15.8541666666642,"0900",329,0,187.3124,187.2858,60.168614,36.329176,0.376476766980881,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.623523233019119,79.0056,30,1342.25,1013.25,0.754889178617992,1013.25,0.731456415809421,30,22.3063232442078,13.9313986911379,724.545213603753,447.073563696158,8.17330928032043,5.10463463492075,"man",NA,NA,NA,"C","C1.man"
"C1","01122018",18.909722222219,"1020",290,0,187.285,187.2637,61.46,37,0.375787121673776,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.624212878326224,79.0056,30,1303.25,1013.25,0.777479378476885,1013.25,0.754889178617992,30,19.6369721797328,12.2777851577905,744.182185783485,459.351348853948,6.42664544063983,4.0181842334587,"man",NA,NA,NA,"C","C1.man"
"C1","05122018",22.8611111111095,"0910",302,0,187.2585,187.236,61.62,36.27,0.370517928286853,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.629482071713147,79.0056,30,1315.25,1013.25,0.770385858201863,1013.25,0.777479378476885,30,20.547480476998,12.9552178327294,764.729666260483,472.306566686678,5.20006535797489,3.27864915274698,"man",NA,NA,NA,"C","C1.man"
"C1","09122018",27.1458333333285,"1600",289,0,187.2336,187.2112,62.76,36.41,0.367147322779066,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.632852677220934,79.0056,30,1302.25,1013.25,0.778076406220004,1013.25,0.770385858201863,30,19.6130991594524,12.4321209081734,784.342765419936,484.738687594851,4.57744939864044,2.90149985539216,"man",NA,NA,NA,"C","C1.man"
"C1","12112018",0,"1230",0,NA,NA,188.205,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,NA,79.0056,30,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,"grav",1050,0,0,"C","C1.grav"
"C1","13112018",0.840277777773736,"0840",1626,NA,188.204,188.0469,33.57,31.2,0.48170449282075,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.51829550717925,79.0056,30,NA,NA,NA,NA,NA,NA,116.881751515966,60.7068987914811,116.881751515966,60.7068987914811,139.098943952886,72.2462266609362,"grav",1050,0.158100000000019,0.158100000000019,"C","C1.grav"
