"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","elapsed.time","xCH4","vol.hs","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"C1","12112018",0,"1230",0,NA,NA,188.205,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,NA,79.0056,30,1050,0,0,0,0,0,0,NA,NA,"grav"
"C1","13112018",0.840277777773736,"0840",1626,NA,188.204,188.0469,33.57,31.2,0.48170449282075,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.51829550717925,79.0056,30,1050,0.158100000000019,0.158100000000019,116.881751515966,60.7068987914811,116.881751515966,60.7068987914811,139.098943952886,72.2462266609362,"grav"
"C1","14112018",1.84375,"0845",2146,NA,188.0476,187.8448,51.06,36.34,0.415789473684211,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.58421052631579,79.0056,30,1050,0.202100000000002,0.36020000000002,158.675557253383,92.868436583146,275.55730876935,153.575335374627,158.126506882264,92.547092511924,"grav"
"C1","15112018",2.85069444444525,"0855",2103,NA,187.8416,187.6653,63.13,32.28,0.338329315585368,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.661670684414632,79.0056,30,1050,0.17949999999999,0.539700000000011,152.608972051719,101.126188693949,428.166280821069,254.701524068576,151.556496382397,100.428766702956,"grav"
"C1","16112018",3.80902777777374,"0755",1279,NA,187.6653,187.5613,62.13,32.57,0.343928194297782,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.656071805702218,79.0056,30,1050,0.104000000000013,0.643700000000024,87.8934449294643,57.751087569194,516.059725750533,312.45261163777,91.7148990568323,60.2620044200285,"grav"
"C1","17112018",4.86111111110949,"0910",802,NA,187.5602,187.4953,61.76,34.62,0.359203154181365,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.640796845818635,79.0056,30,1050,0.0660000000000025,0.709700000000026,54.8872336674236,35.2267849244025,570.946959417956,347.679396562172,52.1700438819076,33.4828846806202,"grav"
"C1","18112018",5.85902777777665,"0907",536,NA,187.4966,187.4524,60.89,36.02,0.371685068620369,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.628314931379631,79.0056,30,1050,0.0428999999999746,0.752600000000001,35.2168055413515,22.1631932420481,606.163764959308,369.84258980422,35.2903270560516,22.2094629565409,"grav"
"C1","19112018",6.8395833333343,"0839",406,NA,187.4486,187.4152,59.03,36.09,0.379415475189235,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.620584524810765,79.0056,30,1050,0.0372000000000128,0.789800000000014,30.295760284289,18.8322610436118,636.459525243597,388.674850847832,30.8965260689633,19.2057053135985,"grav"
"C1","21112018",8.91666666666424,"1030",533,NA,187.4184,187.3764,63.27,36.14,0.363544914998491,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.636455085001509,79.0056,30,1050,0.038800000000009,0.828600000000023,32.1211354147795,20.4761447117239,668.580660658376,409.150995559556,15.464538614939,9.85812383312685,"grav"
"C1","23112018",10.878472222219,"0935",428,NA,187.3788,187.3443,62.06,36.53,0.370524393954762,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.629475606045238,79.0056,30,1050,0.0320999999999856,0.860700000000008,26.3826623435107,16.6341385267329,694.963323001887,425.785134086289,13.4481535485506,8.47899450566207,"grav"
