"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","elapsed.time","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"C3","13112018",0.840277777773736,"0840",1606,0,184.9889,184.8295,33.67,31.4,0.482557246042723,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.517442753957277,79.0056,30,2619.25,1013.25,0.386847379975184,1013.25,1,30,112.80981617595,58.4958037985684,109.093495071304,58.4958037985684,134.253004374684,69.6148408842467,"man"
"C3","14112018",1.84375,"0845",2068,0,184.83,184.6295,50.71,35.83,0.41402819505431,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.58597180494569,79.0056,30,3081.25,1013.25,0.328843813387424,1013.25,0.386847379975184,30,143.427228100816,84.1964353886729,252.520723172119,142.692239187241,142.930940114308,83.9050982419993,"man"
"C3","15112018",2.85069444444525,"0855",1998,0,184.6262,184.4517,62.58,32.49,0.341748185547491,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.658251814452509,79.0056,30,3011.25,1013.25,0.336488169364882,1013.25,0.328843813387424,30,138.336682196935,91.1963777111958,390.857405369054,233.888616898437,137.382636112818,90.5674371752565,"man"
"C3","16112018",3.80902777777374,"0755",1234,0,184.452,184.3475,61.55,33.53,0.352650399663441,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.647349600336559,79.0056,30,2247.25,1013.25,0.450884414284125,1013.25,0.336488169364882,30,84.6941519276301,54.9112296787388,475.551557296684,288.799846577176,88.3765063592663,57.2986744473797,"man"
"C3","17112018",4.86111111110949,"0910",864,0,184.3456,184.273,60.67,35.58,0.369662337662338,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.630337662337662,79.0056,30,1877.25,1013.25,0.539752297243308,1013.25,0.450884414284125,30,59.0466499061071,37.2794651378886,534.598207202791,326.079311715064,56.1235484256068,35.4339470617555,"man"
"C3","18112018",5.85902777777665,"0907",576,0,184.2748,184.2258,59.47,36.96,0.383283210619102,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.616716789380898,79.0056,30,1589.25,1013.25,0.637564889098631,1013.25,0.539752297243308,30,39.0826574306464,24.1433131954864,573.680864633438,350.222624910551,39.1642496173492,24.1937167720949,"man"
"C3","19112018",6.8395833333343,"0839",424,0,184.2222,184.1868,58.06,37.22,0.39063811922754,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.60936188077246,79.0056,30,1437.25,1013.25,0.704992172551748,1013.25,0.637564889098631,30,28.6984388863861,17.5175969289519,602.379303519824,367.740221839503,29.2675297424901,17.8649713723023,"man"
"C3","21112018",8.91666666666424,"1030",538,0,184.1899,184.1456,62.59,37.32,0.373536182564308,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.626463817435692,79.0056,30,1551.25,1013.25,0.653182917002417,1013.25,0.704992172551748,30,36.9078701608443,23.1591963076815,639.287173680668,390.899418147184,17.7690849320013,11.1498638191446,"man"
"C3","23112018",10.878472222219,"0935",382,0,184.1488,184.1163,61.26,37.05,0.376869087580104,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.623130912419896,79.0056,30,1395.25,1013.25,0.726213940154094,1013.25,0.653182917002417,30,25.7949762577256,16.1001255635183,665.082149938394,406.999543710703,13.1485896676548,8.20678966777568,"man"
"C3","25112018",13.125,"1530",342,0,184.1142,184.0855,60.39,37.05,0.380233990147783,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.619766009852217,79.0056,30,1355.25,1013.25,0.74764803541782,1013.25,0.726213940154094,30,23.2037923084941,14.404823650527,688.285942246888,421.40436736123,10.3287359889433,6.41203896654063,"man"
"C3","28112018",15.8541666666642,"0900",304,0,184.0837,184.0583,60.532579,37.081952,0.379881474818539,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.620118525181461,79.0056,30,1317.25,1013.25,0.769216170051243,1013.25,0.74764803541782,30,20.5987035433508,12.7948484304711,708.884645790239,434.199215791701,7.54761656550259,4.68818873788255,"man"
"C3","01122018",18.909722222219,"1020",286,0,184.0583,184.0348,60.95,37.02,0.377870776768399,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.622129223231602,79.0056,30,1299.25,1013.25,0.779873003655955,1013.25,0.769216170051243,30,19.3988709067554,12.088538295392,728.283516696994,446.287754087093,6.3487213876654,3.95624889667373,"man"
"C3","05122018",22.8611111111095,"0910",289,0,184.0299,184.0064,61.89,36.65,0.371930180637305,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.628069819362695,79.0056,30,1302.25,1013.25,0.778076406220004,1013.25,0.779873003655955,30,19.64148694576,12.356280141608,747.925003642754,458.644034228701,4.9707805275737,3.12707265446671,"man"
