"id","descrip","date","elapsed.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak"
"C1","Substrate C","25.10.2018",27.9395833333333,0.0699999999999932,0.0299999999999727,0.0400000000000205,2.16500000000002,2.03999999999996,0.125000000000057
"C1","Substrate C","29.10.2018",31.7576388888889,0.0600000000000023,0.0199999999999818,0.0400000000000205,2.22500000000002,2.05999999999995,0.165000000000077
"C1","Substrate C","16.11.2018",49.9388888888889,0.149999999999977,0.0799999999999841,0.0699999999999932,2.375,2.13999999999993,0.23500000000007
"C1","Substrate C","17.12.2018",80.8354166666667,0.139999999999986,0.110000000000014,0.0299999999999727,2.51499999999999,2.24999999999994,0.265000000000043
"C1","Substrate C","04.02.2019",129.899305555556,0.210000000000036,0.129999999999995,0.0800000000000409,2.72500000000002,2.37999999999994,0.345000000000084
"C2","Substrate C","27.09.2018",0,0,0,0,0,0,0
"C2","Substrate C","28.09.2018",0.725694444444444,0.25,0.229999999999961,0.0200000000000387,0.25,0.229999999999961,0.0200000000000387
"C2","Substrate C","29.09.2018",1.60416666666667,0.449999999999989,0.409999999999968,0.0400000000000205,0.699999999999989,0.63999999999993,0.0600000000000591
"C2","Substrate C","30.09.2018",2.97708333333333,0.450000000000045,0.460000000000036,-0.00999999999999091,1.15000000000003,1.09999999999997,0.0500000000000682
"C2","Substrate C","01.10.2018",3.71875,0.180000000000007,0.200000000000045,-0.0200000000000387,1.33000000000004,1.30000000000001,0.0300000000000296
"C2","Substrate C","03.10.2018",5.68888888888889,0.25,0.240000000000009,0.00999999999999091,1.58000000000004,1.54000000000002,0.0400000000000205
"C2","Substrate C","05.10.2018",7.81527777777778,0.149999999999977,0.139999999999986,0.00999999999999091,1.73000000000002,1.68000000000001,0.0500000000000114
"C2","Substrate C","08.10.2018",10.8388888888889,0.139999999999986,0.120000000000005,0.0199999999999818,1.87,1.80000000000001,0.0699999999999932
"C2","Substrate C","11.10.2018",13.8597222222222,0.0600000000000023,0.0699999999999932,-0.00999999999999091,1.93000000000001,1.87,0.0600000000000023
"C2","Substrate C","15.10.2018",18.2409722222222,0.110000000000014,0.0600000000000023,0.0500000000000114,2.04000000000002,1.93000000000001,0.110000000000014
"C2","Substrate C","19.10.2018",21.8006944444444,0.0400000000000205,0.0500000000000114,-0.00999999999999091,2.08000000000004,1.98000000000002,0.100000000000023
"C2","Substrate C","25.10.2018",27.9395833333333,0.089999999999975,0.0299999999999727,0.0600000000000023,2.17000000000002,2.00999999999999,0.160000000000025
"C2","Substrate C","29.10.2018",31.7576388888889,0.0600000000000023,0.0300000000000296,0.0299999999999727,2.23000000000002,2.04000000000002,0.189999999999998
"C2","Substrate C","16.11.2018",49.9388888888889,0.17999999999995,0.110000000000014,0.0699999999999363,2.40999999999997,2.15000000000003,0.259999999999934
"C2","Substrate C","17.12.2018",80.8354166666667,0.120000000000005,0.0999999999999659,0.0200000000000387,2.52999999999997,2.25,0.279999999999973
"C2","Substrate C","04.02.2019",129.899305555556,0.210000000000036,0.100000000000023,0.110000000000014,2.74000000000001,2.35000000000002,0.389999999999986
"C3","Substrate C","27.09.2018",0,0,0,0,0,0,0
"C3","Substrate C","28.09.2018",0.725694444444444,0.0600000000000591,0.0299999999999727,0.0300000000000864,0.0600000000000591,0.0299999999999727,0.0300000000000864
"C3","Substrate C","29.09.2018",1.60416666666667,0.609999999999957,0.379999999999995,0.229999999999961,0.670000000000016,0.409999999999968,0.260000000000048
"C3","Substrate C","30.09.2018",2.97708333333333,0.439999999999998,0.439999999999998,0,1.11000000000001,0.849999999999966,0.260000000000048
"C3","Substrate C","01.10.2018",3.71875,0.220000000000027,0.20999999999998,0.0100000000000477,1.33000000000004,1.05999999999995,0.270000000000095
"C3","Substrate C","03.10.2018",5.68888888888889,0.29000000000002,0.28000000000003,0.00999999999999091,1.62000000000006,1.33999999999997,0.280000000000086
"C3","Substrate C","05.10.2018",7.81527777777778,0.159999999999968,0.159999999999968,0,1.78000000000003,1.49999999999994,0.280000000000086
"C3","Substrate C","08.10.2018",10.8388888888889,0.129999999999995,0.109999999999957,0.0200000000000387,1.91000000000003,1.6099999999999,0.300000000000125
"C3","Substrate C","11.10.2018",13.8597222222222,0.07000000000005,0.0900000000000318,-0.0199999999999818,1.98000000000008,1.69999999999993,0.280000000000143
"C3","Substrate C","15.10.2018",18.2409722222222,0.089999999999975,0.0699999999999932,0.0199999999999818,2.07000000000005,1.76999999999992,0.300000000000125
"C3","Substrate C","19.10.2018",21.8006944444444,0.0500000000000114,0.0699999999999932,-0.0199999999999818,2.12000000000006,1.83999999999992,0.280000000000143
"C3","Substrate C","25.10.2018",27.9395833333333,0.0600000000000023,0.0200000000000387,0.0399999999999636,2.18000000000006,1.85999999999996,0.320000000000107
"C3","Substrate C","29.10.2018",31.7576388888889,0.0699999999999932,0.0300000000000296,0.0399999999999636,2.25000000000006,1.88999999999999,0.36000000000007
"C3","Substrate C","16.11.2018",49.9388888888889,0.159999999999968,0.0900000000000318,0.0699999999999363,2.41000000000003,1.98000000000002,0.430000000000007
"C3","Substrate C","17.12.2018",80.8354166666667,0.129999999999995,0.110000000000014,0.0199999999999818,2.54000000000002,2.09000000000003,0.449999999999989
"C3","Substrate C","04.02.2019",129.899305555556,0.189999999999998,0.119999999999948,0.07000000000005,2.73000000000002,2.20999999999998,0.520000000000039
"D1","Substrate D","27.09.2018",0,0,0,0,0,0,0
"D1","Substrate D","28.09.2018",0.725694444444444,0.189999999999998,0.169999999999959,0.0200000000000387,0.189999999999998,0.169999999999959,0.0200000000000387
"D1","Substrate D","29.09.2018",1.60416666666667,0.189999999999998,0.159999999999968,0.0300000000000296,0.379999999999995,0.329999999999927,0.0500000000000682
"D1","Substrate D","30.09.2018",2.97708333333333,0.29000000000002,0.300000000000011,-0.00999999999999091,0.670000000000016,0.629999999999939,0.0400000000000773
"D1","Substrate D","01.10.2018",3.71875,0.199999999999989,0.20999999999998,-0.00999999999999091,0.870000000000005,0.839999999999918,0.0300000000000864
"D1","Substrate D","03.10.2018",5.68888888888889,0.470000000000027,0.449999999999989,0.0200000000000387,1.34000000000003,1.28999999999991,0.0500000000001251
"D1","Substrate D","05.10.2018",7.81527777777778,0.479999999999961,0.46999999999997,0.00999999999999091,1.81999999999999,1.75999999999988,0.060000000000116
"D1","Substrate D","06.10.2018",9.23958333333333,0.260000000000048,0.260000000000048,0,2.08000000000004,2.01999999999992,0.060000000000116
"D1","Substrate D","08.10.2018",10.8388888888889,0.239999999999952,0.229999999999961,0.00999999999999091,2.31999999999999,2.24999999999989,0.0700000000001069
"D1","Substrate D","11.10.2018",13.8597222222222,0.260000000000048,0.28000000000003,-0.0199999999999818,2.58000000000004,2.52999999999992,0.0500000000001251
"D1","Substrate D","15.10.2018",18.2409722222222,0.259999999999991,0.240000000000009,0.0199999999999818,2.84000000000003,2.76999999999992,0.0700000000001069
"D1","Substrate D","19.10.2018",21.8006944444444,0.120000000000005,0.140000000000043,-0.0200000000000387,2.96000000000004,2.90999999999997,0.0500000000000682
"D1","Substrate D","25.10.2018",27.9395833333333,0.139999999999986,0.0699999999999932,0.0699999999999932,3.10000000000002,2.97999999999996,0.120000000000061
"D1","Substrate D","29.10.2018",31.7576388888889,0.0999999999999659,0.0600000000000023,0.0399999999999636,3.19999999999999,3.03999999999996,0.160000000000025
"D1","Substrate D","16.11.2018",49.9388888888889,0.189999999999998,0.129999999999995,0.0600000000000023,3.38999999999999,3.16999999999996,0.220000000000027
"D1","Substrate D","17.12.2018",80.8354166666667,0.189999999999998,0.160000000000025,0.0299999999999727,3.57999999999998,3.32999999999998,0.25
"D1","Substrate D","04.02.2019",129.899305555556,0.240000000000009,0.159999999999968,0.0800000000000409,3.81999999999999,3.48999999999995,0.330000000000041
"D2","Substrate D","27.09.2018",0,0,0,0,0,0,0
"D2","Substrate D","28.09.2018",0.725694444444444,0.180000000000064,0.159999999999968,0.0200000000000955,0.180000000000064,0.159999999999968,0.0200000000000955
"D2","Substrate D","29.09.2018",1.60416666666667,0.199999999999989,0.170000000000016,0.0299999999999727,0.380000000000052,0.329999999999984,0.0500000000000682
"D2","Substrate D","30.09.2018",2.97708333333333,0.319999999999993,0.329999999999984,-0.00999999999999091,0.700000000000045,0.659999999999968,0.0400000000000773
"D2","Substrate D","01.10.2018",3.71875,0.210000000000036,0.220000000000027,-0.00999999999999091,0.910000000000082,0.879999999999995,0.0300000000000864
"D2","Substrate D","03.10.2018",5.68888888888889,0.430000000000007,0.450000000000045,-0.0200000000000387,1.34000000000009,1.33000000000004,0.0100000000000477
"D2","Substrate D","05.10.2018",7.81527777777778,0.45999999999998,0.45999999999998,0,1.80000000000007,1.79000000000002,0.0100000000000477
"D2","Substrate D","06.10.2018",9.23958333333333,0.279999999999973,0.289999999999964,-0.00999999999999091,2.08000000000004,2.07999999999998,5.6843418860808e-14
"D2","Substrate D","08.10.2018",10.8388888888889,0.230000000000018,0.230000000000018,0,2.31000000000006,2.31,5.6843418860808e-14
"D2","Substrate D","11.10.2018",13.8597222222222,0.259999999999991,0.269999999999982,-0.00999999999999091,2.57000000000005,2.57999999999998,-0.00999999999993406
"D2","Substrate D","15.10.2018",18.2409722222222,0.240000000000009,0.220000000000027,0.0199999999999818,2.81000000000006,2.80000000000001,0.0100000000000477
"D2","Substrate D","19.10.2018",21.8006944444444,0.129999999999995,0.120000000000005,0.00999999999999091,2.94000000000005,2.92000000000002,0.0200000000000387
"D2","Substrate D","25.10.2018",27.9395833333333,0.150000000000034,0.07000000000005,0.0799999999999841,3.09000000000009,2.99000000000007,0.100000000000023
"D2","Substrate D","29.10.2018",31.7576388888889,0.0699999999999363,0.0399999999999636,0.0299999999999727,3.16000000000003,3.03000000000003,0.129999999999995
"D2","Substrate D","16.11.2018",49.9388888888889,0.20999999999998,0.149999999999977,0.0600000000000023,3.37,3.18000000000001,0.189999999999998
"D2","Substrate D","17.12.2018",80.8354166666667,0.189999999999998,0.159999999999968,0.0300000000000296,3.56,3.33999999999997,0.220000000000027
"D2","Substrate D","04.02.2019",129.899305555556,0.220000000000027,0.139999999999986,0.0800000000000409,3.78000000000003,3.47999999999996,0.300000000000068
"D3","Substrate D","27.09.2018",0,0,0,0,0,0,0
"D3","Substrate D","28.09.2018",0.725694444444444,0.180000000000064,0.160000000000025,0.0200000000000387,0.180000000000064,0.160000000000025,0.0200000000000387
"D3","Substrate D","29.09.2018",1.60416666666667,0.17999999999995,0.159999999999968,0.0199999999999818,0.360000000000014,0.319999999999993,0.0400000000000205
"D3","Substrate D","30.09.2018",2.97708333333333,0.319999999999993,0.319999999999993,0,0.680000000000007,0.639999999999986,0.0400000000000205
"D3","Substrate D","01.10.2018",3.71875,0.180000000000007,0.189999999999998,-0.00999999999999091,0.860000000000014,0.829999999999984,0.0300000000000296
"D3","Substrate D","03.10.2018",5.68888888888889,0.439999999999998,0.439999999999998,0,1.30000000000001,1.26999999999998,0.0300000000000296
"D3","Substrate D","05.10.2018",7.81527777777778,0.460000000000036,0.450000000000045,0.00999999999999091,1.76000000000005,1.72000000000003,0.0400000000000205
"D3","Substrate D","06.10.2018",9.23958333333333,0.289999999999964,0.279999999999973,0.00999999999999091,2.05000000000001,2,0.0500000000000114
"D3","Substrate D","08.10.2018",10.8388888888889,0.230000000000018,0.210000000000036,0.0199999999999818,2.28000000000003,2.21000000000004,0.0699999999999932
"D3","Substrate D","11.10.2018",13.8597222222222,0.259999999999991,0.269999999999982,-0.00999999999999091,2.54000000000002,2.48000000000002,0.0600000000000023
"D3","Substrate D","15.10.2018",18.2409722222222,0.259999999999991,0.240000000000009,0.0199999999999818,2.80000000000001,2.72000000000003,0.0799999999999841
"D3","Substrate D","19.10.2018",21.8006944444444,0.129999999999995,0.139999999999986,-0.00999999999999091,2.93000000000001,2.86000000000001,0.0699999999999932
"D3","Substrate D","25.10.2018",27.9395833333333,0.140000000000043,0.0800000000000409,0.0600000000000023,3.07000000000005,2.94000000000005,0.129999999999995
"D3","Substrate D","29.10.2018",31.7576388888889,0.0799999999999841,0.0500000000000114,0.0299999999999727,3.15000000000003,2.99000000000007,0.159999999999968
"D3","Substrate D","16.11.2018",49.9388888888889,0.199999999999932,0.119999999999948,0.0799999999999841,3.34999999999997,3.11000000000001,0.239999999999952
"D3","Substrate D","17.12.2018",80.8354166666667,0.210000000000036,0.170000000000016,0.0400000000000205,3.56,3.28000000000003,0.279999999999973
"D3","Substrate D","04.02.2019",129.899305555556,0.25,0.180000000000007,0.0699999999999932,3.81,3.46000000000004,0.349999999999966
"I1","Inoculum","27.09.2018",0,0,0,0,0,0,0
