"descrip","elapsed.time","n","mean.vol","se.vol","sd.vol","mean.grav","se.grav","sd.grav","mean.gd","se.gd","sd.gd"
"Cellulose",30,3,470.440715739837,3.11218432561583,5.3904613744861,522.138918319348,2.57935088575034,4.46756678466738,372.965840349812,38.3061407084806,66.3481819489709
"Substrate C",30,3,494.667801795457,3.39194335252167,5.87501822296303,499.673209259444,3.06033280761013,5.30065191085065,556.320744813204,24.4783654412901,42.3977726305527
"Substrate D",30,3,365.471056167982,0.769138495315705,1.33218695194388,401.900449455931,1.84057101386188,3.18796251094733,321.481123864107,3.90568903528848,6.76485184768433
