"descrip","elapsed.time","n","mean.vol","se.vol","sd.vol","mean.grav","se.grav","sd.grav","mean.gd","se.gd","sd.gd"
"Cellulose",0,3,0,0,0,0,0,0,0,0,0
"Cellulose",0.725694444444444,3,11.3404526520138,0.254306954798838,0.44047256642971,8.35783376504712,1.0277122864608,1.78004989571288,9.31630747050181,1.95620066638171,3.38823894397321
"Cellulose",1.60416666666667,3,23.3415145678788,0.302720122163256,0.524326632060217,24.2969275282247,1.55065649118753,2.68581582782328,18.5515826147404,4.22209124484637,7.31287655026564
"Cellulose",2.97708333333333,3,134.121274399717,2.93068934238686,5.07610284221466,141.54845824875,2.53059037140996,4.38311109642664,115.425526471147,2.95821609009177,5.12378056780669
"Cellulose",3.71875,3,244.614469710861,1.36758147304141,2.36872059479762,263.827727841287,2.56873179453516,4.44917397915248,207.003232762605,3.20270064407132,5.5472402369651
"Cellulose",4.75694444444444,3,352.984186278547,2.78139305495259,4.8175140869971,374.507188176774,2.85166759661458,4.93923316363429,274.94813238436,40.8947557405063,70.8317947056759
"Cellulose",5.68888888888889,3,396.635676628019,2.56094181444696,4.43568133784976,426.325852269154,1.3374867839033,2.31659506417241,312.616798444808,42.3613821515559,73.3720661653363
"Cellulose",7.81527777777778,3,434.362369069905,3.11584448391114,5.39680095461732,468.856435872514,2.53031073274361,4.38262674804876,345.340055863864,42.9170491781463,74.3345096874814
"Cellulose",10.8388888888889,3,450.257384464409,3.19544074659413,5.53466572567685,490.738880059491,2.78392333916035,4.82189666780253,356.693046004897,42.9146065549671,74.3302789400314
"Cellulose",13.8597222222222,3,460.527128888209,3.2590484620127,5.6448375205352,502.810476766924,2.01207058360655,3.48500847922131,365.759920964351,40.3353338074231,69.8628474947074
"Cellulose",18.2409722222222,3,466.397771081893,3.46357013850907,5.99907945547608,509.362805108938,2.82465218556531,4.89244109910959,370.321180790127,38.1644694378531,66.1028001102712
"Cellulose",21.8006944444444,3,468.236713230902,3.30947753437126,5.7321832360388,515.179099875045,3.09312400724297,5.35744793465588,367.808877597455,37.7719189240242,65.4228826757824
"Cellulose",27.9395833333333,3,469.40754425616,3.02702173732625,5.24295544466448,518.448428947962,2.3988944964838,4.1550071499073,371.465585895472,38.9405893806953,67.4470792840413
"Cellulose",31.7576388888889,3,471.322062900331,3.18628963616689,5.5188155374712,525.287091086108,2.99984851961809,5.19589005098882,374.245632740757,37.8163484760719,65.4998369172864
"Cellulose",49.9388888888889,3,474.921394543197,3.15679075752933,5.46772198090464,536.821520466441,2.73761545627087,4.741689061847,377.105800988479,36.4969243723487,63.2145273329068
"Cellulose",80.8354166666667,3,481.201452148854,3.30993714413066,5.73297930349373,553.596820493235,2.94887765952604,5.1076059316039,343.743953472199,71.9415951770192,124.606498024149
"Cellulose",129.899305555556,3,480.152178106461,3.20682360968129,5.55438142287942,562.950367712608,1.57597347057705,2.7296661224201,337.99164794745,72.4360124631173,125.462853883812
"Substrate C",0,3,0,0,0,0,0,0,0,0,0
"Substrate C",0.725694444444444,3,57.4767469495902,1.60590132343051,2.78150268412375,39.0576485808801,19.2723396703541,33.3806714897786,85.8927199468251,29.665150453414,51.3815477994879
"Substrate C",1.60416666666667,3,155.857657317861,3.05800018670641,5.29661169293061,162.644549310475,3.17886770278059,5.50596037175575,176.653860740041,29.3685536938838,50.8678271426214
"Substrate C",2.97708333333333,3,286.024537621022,6.37713140598785,11.0455156017141,283.097389648671,6.17224568901099,10.690643130165,321.290852640118,28.4335556399212,49.2483630081801
"Substrate C",3.71875,3,337.405142490482,2.72022854952027,4.7115740559685,335.812932619572,3.15354345707024,5.46209749152206,375.55380918921,34.6783679485975,60.064695210539
"Substrate C",5.68888888888889,3,404.886657228988,1.44191542758189,2.49747078078923,397.797377645541,1.50784046023729,2.61165628683902,453.506490925824,35.572232974121,61.6129148498545
"Substrate C",7.81527777777778,3,439.445464635262,1.71675133683145,2.97350053935387,431.722803755162,2.41748339400295,4.18720406486717,491.803374936019,35.6922557153706,61.8208003357625
"Substrate C",10.8388888888889,3,460.770823556112,3.18365556107105,5.51425318557426,453.971335005134,2.25451055653164,3.90492683011318,516.582355109729,33.0751593128176,57.287856398235
"Substrate C",13.8597222222222,3,475.049733685155,2.51704863861909,4.35965612721034,468.048736402741,3.9853547118782,6.90283684715706,531.311066965588,31.6310497822854,54.7865853196588
"Substrate C",18.2409722222222,3,482.298234303514,2.67552037430347,4.6341372249793,479.767221076734,2.62030495428628,4.53850131214828,538.765573371841,29.8375607455116,51.6801711851488
"Substrate C",21.8006944444444,3,488.905431936623,3.18302123701953,5.51315450408856,488.000767005695,3.48216968607477,6.03129481685767,544.778761131419,25.0030009339272,43.3064679592539
"Substrate C",27.9395833333333,3,493.421994416017,3.36133734716108,5.82200706666177,495.735889154988,3.18716168192316,5.52032596502759,554.159422571161,24.9075069054404,43.1410674500955
"Substrate C",31.7576388888889,3,495.730538053416,3.41845718813634,5.92094153335118,503.031941037124,3.04158871850597,5.26818619618065,558.164461225274,24.1361812099482,41.8050921563196
"Substrate C",49.9388888888889,3,503.626057236178,3.20840834729519,5.55712626894335,519.384182295098,2.67125871615584,4.62675581654313,562.057200940217,24.0582429698131,41.6700991645531
"Substrate C",80.8354166666667,3,514.393156132296,3.85552434215472,6.67796405043055,533.091934911254,2.84071582353262,4.92026413622336,572.263972824824,22.2829310227625,38.5951686729774
"Substrate C",129.899305555556,3,524.176508682334,4.95744156006394,8.58654065758425,554.026181661705,4.16978554689429,7.22228042388728,576.87846639974,18.8559688969368,32.6594961554331
