"method","descrip","elapsed.time","mean","se","sd","n","rate.crit.met","rsd","leak.l"
"gd01","Cellulose",21.8006944444444,394.494695613104,4.70345749351052,8.14662735000078,3,TRUE,2.06507905951427,FALSE
"gd01","FIC",18.2409722222222,493.483398354679,2.97065961336592,5.1453333823427,3,TRUE,1.04265582175565,FALSE
"gd01","LBD",31.7576388888889,321.395594593062,7.66464729490695,13.2755585368742,3,TRUE,4.13059754402768,FALSE
"gd02","Cellulose",21.8006944444444,394.494695613104,4.70345749351046,8.14662735000068,3,TRUE,2.06507905951425,FALSE
"gd02","FIC",18.2409722222222,493.483398354679,2.97065961336598,5.14533338234279,3,TRUE,1.04265582175567,FALSE
"gd02","LBD",27.9395833333333,308.346879297272,2.2042842379912,3.817932294524,3,TRUE,1.23819391434255,FALSE
"gd03","Cellulose",18.2409722222222,360.90654718998,9.15606425230859,15.8587684823636,3,TRUE,4.39414818208206,FALSE
"gd03","FIC",27.9395833333333,459.993819634069,5.49304952044301,9.51424085789915,3,TRUE,2.0683410193354,FALSE
"gd03","LBD",31.7576388888889,304.109148887729,3.62329025512637,6.27572281244808,3,TRUE,2.06364156928569,FALSE
"gd04","Cellulose",49.9388888888889,429.893058731558,13.1254418166043,22.7339320981478,3,TRUE,5.28827615063767,FALSE
"gd04","FIC",49.9388888888889,581.573907727083,9.68040851723168,16.7669593898678,3,TRUE,2.88303157467925,FALSE
"gd04","LBD",49.9388888888889,342.697701208989,6.6489233075133,11.5162729842419,3,TRUE,3.36047570310923,FALSE
"gd05","Cellulose",49.9388888888889,428.15302123951,4.01276583944134,6.95031431278918,3,TRUE,1.62332483201167,FALSE
"gd05","FIC",49.9388888888889,563.949805207165,9.56204263771697,16.5619436726657,3,TRUE,2.93677620237527,FALSE
"gd05","LBD",49.9388888888889,343.629535304763,6.86703225289501,11.8940487592283,3,TRUE,3.46129989923002,FALSE
"gd06","Cellulose",18.2409722222222,425.047045256777,4.62778775618137,8.0155635203513,3,TRUE,1.8858061971726,FALSE
"gd06","FIC",27.9395833333333,541.846308345387,15.8448893566982,27.4441534061086,3,TRUE,5.06493317079406,FALSE
"gd06","LBD",31.7576388888889,334.50604765859,2.96715335762406,5.13926036925346,3,TRUE,1.53637293114018,FALSE
"gd07","Cellulose",21.8006944444444,393.42577718315,4.69071305751372,8.12455333934052,3,TRUE,2.06507905951427,FALSE
"gd07","FIC",18.2409722222222,492.146261239165,2.96261034719037,5.13139164436299,3,TRUE,1.04265582175566,FALSE
"gd07","LBD",27.9395833333333,316.930954238365,3.62896601788362,6.28555352191534,3,TRUE,1.98325642789311,FALSE
"gd08","Cellulose",21.8006944444444,393.42577718315,4.69071305751371,8.12455333934051,3,TRUE,2.06507905951427,FALSE
"gd08","FIC",18.2409722222222,492.146261239165,2.96261034719036,5.13139164436297,3,TRUE,1.04265582175566,FALSE
"gd08","LBD",27.9395833333333,307.511386030151,2.19831153399026,3.80758726773581,3,TRUE,1.23819391434257,FALSE
"gd09","Cellulose",18.2409722222222,371.730432348876,7.92892341994079,13.7332982126602,3,TRUE,3.69442397435227,FALSE
"gd09","FIC",18.2409722222222,460.616928234084,3.87664589690979,6.71454765640117,3,TRUE,1.45772924198497,FALSE
"gd09","LBD",27.9395833333333,301.95174250256,2.9771325841507,5.15654489661784,3,TRUE,1.70773808221164,FALSE
"gd10","Cellulose",21.8006944444444,405.970349878004,3.60662315307177,6.24685454487457,3,TRUE,1.53874649879031,FALSE
"gd10","FIC",27.9395833333333,526.544591211878,6.55333105088761,11.3507023389561,3,TRUE,2.15569631298114,FALSE
"gd10","LBD",49.9388888888889,335.478204697633,4.83221613802325,8.36964386421053,3,TRUE,2.49483982774801,FALSE
"gd11","Cellulose",21.8006944444444,405.970349878004,3.60662315307183,6.24685454487468,3,TRUE,1.53874649879034,FALSE
"gd11","FIC",27.9395833333333,526.544591211878,6.55333105088759,11.3507023389561,3,TRUE,2.15569631298114,FALSE
"gd11","LBD",49.9388888888889,335.478204697633,4.83221613802327,8.36964386421057,3,TRUE,2.49483982774802,FALSE
"gd12","Cellulose",18.2409722222222,416.483048777851,4.47185372320533,7.74547785260769,3,TRUE,1.85973423776463,FALSE
"gd12","FIC",18.2409722222222,510.781989416983,7.76508688528684,13.4495250105036,3,TRUE,2.6331243640472,FALSE
"gd12","LBD",27.9395833333333,323.24351634976,2.63169516400656,4.55822973409267,3,TRUE,1.41015349219272,FALSE
