"method","elapsed.time","id","exper","descrip","descrip1","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","c.sub.vs","c.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","vol.hs","notes.setup","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se","leak.l"
"gd02",31.75764,"C2","IIS-BMP2","FIC","Substrate C","SC",321.69,146.13,2.14,471.9,471.9,471.9,0,1.94,802.16,22.3,1.7166224,3.258699,1.89832021299501,520,371.73,NA,489.162883883406,1.32103324956232,0.0123074487731503,4,1.86330643490282,601.617777142717,112.454893259311,0.186920828359489,1.04768963123192,0,FALSE
"gd02",31.75764,"C3","IIS-BMP2","FIC","Substrate C","SC",321.78,142.2,2.18,468.3,468.3,468.3,0,2.14000000000004,802.16,22.3,1.7487088,3.17106,1.81337224356622,520,375.62,NA,483.704481128035,1.32103324956232,0.0123074487731503,4,1.86330643490282,591.127128104914,107.422646976879,0.181725117778411,1.00080654683156,0,FALSE
"gd02",31.75764,"D1","IIS-BMP2","LBD","Substrate D","SD",322.24,143.09,3.79,471.15,471.15,471.15,0,2.02999999999992,861.15,22.3,3.2637585,3.190907,0.977678648711294,520,373.12,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",302.882125434038,1.32103324956232,0.0123074487731503,4,1.86330643490282,360.798986525284,57.9168610912458,0.160523901824173,0.539584299803454,0,FALSE
"gd02",31.75764,"D2","IIS-BMP2","LBD","Substrate D","SD",323.34,142.92,3.78,472.1,472.1,472.1,0,2.06000000000006,861.15,22.3,3.255147,3.187116,0.979100483019661,520,373.3,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",312.22352455707,1.32103324956232,0.0123074487731503,4,1.86330643490282,370.224613917227,58.001089360157,0.156664595436987,0.54036901518077,0,FALSE
"gd02",31.75764,"D3","IIS-BMP2","LBD","Substrate D","SD",321.89,144.13,3.78,472.51,472.51,472.51,0,2.71000000000004,861.15,22.3,3.255147,3.214099,0.987389816803972,520,372.09,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",314.628539756258,1.32103324956232,0.0123074487731503,4,1.86330643490282,373.120682279904,58.4921425236456,0.156764675081095,0.544943927777808,0,FALSE
"gd03",31.75764,"L1","IIS-BMP2","Cellulose","Cellulose","CEL",321.75,142.37,1.6,467.77,467.75,467.76,14.1421356237181,2.03999999999996,989.19,22.3,1.582704,3.174851,2.00596637147565,520,376.03,NA,361.619645772801,1.30023395311371,0.051259249358048,4,7.88461941565149,478.580434337686,116.960788564885,0.244391078642295,4.61095652194302,0,FALSE
"gd03",31.75764,"L2","IIS-BMP2","Cellulose","Cellulose","CEL",322.04,142.8,1.62,468.51,468.5,468.505,7.07106781185904,2.04499999999996,989.19,22.3,1.6024878,3.18444,1.98718517545032,520,375.58,NA,383.079560414486,1.30023395311371,0.051259249358048,4,7.88461941565149,498.945284012904,115.865723598418,0.232221302236863,4.56778566946298,0,FALSE
"gd03",31.75764,"L3","IIS-BMP2","Cellulose","Cellulose","CEL",321.59,145.19,1.64,470.55,470.55,470.55,0,2.13000000000005,989.19,22.3,1.6222716,3.237737,1.99580452496364,520,373.17,NA,353.436738767108,1.30023395311371,0.051259249358048,4,7.88461941565149,469.80502608261,116.368287315502,0.247694853939344,4.58759828766958,0,FALSE
"gd03",31.75764,"C1","IIS-BMP2","FIC","Substrate C","SC",322.03,142.25,2.12,468.51,468.52,468.515,7.07106781185904,2.11500000000001,802.16,22.3,1.7005792,3.172175,1.86534975848229,520,375.63,NA,471.798847786672,1.30023395311371,0.051259249358048,4,7.88461941565149,580.560780092104,108.761932305431,0.187339441510632,4.28773221569588,0,FALSE
"gd03",31.75764,"C2","IIS-BMP2","FIC","Substrate C","SC",321.69,146.13,2.14,471.9,471.9,471.9,0,1.94,802.16,22.3,1.7166224,3.258699,1.89832021299501,520,371.73,NA,462.402273068795,1.30023395311371,0.051259249358048,4,7.88461941565149,573.08659570638,110.684322637585,0.193137168914511,4.36351879638269,0,FALSE
"gd03",31.75764,"C3","IIS-BMP2","FIC","Substrate C","SC",321.78,142.2,2.18,468.3,468.3,468.3,0,2.14000000000004,802.16,22.3,1.7487088,3.17106,1.81337224356622,520,375.62,NA,460.36707426916,1.30023395311371,0.051259249358048,4,7.88461941565149,566.09838192471,105.731307655551,0.186771965848178,4.16825560591588,0,FALSE
"gd03",31.75764,"D1","IIS-BMP2","LBD","Substrate D","SD",322.24,143.09,3.79,471.15,471.15,471.15,0,2.02999999999992,861.15,22.3,3.2637585,3.190907,0.977678648711294,520,373.12,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",301.092518941831,1.30023395311371,0.051259249358048,4,7.88461941565149,358.097495367336,57.0049764255046,0.159188425395238,2.24731271956644,0,FALSE
"gd03",31.75764,"D2","IIS-BMP2","LBD","Substrate D","SD",323.34,142.92,3.78,472.1,472.1,472.1,0,2.06000000000006,861.15,22.3,3.255147,3.187116,0.979100483019661,520,373.3,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",309.775935531564,1.30023395311371,0.051259249358048,4,7.88461941565149,366.863814075608,57.0878785440445,0.155610546349167,2.25058097783364,0,FALSE
"gd03",31.75764,"D3","IIS-BMP2","LBD","Substrate D","SD",321.89,144.13,3.78,472.51,472.51,472.51,0,2.71000000000004,861.15,22.3,3.255147,3.214099,0.987389816803972,520,372.09,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",301.45899346599,1.30023395311371,0.051259249358048,4,7.88461941565149,359.030193679768,57.5712002137779,0.160351973809556,2.26963501493956,0,FALSE
"gd04",31.75764,"L1","IIS-BMP2","Cellulose","Cellulose","CEL",321.75,142.37,1.6,467.77,467.75,467.76,14.1421356237181,2.03999999999996,989.19,22.3,1.582704,3.174851,2.00596637147565,520,376.03,NA,429.711119063985,1.54701935786119,0.0564266071842637,4,7.29488055822077,568.871155292299,139.160036228314,0.244624876711863,5.07577921381612,0,FALSE
