"id","date","elapsed.time","exper","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temp.grav","pres.grav","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","method"
"D3","11.10.2018",13.8597222222222,"IIS-BMP2","12.13",20.5,1009.19,470.26,230,469.99,NA,2022-10-12 12:19:00,13.8638888888454,2018-10-11 12:13:00,2018-09-27 15:35:00,"Substrate D",0.269999999999982,0.269999999999982,0,2.51999999999998,2.48000000000002,0.0399999999999636,30,1500,209.112719357875,1951.71871400695,0.561982022366486,"",117.742649221547,1098.93139273451,69.2235208908827,38.9768769836847,"gd"
"D3","15.10.2018",18.2409722222222,"IIS-BMP2","21.22",20.1,1006.09,469.98,193,469.74,NA,2022-10-16 21:22:00,18.2409722222437,2018-10-15 21:22:00,2018-09-27 15:35:00,"Substrate D",0.25,0.240000000000009,0.00999999999999091,2.76999999999998,2.72000000000003,0.0499999999999545,30,1500,193.622888294342,2145.34160230129,0.561982022366486,"",109.02097150144,1207.95236423595,44.193526572175,24.8835312984742,"gd"
"D3","19.10.2018",21.8006944444444,"IIS-BMP2","10.48",20.5,1017.29,469.74,117,469.6,NA,2022-10-20 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,"Substrate D",0.139999999999986,0.139999999999986,0,2.90999999999997,2.86000000000001,0.0499999999999545,30,1500,108.428817444821,2253.77041974611,0.561982022366486,"",61.0517440408006,1269.00410827675,30.4599096996765,17.1507045296045,"gd"
"D3","25.10.2018",27.9395833333333,"IIS-BMP2","14.08",20.6,997.15,469.54,64,469.46,NA,2022-10-26 14:08:00,27.9395833333474,2018-10-25 14:08:00,2018-09-27 15:35:00,"Substrate D",0.140000000000043,0.0800000000000409,0.0600000000000023,3.05000000000001,2.94000000000005,0.109999999999957,30,1500,108.428817444865,2362.19923719098,0.561982022366486,"",61.0517440408253,1330.05585231758,17.6626127964485,9.94508047723851,"gd"
"D3","29.10.2018",31.7576388888889,"IIS-BMP2","09.46",20,1010.42,469.44,45,469.39,NA,2022-10-30 09:46:00,31.7576388889429,2018-10-29 09:46:00,2018-09-27 15:35:00,"Substrate D",0.0699999999999932,0.0500000000000114,0.0199999999999818,3.12,2.99000000000007,0.129999999999939,30,1500,54.2144087224104,2416.41364591339,0.561982022366486,"",30.5258720204003,1360.58172433798,14.1994813678194,7.99513563284402,"gd"
"D3","16.11.2018",49.9388888888889,"IIS-BMP2","14.07",21.5,1000,469.34,121,469.22,"Ambient pressure not measured.",2022-11-17 14:07:00,49.9388888888425,2018-11-16 14:07:00,2018-09-27 15:35:00,"Substrate D",0.169999999999959,0.119999999999948,0.0500000000000114,3.28999999999996,3.11000000000001,0.17999999999995,30,1500,131.663564040121,2548.07720995351,0.561982022366486,"",74.1342606209615,1434.71598495894,7.24172232602932,4.07751175639527,"gd"
"D3","17.12.2018",80.8354166666667,"IIS-BMP2","11.38",21.4,1010.47,469.18,153,469.01,NA,2022-12-18 11:38:00,80.8354166666468,2018-12-17 11:38:00,2018-09-27 15:35:00,"Substrate D",0.210000000000036,0.170000000000016,0.0400000000000205,3.5,3.28000000000003,0.21999999999997,30,1500,162.643226167275,2710.72043612078,0.561982022366486,"",91.5776160612256,1526.29360102016,5.26412635546237,2.96400995995066,"gd"
"D3","04.02.2019",129.899305555556,"IIS-BMP2","13.10",22.1,1009.4,468.97,138,468.79,NA,2023-02-04 13:10:00,128.899305555555,2019-02-04 13:10:00,2018-09-27 15:35:00,"Substrate D",0.21999999999997,0.180000000000007,0.0399999999999636,3.71999999999997,3.46000000000004,0.259999999999934,30,1500,170.388141698998,2881.10857781978,0.561982022366486,"",95.9384549212545,1622.23205594142,3.47278101181222,1.95537812215658,"gd"
"I1","27.09.2018",0,"IIS-BMP2","15.35",20.8,1007.24,729.495,0,729.495,NA,2022-09-28 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,"Inoculum",0,0,0,0,0,0,30,1500,0,0,0.668988023372197,"",0,0,NA,NA,"gd"
"I1","28.09.2018",0.725694444444444,"IIS-BMP2","09.00",20.3,1011.22,729.49,78,729.4,"Difficult to mix. Sludge level near shoulder of bottle.",2022-09-29 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,"Inoculum",0.0950000000000273,0.0900000000000318,0.00499999999999545,0.0950000000000273,0.0900000000000318,0.00499999999999545,30,1500,82.1421189106291,82.1421189106291,0.668988023372197,"",55.0315867654731,55.0315867654731,113.191053809862,75.8329999447667,"gd"
