"id","date","elapsed.time","exper","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","mass.drift","mass.init.orig","mass.final.orig","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak"
"C1","29.10.2018",31.7576388888889,"IIS-BMP2","09.46",20,1010.42,466.37,27,466.35,NA,2022-10-30 09:46:00,31.7576388889429,2018-10-29 09:46:00,2018-09-27 15:35:00,0.0300000000000296,466.34,466.32,"FIC",0.0400000000000205,0.0199999999999818,0.0200000000000387,2.16499999999996,2.05999999999995,0.105000000000018
"C1","30.09.2018",2.97708333333333,"IIS-BMP2","15.02",20.3,1002.34,467.91,469,467.42,NA,2022-10-01 15:02:00,2.97708333334594,2018-09-30 15:02:00,2018-09-27 15:35:00,0.0300000000000296,467.88,467.39,"FIC",0.480000000000018,0.490000000000009,-0.00999999999999091,1.09499999999997,1.13,-0.035000000000025
"C2","01.10.2018",3.71875,"IIS-BMP2","08.50",20.3,1000.62,470.81,181,470.61,NA,2022-10-02 08:50:00,3.71875000004366,2018-10-01 08:50:00,2018-09-27 15:35:00,0.0200000000000387,470.79,470.59,"FIC",0.199999999999989,0.200000000000045,-5.6843418860808e-14,1.28999999999996,1.30000000000001,-0.0100000000000477
"C2","03.10.2018",5.68888888888889,"IIS-BMP2","08.07",20,1002.27,470.6,242,470.36,NA,2022-10-04 08:07:00,5.68888888884248,2018-10-03 08:07:00,2018-09-27 15:35:00,0.0200000000000387,470.58,470.34,"FIC",0.25,0.240000000000009,0.00999999999999091,1.53999999999996,1.54000000000002,-5.6843418860808e-14
"C2","04.02.2019",129.899305555556,"IIS-BMP2","13.10",22.1,1009.4,469.44,110,469.34,NA,2023-02-04 13:10:00,128.899305555555,2019-02-04 13:10:00,2018-09-27 15:35:00,0.0900000000000318,469.35,469.25,"FIC",0.149999999999977,0.100000000000023,0.0499999999999545,2.55999999999995,2.35000000000002,0.209999999999923
"C2","05.10.2018",7.81527777777778,"IIS-BMP2","11.09",20.1,1009.23,470.35,142,470.21,NA,2022-10-06 11:09:00,7.81527777774318,2018-10-05 11:09:00,2018-09-27 15:35:00,0.0200000000000387,470.33,470.19,"FIC",0.149999999999977,0.139999999999986,0.00999999999999091,1.68999999999994,1.68000000000001,0.00999999999993406
"C2","07.04.2019",191.815277777778,"IIS-BMP2","11.09",20.4,1004.06,469.27,77,469.19,NA,NA,NA,2019-04-07 11:09:00,2018-09-27 15:35:00,0.100000000000023,469.17,469.09,"FIC",0.150000000000034,0.0800000000000409,0.0699999999999932,2.70999999999998,2.43000000000006,0.279999999999916
"C2","08.10.2018",10.8388888888889,"IIS-BMP2","11.43",20.4,1007.72,470.21,107,470.09,NA,2022-10-09 11:43:00,10.8388888888439,2018-10-08 11:43:00,2018-09-27 15:35:00,0.0300000000000296,470.18,470.06,"FIC",0.120000000000005,0.120000000000005,0,1.80999999999995,1.80000000000001,0.00999999999993406
"C2","11.10.2018",13.8597222222222,"IIS-BMP2","12.13",20.5,1009.19,470.08,79,470.01,NA,2022-10-12 12:15:00,13.8611111111459,2018-10-11 12:13:00,2018-09-27 15:35:00,0.0200000000000387,470.06,469.99,"FIC",0.0799999999999841,0.0699999999999932,0.00999999999999091,1.88999999999993,1.87,0.019999999999925
"C2","15.10.2018",18.2409722222222,"IIS-BMP2","21.22",20.1,1006.09,469.98,60,469.92,NA,2022-10-16 21:22:00,18.2409722222437,2018-10-15 21:22:00,2018-09-27 15:35:00,0.0300000000000296,469.95,469.89,"FIC",0.0900000000000318,0.0600000000000023,0.0300000000000296,1.97999999999996,1.93000000000001,0.0499999999999545
