"id","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","time.d","xCH4","vol.hs","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"A1","14022017",0,1230,"1230",0,0,0,385.27,385.27,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,NA,190.544,30,150,0,0,0,0,0,0,NA,NA,"grav"
"A1","15022017",1,1016,"0929",187,92.2,0.3,385.26,385.04,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,0.4615,190.544,30,150,0.229999999999961,0.229999999999961,170.112941451711,78.6920449485774,170.112941451711,78.6920449485774,194.569210238652,90.0051983526223,"grav"
"A1","16022017",2,1325,"1250",201,99.1,0.3,385.04,384.8,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,0.5443,190.544,30,150,0.240000000000009,0.46999999999997,182.727703009745,99.6568685585863,352.840644461455,178.348913507164,160.346064798314,87.4502685706059,"grav"
"A1","17022017",3,932,"0854",165,77.7,0.4,384.8,384.62,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,0.5829,190.544,30,150,0.180000000000007,0.649999999999977,142.310461062761,83.1040316999317,495.151105524216,261.452945207095,170.20520259998,99.3935262856326,"grav"
"A1","18022017",4,1644,"1608",257,125.5,0.4,384.6,384.36,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,0.6854,190.544,30,150,0.259999999999991,0.909999999999968,228.894733580609,157.100129666287,724.045839104825,418.553074873382,175.884960702282,120.71728213418,"grav"
"A1","19022017",5,1634,"1559",230,108.7,0.3,384.36,384.12,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,0.727,190.544,30,150,0.240000000000009,1.14999999999998,221.485436610068,161.211970714213,945.531275714893,579.765045587595,222.878426777427,162.225882479711,"grav"
"A1","20022017",6,1121,"1052",171,82.3,0.3,384.13,383.97,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,0.7242,190.544,30,150,0.149999999999977,1.29999999999995,137.980221663495,100.045687421881,1083.51149737839,679.810733009476,175.367625062165,127.154271745374,"grav"
"A1","21022017",7,1605,"1540",124,58.7,0.3,383.98,383.86,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,7.13194444444444,0.720420850708924,190.544,30,150,0.110000000000014,1.40999999999997,100.745248599245,72.6676359098009,1184.25674597763,752.478368919277,83.9543738327041,60.5563632581674,"grav"
"A1","23022017",9,1531,"1510",102,48.5,0.1,383.85,383.75,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,9.11111111111111,0.714187878787879,190.544,30,150,0.110000000000014,1.51999999999998,100.027425162002,71.5275874367703,1284.28417113964,824.005956356047,50.5401727134327,36.1402547048945,"grav"
"A1","01032017",15,1750,"1746",158,76.4,0.2,383.74,383.59,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,15.2194444444444,0.694950959132611,190.544,30,150,0.160000000000025,1.68000000000001,142.363456704215,99.0674992847266,1426.64762784385,923.073455640774,23.3064322025999,16.218417345385,"grav"
