"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"C5-1","17032017",30.96875,31,1209,"1145",35,16.4,0.2,397.09,397.04,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,0.0999999999999659,0.0499999999999545,0.0500000000000114,1.90499999999997,1.57000000000005,0.334999999999923,0.6709,185.894,30,117.725,101.525,0.862391165852623,101.425,0.804800634794684,30,25.565638907049,17.1766554659626,1164.04576584989,737.518056415137,2.54402045650961,1.70923805341622,"man"
"C5-1","06042017",50.8645833333333,51,932,"0915",31,16.3,0.2,396.91,396.88,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,0.160000000000025,0.0300000000000296,0.129999999999995,2.065,1.60000000000008,0.464999999999918,0.6709,185.894,30,117.625,101.525,0.863124335812965,101.525,0.862391165852623,30,25.6405509846702,17.2269862616143,1189.68631683456,754.745042676751,1.28873973535515,0.865858995348155,"man"
"C5-1","16042017",60.9166666666667,61,1050,"1030",22,11.3,0.2,396.82,396.79,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.089999999999975,0.0299999999999727,0.0600000000000023,2.15499999999997,1.63000000000005,0.52499999999992,0.6709,185.894,30,112.625,101.525,0.901442841287458,101.525,0.863124335812965,30,17.3819261614562,11.6783061082746,1207.06824299602,766.423348785026,1.72918643678735,1.16177967502007,"man"
"C5-2","14022017",0,0,1230,"1230",0,0,0,407.235,407.235,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,0,178.144,30,101.325,101.325,1,101.325,1,20,-8.37966304750637,0,-8.37966304750637,0,NA,NA,"man"
"C5-2","15022017",0.874305555555556,1,1002,"0929",190,95.9,0.2,407.22,407,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.235000000000014,0.220000000000027,0.0149999999999864,0.235000000000014,0.220000000000027,0.0149999999999864,0.4348,178.144,30,197.225,101.525,0.514767397642287,101.325,1,30,151.891476369623,66.2057081150446,143.511813322117,66.2057081150446,173.728138182889,75.723764643101,"man"
"C5-2","16022017",2.01388888888889,2,1314,"1250",210,111.1,0.4,407,406.75,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.25,0.25,0,0.485000000000014,0.470000000000027,0.0149999999999864,0.5595,178.144,30,212.425,101.725,0.478874897022479,101.525,0.514767397642287,30,172.375372403898,96.6297713671115,315.887185726015,162.835479482156,151.261752749308,84.7939492800978,"man"
"C5-2","17022017",2.85,3,920,"0854",183,94.2,0.5,406.76,406.54,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.20999999999998,0.21999999999997,-0.00999999999999091,0.694999999999993,0.689999999999998,0.00499999999999545,0.6005,178.144,30,195.525,101.825,0.520777394195116,101.725,0.478874897022479,30,145.049303602491,87.2542233342731,460.936489328506,250.089702816429,173.480894674076,104.357210632353,"man"
"C5-2","18022017",4.15138888888889,4,1631,"1608",278,144.6,0.5,406.54,406.27,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.270000000000039,0.270000000000039,0,0.965000000000032,0.960000000000036,0.00499999999999545,0.6853,178.144,30,245.925,101.825,0.414048998678459,101.825,0.520777394195116,30,224.999752014002,154.404375765094,685.936241342508,404.494078581523,172.892018623353,118.645838368055,"man"
"C5-2","19022017",5.14513888888889,5,1624,"1559",223,115.5,0.2,406.25,406.02,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.25,0.230000000000018,0.0199999999999818,1.21500000000003,1.19000000000005,0.0249999999999773,0.6998,178.144,30,216.825,101.525,0.46823475152773,101.825,0.414048998678459,30,178.189560134163,124.860626323721,864.125801476671,529.354704905244,179.31024919161,125.645913281732,"man"
"C5-2","20022017",5.93194444444444,6,1112,"1052",195,97.9,0.4,406.01,405.82,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.199999999999989,0.189999999999998,0.00999999999999091,1.41500000000002,1.38000000000005,0.0349999999999682,0.7212,178.144,30,199.225,101.725,0.510603588907015,101.525,0.46823475152773,30,151.154569094767,109.145467140913,1015.28037057144,638.500172046157,192.111720650013,138.71974641034,"man"
"C5-2","21022017",7.13194444444444,7,1557,"1540",80,39.6,0.3,405.79,405.72,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,0.0999999999999659,0.0699999999999932,0.0299999999999727,1.51499999999999,1.45000000000005,0.0649999999999409,0.719190325271059,178.144,30,140.925,101.625,0.721128259712613,101.725,0.510603588907015,30,58.7850355962672,42.3295003171774,1074.06540616771,680.829672363335,48.987529663556,35.2745835976479,"man"
"C5-2","23022017",9.11111111111111,9,1523,"1510",64,33.1,0.2,405.68,405.62,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.100000000000023,0.0600000000000023,0.0400000000000205,1.61500000000001,1.51000000000005,0.104999999999961,0.715875757575757,178.144,30,134.425,101.525,0.755253859029198,101.625,0.721128259712613,30,50.0688165360627,35.8875484045165,1124.13422270377,716.717220767851,25.2979283550632,18.1326560359662,"man"
"C5-2","07032017",20.9194444444444,21,1051,"1034",114,60.4,0.4,405.47,405.36,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.259999999999991,0.110000000000014,0.149999999999977,1.875,1.62000000000006,0.254999999999939,0.6961,178.144,30,161.725,101.725,0.628999845416602,101.525,0.755253859029198,30,93.6966369389488,65.3088405244336,1217.83085964272,782.026061292285,7.93478929617068,5.53074161110235,"man"
"C5-2","17032017",30.96875,31,1209,"1145",112,54,0.2,405.36,405.24,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,0.120000000000005,0.120000000000005,0,1.995,1.74000000000007,0.254999999999939,0.6961,178.144,30,155.325,101.525,0.653629486560438,101.725,0.628999845416602,30,82.3913463861458,57.4287773555016,1300.22220602886,839.454838647786,8.19871044129984,5.71470108437028,"man"
"C5-2","06042017",50.8645833333333,51,932,"0915",124,66.1,0.1,405.23,405.11,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,0.129999999999995,0.120000000000005,0.00999999999999091,2.125,1.86000000000007,0.26499999999993,0.6961,178.144,30,167.425,101.425,0.60579363894281,101.525,0.653629486560438,30,102.038932707362,71.1236240828012,1402.26113873622,910.578462730587,5.12865839785693,3.57479995389995,"man"
"C5-2","16042017",60.9166666666667,61,1050,"1030",61,32.4,0.1,404.97,404.86,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.25,0.110000000000014,0.139999999999986,2.375,1.97000000000008,0.404999999999916,0.6961,178.144,30,133.725,101.425,0.758459525144887,101.425,0.60579363894281,30,48.4987434447424,33.8048067118131,1450.75988218097,944.383269442401,4.82474546186038,3.36296522728918,"man"
"C5-3","14022017",0,0,1230,"1230",0,0,0,399.38,399.38,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,0,185.464,30,101.325,101.325,1,101.325,1,20,-8.72398636744833,0,-8.72398636744833,0,NA,NA,"man"
