method,descrip,elapsed.time,mean,se,sd,n,leak.l,rsd,,
vol,Cellulose,30,354.0488072,38.08663037,65.96797889,3,TRUE,18.63245337,mean,8.625551011
vol,Ethanol,30,704.197735,16.14132815,27.95760045,3,TRUE,3.970134958,mean only used subs,9.334284479
vol,Preheated sludge,30,295.1344775,5.870955294,10.16879286,3,TRUE,3.445477785,,
vol,Raw sludge,30,273.7281863,9.582622306,16.5975887,3,TRUE,6.063529272,,
vol,Sludge C1,30,327.2765675,14.78331459,25.60545198,3,TRUE,7.823796301,,
vol,Sludge C2,30,285.2938443,16.77041855,29.04721699,3,TRUE,10.1815085,,
vol,Sludge C3,30,247.6989136,6.56190498,11.36555282,3,TRUE,4.588454852,,
vol,Sludge C4,30,281.9882538,9.587526605,16.6060832,3,TRUE,5.888927278,,
vol,Sludge C5,30,244.1271627,7.633146432,13.22099744,3,TRUE,5.415619177,,
vol,Sludge C6,30,261.4572528,30.56123519,52.9336121,3,TRUE,20.24560862,,
man,Cellulose,30,318.7044788,35.89736498,62.17606001,3,TRUE,19.50900102,mean,9.102097289
man,Ethanol,30,627.5794302,16.40625963,28.41647524,3,TRUE,4.527948793,mean only used subs,10.45082389
man,Preheated sludge,30,255.6845917,4.425793813,7.665699748,3,TRUE,2.998107823,,
man,Raw sludge,30,241.3372464,8.21070046,14.22135036,3,TRUE,5.892729188,,
man,Sludge C1,30,278.6756964,19.35796234,33.5289743,3,TRUE,12.03153871,,
man,Sludge C2,30,243.1767774,14.45104651,25.02994678,3,TRUE,10.29290175,,
man,Sludge C3,30,216.7837065,6.744727044,11.68220992,3,TRUE,5.38887821,,
man,Sludge C4,30,240.5762654,6.846890534,11.85916228,3,TRUE,4.929481411,,
man,Sludge C5,30,213.0676912,5.776825798,10.00575579,3,TRUE,4.69604553,,
man,Sludge C6,30,226.5729471,27.14915787,47.02372081,3,TRUE,20.75434045,,
grav,Cellulose,30,381.6234659,4.932432728,8.543224089,3,TRUE,2.238652717,mean,1.340786055
grav,Ethanol,30,746.5228677,5.061603292,8.76695407,3,TRUE,1.174371804,mean only used subs,1.363482991
grav,Preheated sludge,30,291.3675242,1.552988943,2.689855753,3,TRUE,0.923183104,,
grav,Raw sludge,30,284.5737605,0.723858475,1.253759656,3,TRUE,0.440574582,,
grav,Sludge C1,30,366.8620561,4.687121966,8.118333386,3,TRUE,2.212911706,,
grav,Sludge C2,30,337.2177326,1.461955925,2.53218194,3,TRUE,0.750904147,,
grav,Sludge C3,30,297.6087652,1.337294648,2.316262275,3,TRUE,0.778291014,,
grav,Sludge C4,30,291.4774367,2.102413701,3.641487348,3,TRUE,1.249320492,,
grav,Sludge C5,30,288.1974923,4.312188784,7.468930066,3,TRUE,2.591601338,,
grav,Sludge C6,30,286.4129554,1.733061148,3.001749961,3,TRUE,1.048049645,,
gd03,Cellulose,30,264.1374072,107.3762523,185.9811245,3,TRUE,70.41074813,mean,32.1984588
gd03,Ethanol,30,617.3061743,81.86316893,141.7911679,3,TRUE,22.96934224,mean only used subs,37.92299605
gd03,Preheated sludge,30,279.9057265,21.34781,36.97549156,3,TRUE,13.20998038,,
gd03,Raw sludge,30,221.6699378,33.311823,57.69776993,3,TRUE,26.02868503,,
gd03,Sludge C1,30,243.8869109,32.84768189,56.89385395,3,TRUE,23.3279653,,
gd03,Sludge C2,30,151.8778221,41.10598197,71.19764926,3,TRUE,46.87823955,,
gd03,Sludge C3,30,148.8116318,4.671959543,8.0920713,3,TRUE,5.437794885,,
gd03,Sludge C4,30,246.4498004,30.50737933,52.84033101,3,TRUE,21.44060613,,
gd03,Sludge C5,30,147.2586679,18.48690057,32.02025106,3,TRUE,21.74422159,,
gd03,Sludge C6,30,206.7826932,84.21133923,145.8583181,3,TRUE,70.53700475,,
gd06,Cellulose,30,393.6112468,26.16196202,45.31384744,3,TRUE,11.51233554,mean,7.123540259
gd06,Ethanol,30,728.4202128,40.90859059,70.85575737,3,TRUE,9.727318946,mean only used subs,7.832325302
gd06,Preheated sludge,30,308.0063545,10.03986256,17.38955205,3,TRUE,5.645841976,,
gd06,Raw sludge,30,301.7734001,4.742125027,8.213601483,3,TRUE,2.721777824,,
gd06,Sludge C1,30,363.479313,13.37665013,23.16903767,3,TRUE,6.374238324,,
gd06,Sludge C2,30,336.2632485,17.13485875,29.67844594,3,TRUE,8.825955877,,
gd06,Sludge C3,30,300.3782248,5.323564598,9.220684361,3,TRUE,3.069691343,,
gd06,Sludge C4,30,318.5536406,19.20008586,33.25552422,3,TRUE,10.4395367,,
gd06,Sludge C5,30,286.7774865,3.942634027,6.828842451,3,TRUE,2.381233804,,
gd06,Sludge C6,30,289.2375003,17.59666704,30.47832135,3,TRUE,10.53747226,,
