"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"E2","19022017",5.14513888888889,5,1647,"1559",185,77.2,0.2,348.72,348.54,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.180000000000007,0.180000000000007,0,0.599999999999966,0.599999999999966,0,0.747,226.434,30,150,0.180000000000007,0.599999999999966,170.059202850632,127.174633274742,537.253180130891,377.312825700862,171.128757585541,127.974473735589,"grav"
"E2","20022017",5.93194444444444,6,1135,"1052",115,43,0.3,348.56,348.45,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.0900000000000318,0.110000000000014,-0.0199999999999818,0.689999999999998,0.70999999999998,-0.0199999999999818,0.7505,226.434,30,150,0.0900000000000318,0.689999999999998,85.3844365062333,64.1508663505364,622.637616637125,441.463692051399,108.52037826035,81.5333164561098,"grav"
"E2","23022017",9.11111111111111,9,1542,"1510",50,20.7,0.1,348.46,348.42,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.0299999999999727,0.0399999999999636,-0.00999999999999091,0.71999999999997,0.749999999999943,-0.0299999999999727,0.746745454545454,226.434,30,150,0.0299999999999727,0.71999999999997,28.3346366082386,21.1821710637318,650.972253245363,462.64586311513,8.9125986710056,6.6628061013049,"grav"
"E2","07032017",20.9194444444444,21,1115,"1034",26,10.8,0,348.35,348.32,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.100000000000023,0.0300000000000296,0.0699999999999932,0.819999999999993,0.779999999999973,0.0400000000000205,0.7328,226.434,30,150,0.100000000000023,0.819999999999993,92.9107012532994,68.1644436413908,743.882954498663,530.810306756521,7.86823158108393,5.77257109171976,"grav"
"E2","16042017",60.9166666666667,61,1109,"1030",75,32,0.2,348.31,348.23,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.089999999999975,0.0799999999999841,0.00999999999999091,0.909999999999968,0.859999999999957,0.0500000000000114,0.7328,226.434,30,150,0.089999999999975,0.909999999999968,83.6196311279272,61.3479992772207,827.50258562659,592.158306033742,2.09063596125104,1.53380649627054,"grav"
"E3","14022017",0,0,1230,"1230",0,0,0,359.42,359.42,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,NA,224.254,30,150,0,0,0,0,0,0,NA,NA,"grav"
"E3","15022017",0.874305555555556,1,1034,"0929",70,30.4,0,359.42,359.34,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.0800000000000409,0.0800000000000409,0,0.0800000000000409,0.0800000000000409,0,0.5176,224.254,30,150,0.0800000000000409,0.0800000000000409,58.9951918156966,30.6003291805514,58.9951918156966,30.6003291805514,67.4766292411463,34.9995822239826,"grav"
"E3","16022017",2.01388888888889,2,1340,"1250",62,26.9,0.2,359.32,359.25,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.089999999999975,0.0699999999999932,0.0199999999999818,0.170000000000016,0.150000000000034,0.0199999999999818,0.631691318101933,224.254,30,150,0.089999999999975,0.170000000000016,74.7852759401852,47.3172604918134,133.780467755882,77.9175896723648,65.6251050297786,41.5215448557046,"grav"
"E3","17022017",2.85,3,951,"0854",65,27.9,0.2,359.24,359.18,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.0699999999999932,0.0600000000000023,0.00999999999999091,0.240000000000009,0.210000000000036,0.0299999999999727,0.7154,224.254,30,150,0.0699999999999932,0.240000000000009,63.7421402933011,45.6578324235926,197.522608049183,123.575422095957,76.2364468624199,54.6073743272203,"grav"
"E3","18022017",4.15138888888889,4,1702,"1608",172,73.5,0.2,359.18,359.01,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.170000000000016,0.170000000000016,0,0.410000000000025,0.380000000000052,0.0299999999999727,0.7608,224.254,30,150,0.170000000000016,0.410000000000025,163.286881093637,124.358469595632,360.80948914282,247.933891691589,125.471242676007,95.5582690596104,"grav"
