"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temp.vol","temp.grav","pres.vol","pres.grav","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","method"
"A1","14022017",0,0,1230,"1230",0,0,0,385.27,385.27,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,"A",0,0,0,0,0,0,20,30,101.325,150,0,0,0.645043753830248,"",0,0,NA,NA,"gd03"
"A1","15022017",0.874305555555556,1,1016,"0929",187,92.2,0.3,385.26,385.04,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,"A",0.229999999999961,0.21999999999997,0.00999999999999091,0.229999999999961,0.21999999999997,0.00999999999999091,20,30,101.325,150,193.823199525597,193.823199525597,0.645043753830248,"",125.218405970745,125.218405970745,221.688171022129,143.220416678215,"gd03"
"A1","16022017",2.01388888888889,2,1325,"1250",201,99.1,0.3,385.04,384.8,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,"A",0.240000000000009,0.240000000000009,0,0.46999999999997,0.45999999999998,0.00999999999999091,20,30,101.325,150,202.250295157187,396.073494682784,0.645043753830248,"",130.662684491239,255.881090461984,177.477407084917,114.658297176956,"gd03"
"A1","17022017",2.85,3,932,"0854",165,77.7,0.4,384.8,384.62,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,"A",0.180000000000007,0.180000000000007,0,0.649999999999977,0.639999999999986,0.00999999999999091,20,30,101.325,150,151.68772136789,547.761216050674,0.645043753830248,"",97.9970133684292,353.878103830413,181.420530539669,117.205730274533,"gd03"
"A1","18022017",4.15138888888889,4,1644,"1608",257,125.5,0.4,384.6,384.36,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,"A",0.259999999999991,0.240000000000009,0.0199999999999818,0.909999999999968,0.879999999999995,0.0299999999999727,20,30,101.325,150,219.10448642027,766.865702470944,0.645043753830248,"",141.551241532165,495.429345362578,168.362038658051,108.769363824076,"gd03"
"A1","19022017",5.14513888888889,5,1634,"1559",230,108.7,0.3,384.36,384.12,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,"A",0.240000000000009,0.240000000000009,0,1.14999999999998,1.12,0.0299999999999727,20,30,101.325,150,202.250295157187,969.11599762813,0.645043753830248,"",130.662684491239,626.092029853817,203.522309592137,131.484462381121,"gd03"
"A1","20022017",5.93194444444444,6,1121,"1052",171,82.3,0.3,384.13,383.97,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,"A",0.149999999999977,0.159999999999968,-0.00999999999999091,1.29999999999995,1.27999999999997,0.0199999999999818,20,30,101.325,150,126.406434473218,1095.52243210135,0.645043753830248,"",81.6641778070089,707.756207660826,160.657780795617,103.792070646154,"gd03"
"A1","21022017",7.13194444444444,7,1605,"1540",124,58.7,0.3,383.98,383.86,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,"A",0.110000000000014,0.120000000000005,-0.00999999999999091,1.40999999999997,1.39999999999998,0.00999999999999091,20,30,101.325,150,92.6980519470519,1188.2204840484,0.645043753830248,"",59.8870637251564,767.643271385983,77.2483766225432,49.9058864376303,"gd03"
"A1","23022017",9.11111111111111,9,1531,"1510",102,48.5,0.1,383.85,383.75,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,"A",0.110000000000014,0.100000000000023,0.00999999999999091,1.51999999999998,1.5,0.0199999999999818,20,30,101.325,150,92.6980519470519,1280.91853599545,0.645043753830248,"",59.8870637251564,827.530335111139,46.8369104574578,30.2587269348159,"gd03"
"A1","01032017",15.2194444444444,15,1750,"1746",158,76.4,0.2,383.74,383.59,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,"A",0.160000000000025,0.150000000000034,0.00999999999999091,1.68000000000001,1.65000000000003,0.0299999999999727,20,30,101.325,150,134.833530104807,1415.75206610026,0.645043753830248,"",87.1084563275029,914.638791438642,22.0737020635428,14.2605931231928,"gd03"
"A1","07032017",20.9194444444444,21,1104,"1034",103,49.2,0.3,383.57,383.48,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,"A",0.109999999999957,0.089999999999975,0.0199999999999818,1.78999999999996,1.74000000000001,0.0499999999999545,20,30,101.325,150,92.698051947004,1508.45011804726,0.645043753830248,"",59.8870637251254,974.525855163767,16.2628161310533,10.5065024079167,"gd03"
"A1","17032017",30.96875,31,1224,"1145",119,51.4,0.1,383.47,383.35,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,"A",0.129999999999995,0.120000000000005,0.00999999999999091,1.91999999999996,1.86000000000001,0.0599999999999454,20,30,101.325,150,109.552243210135,1618.0023612574,0.645043753830248,"",70.7756207660826,1045.30147592985,10.9014739978297,7.04283697762138,"gd03"
"A1","06042017",50.8645833333333,51,940,"0915",135,66.8,0.2,383.33,383.2,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,"A",0.150000000000034,0.129999999999995,0.0200000000000387,2.06999999999999,1.99000000000001,0.0799999999999841,20,30,101.325,150,126.406434473266,1744.40879573066,0.645043753830248,"",81.6641778070398,1126.96565373689,6.35341241331597,4.10458694736954,"gd03"
"A1","16042017",60.9166666666667,61,1100,"1030",64,31.7,0.2,383.16,383.09,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,"A",0.110000000000014,0.07000000000005,0.0399999999999636,2.18000000000001,2.06000000000006,0.119999999999948,20,30,101.325,150,92.6980519470519,1837.10684767771,0.645043753830248,"",59.8870637251564,1186.85271746205,9.22177511597615,5.95767680581867,"gd03"
"A2","14022017",0,0,1230,"1230",0,0,0,391.09,391.09,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,"A",0,0,0,0,0,0,20,30,101.325,150,0,0,0.558516723955165,"",0,0,NA,NA,"gd03"
"A2","15022017",0.874305555555556,1,1016,"0929",174,86.1,0.2,391.09,390.87,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,"A",0.21999999999997,0.21999999999997,0,0.21999999999997,0.21999999999997,0,20,30,101.325,150,169.814422177567,169.814422177567,0.558516723955165,"",95.0272725462856,95.0272725462856,194.227774373071,108.688858194322,"gd03"
"A2","16022017",2.01388888888889,2,1325,"1250",202,98.8,0.4,390.89,390.65,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,"A",0.220000000000027,0.240000000000009,-0.0199999999999818,0.439999999999998,0.45999999999998,-0.0199999999999818,20,30,101.325,150,169.814422177611,339.628844355177,0.558516723955165,"",95.0272725463101,190.054545092596,149.014483812163,83.3877345927401,"gd03"
"A2","17022017",2.85,3,932,"0854",169,79.9,0.4,390.67,390.44,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,"A",0.20999999999998,0.230000000000018,-0.0200000000000387,0.649999999999977,0.689999999999998,-0.0400000000000205,20,30,101.325,150,162.095584805865,501.724429161043,0.558516723955165,"",90.7078510669123,280.762396159508,193.868473521965,108.487795295975,"gd03"
"A2","18022017",4.15138888888889,4,1644,"1608",255,123.9,0.5,390.48,390.2,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,"A",0.240000000000009,0.28000000000003,-0.0400000000000205,0.889999999999986,0.970000000000027,-0.0800000000000409,20,30,101.325,150,185.252096921014,686.976526082056,0.558516723955165,"",103.666115505057,384.428511664565,142.349530184771,79.6580610070873,"gd03"
"A2","19022017",5.14513888888889,5,1634,"1559",214,101,0.4,390.19,389.99,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,"A",0.20999999999998,0.199999999999989,0.00999999999999091,1.09999999999997,1.17000000000002,-0.07000000000005,20,30,101.325,150,162.095584805865,849.072110887922,0.558516723955165,"",90.7078510669123,475.136362731477,163.115053892694,91.2783406962639,"gd03"
