"descrip","elapsed.time","n","mean.vol","se.vol","sd.vol","rsd.vol","mean.man","se.man","sd.man","rsd.man","mean.grav","se.grav","sd.grav","rsd.grav","mean.gd03","se.gd03","sd.gd03","rsd.gd03","mean.gd06","se.gd06","sd.gd06","rsd.gd06"
"Cellulose",0,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
"Cellulose",0.874305555555556,3,0.086693221330189,0.798952391080799,1.38382613418058,1596.23337666736,-0.243373052705912,0.828556014250349,1.43510111359837,-589.671328703971,1.20239636958158,0.444356320045427,0.769647722983017,64.0094849297362,7.79855020085617,6.66125898804118,11.5376390096622,147.945947804446,-1.21919800891081,3.15760306090798,5.46912893162763,-448.584142334154
"Cellulose",2.01388888888889,3,13.3455855583615,2.89639095483267,5.01669629235312,37.5906794828494,12.3314520281056,2.86947779237413,4.97008132758257,40.3041046281887,12.6009822759967,3.33722019915633,5.78023494098388,45.8713044299293,19.7420666901112,12.2347820391618,21.1912641113594,107.340657105439,11.338038737292,3.90535703212264,6.76427680133281,59.6600254952773
"Cellulose",2.85,3,60.3089608533692,4.93906787063036,8.55471649396281,14.1848182640091,56.8607563761706,5.09740112207238,8.82895772998797,15.5273307860675,54.8335035262503,4.69973531633117,8.14018035001138,14.8452676311563,53.7968491079255,25.7030569816033,44.5190006019749,82.7539183803541,65.6579577645169,5.20233936406706,9.01071609677972,13.7237227650253
"Cellulose",4.15138888888889,3,153.793950891839,8.81518707032932,15.2683518840346,9.92779741693001,144.182284406244,8.80383713495203,15.2486932192985,10.5759825363386,156.648981711854,6.41061345027605,11.1035082035625,7.08814579081448,124.175556535948,51.2939653515524,88.8437541105664,71.5468942431086,185.168642251841,9.85465768110991,17.0687677948813,9.21795806639152
"Cellulose",5.14513888888889,3,239.446300691534,13.0944228221215,22.6802056237039,9.47193820000652,221.699092663466,13.0130492693335,22.5392624958827,10.1666011462198,243.345968380227,6.96707116324538,12.067321234689,4.95891561919524,176.536855967859,70.01952603144,121.277376608346,68.6980494489071,273.198173386884,13.5433003972475,23.4576843902005,8.58632548651097
"Cellulose",5.93194444444444,3,285.668465337579,13.5178776565286,23.4136509116076,8.19609223718107,262.533183527118,13.3533418619092,23.1286665556631,8.80980691466532,289.103588169263,7.74079724162584,13.407454113585,4.63759519502583,203.708665891783,79.98094960996,138.531068362057,68.0045042539572,317.546479173273,15.9891585789446,27.6940350290078,8.72125400385758
"Cellulose",9.11111111111111,3,338.822491855301,21.0998433372257,36.5460006918186,10.7861790673053,309.855769092768,20.3023164317982,35.164643571215,11.3487135237708,334.457456961636,6.08556695683755,10.540511162105,3.15152523668025,230.609639483257,90.0705503660846,156.00676949975,67.6497174399671,360.696551781334,19.2685476744574,33.3741035602233,9.25268162265541
"Cellulose",20.9194444444444,3,356.738245519567,34.334480808844,59.4690652124164,16.6702241655652,324.694680207602,32.0831553324369,55.5696551029051,17.1144334940674,371.893628166832,7.87968776157646,13.6480195508291,3.66987184429699,256.44051160847,102.289157315195,177.170017533323,69.0881547623117,389.050256968622,22.9874945445798,39.8155084899245,10.2340270380893
"Cellulose",60.9166666666667,3,359.934694702643,51.2801586567569,88.819840213696,24.6766542711516,323.805440976992,48.3814390965902,83.7991106585936,25.8794634227743,397.942485532182,11.4119487200221,19.7660749964489,4.96706828626632,290.061484091484,124.624622184354,215.856177497376,74.417387118276,398.237896010934,30.8756435203447,53.4781832936219,13.4287027501154
"Ethanol",0,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
"Ethanol",0.874305555555556,3,39.1610130567297,1.02373975524566,1.77316926981361,4.5278942790498,36.8432753163385,1.30534441807324,2.26092285347929,6.13659571269622,25.8331157713813,2.31671707470369,4.01267168014913,15.5330534483746,57.9467292105666,12.0555038061232,20.8807451030454,36.0343808658622,51.1232991804923,4.60617219340142,7.97812426738223,15.6056522080377
"Ethanol",2.01388888888889,3,94.8392671814546,7.06591348994022,12.2385211664628,12.904487276401,88.559217286484,6.97462045023819,12.0803969833215,13.641038565463,90.2668002676925,2.96429559111187,5.13431057245817,5.68792796158944,121.651189588253,18.7383960301757,32.4558539766113,26.6794382253581,126.197672388264,6.63891788712652,11.498943087781,9.11185037740073
"Ethanol",2.85,3,159.791796632934,9.3158782221901,16.1355743979577,10.0978740698583,146.980202621296,8.40100445595046,14.5509665523187,9.89994998837374,157.673642946331,2.84671501579836,4.930655042032,3.12712698831364,173.53896357718,25.6506944627939,44.4283060589846,25.6013434350295,190.734896062936,10.1733006569576,17.6206736185243,9.23830614231707
