"id","mean","stddev","day.start","day.end","interval_nb","detect.lim.int","detect.lim.tot"
"W1",361.305882352941,0.015024489812222,361.32,361.32,17,0.07512244906111,0.309737792334039
"W2",360.087647058824,0.0156242646885843,360.11,360.11,17,0.0781213234429217,0.322102468168207
"W3",348.071176470588,0.013639259941968,348.08,348.09,17,0.0681962997098399,0.281180546979949
