"id","descrip","descrip2","descrip1","tare","m.inoc","m.sub","m.water","m.tot1","m.tot2","m.tot","m.tot.sd","vol.hs","conc.sub.vs","m.sub.vs","conc.inoc.vs","m.inoc.vs","date","time.d","day.grav","time.orig.grav","time.grav","vol.grav","pres.init.grav","pres.resid.grav","mass.init.grav","mass.final.grav","notes.grav","date.time.grav","start.time.grav","xCH4.grav","vol.hs.gdv","temperature","pressure","massloss","cmassloss","vBg.grav","vCH4.grav","cvBg.grav","cvCH4.grav","rvBg.grav","rvCH4.grav","xCH4c.grav","day.gdt","time.orig.gdt","time.gdt","vol.gdt","pres.init.gdt","pres.resid.gdt","mass.init.gdt","mass.final.gdt","notes.gdt","date.time.gdt","start.time.gdt","temp.vol.gdt","temp.grav.gdt","pres.vol.gdt","pres.grav.gdt","mass.tot.gdt","mass.vent.gdt","mass.leak.gdt","cmass.tot.gdt","cmass.leak.gdt","cmass.vent.gdt","vBg.gdt","cvBg.gdt","xCH4.gdt","xCH4.lim.flag.gdt","vCH4.gdt","cvCH4.gdt","rvBg.gdt","rvCH4.gdt","xCH4c.gdt","day.gdv","time.orig.gdv","time.gdv","vol.gdv","pres.init.gdv","pres.resid.gdv","mass.init.gdv","mass.final.gdv","notes.gdv","date.time.gdv","start.time.gdv","temp.vol.gdv","temp.grav.gdv","pres.vol.gdv","pres.grav.gdv","mass.tot.gdv","mass.vent.gdv","mass.leak.gdv","cmass.tot.gdv","cmass.leak.gdv","cmass.vent.gdv","vBg.gdv","cvBg.gdv","xCH4.gdv","xCH4.lim.flag.gdv","vCH4.gdv","cvCH4.gdv","rvBg.gdv","rvCH4.gdv","xCH4c.gdv","daygdvhc","time.origgdvhc","timegdvhc","volgdvhc","pres.initgdvhc","pres.residgdvhc","mass.initgdvhc","mass.finalgdvhc","notesgdvhc","date.timegdvhc","start.timegdvhc","vol.hsgdvhc","temp.volgdvhc","temp.gravgdvhc","pres.volgdvhc","pres.gravgdvhc","mass.totgdvhc","mass.ventgdvhc","mass.leakgdvhc","cmass.totgdvhc","cmass.leakgdvhc","cmass.ventgdvhc","vBggdvhc","cvBggdvhc","xCH4gdvhc","xCH4.lim.flaggdvhc","vCH4gdvhc","cvCH4gdvhc","rvBggdvhc","rvCH4gdvhc","xCH4c.gdv.hc","aerr1","aerr2"
"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,"07032017",20.9194444444444,21,1104,"1034",103,49.2,0.3,383.57,383.48,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.677,190.544,30,150,0.109999999999957,1.78999999999996,95.9478319242709,65.0483701252062,1522.59545976812,988.12182576598,16.8329529691703,11.4119947588081,0.648972003316273,21,1104,"1034",103,49.2,0.3,383.57,383.48,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.109999999999957,0.089999999999975,0.0199999999999818,1.78999999999996,0.0499999999999545,1.74000000000001,93.7510185160318,1545.52649941963,0.668842792630456,"",62.7046930362123,1033.7142599562,16.4475471080758,11.0008233396864,0.668842792630456,21,1104,"1034",103,49.2,0.3,383.57,383.48,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.109999999999957,0.089999999999975,0.0199999999999818,1.78999999999996,0.0499999999999545,1.74000000000001,97.8406068921543,1592.13351215474,0.694637879846117,"",68.0544787307078,1107.43197207284,17.1650187530095,11.9393822334575,0.695564764900953,21,1104,"1034",103,49.2,0.3,383.57,383.48,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,190.544,20,30,101.325,150,0.109999999999957,0.089999999999975,0.0199999999999818,1.78999999999996,0.0499999999999545,1.74000000000001,99.2718101995372,1615.42309324762,0.707529749023152,"",70.3275183955115,1144.4205266183,17.4161070525504,12.3381611220196,0.708433927558615,0.0465927615846797,0.0594619242423414
"A2","A","After preheater","Preheated sludge",257.13,100.34,33.69,NA,391.09,391.09,391.09,0,193.374,93.7644,3.158922636,32.4977,3.260819218,"07032017",20.9194444444444,21,1104,"1034",96,45.4,0.1,389.49,389.4,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6772,193.374,30,150,0.110000000000014,1.69,95.9688855553297,65.0818075398441,1436.02064367818,930.255640479877,16.8366465886543,11.4178609719025,0.64780102192483,21,1104,"1034",96,45.4,0.1,389.49,389.4,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.110000000000014,0.0900000000000318,0.0199999999999818,1.69,-0.0100000000000477,1.70000000000005,87.3795900731947,1437.2122158914,0.654724924123918,"",57.2095954806515,940.978658999465,15.3297526444201,10.0367711369564,0.654724924123918,21,1104,"1034",96,45.4,0.1,389.49,389.4,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.110000000000014,0.0900000000000318,0.0199999999999818,1.69,-0.0100000000000477,1.70000000000005,93.1059911353596,1430.44659107944,0.649177101692957,"",60.5349534771349,930.037012512229,16.3343844097122,10.6201672766903,0.650172483413316,21,1104,"1034",96,45.4,0.1,389.49,389.4,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,193.374,20,30,101.325,150,0.110000000000014,0.0900000000000318,0.0199999999999818,1.69,-0.0100000000000477,1.70000000000005,93.8777548436279,1442.30368805192,0.656898950558553,"",61.7606699855446,948.868475232339,16.4697815515137,10.8352052606219,0.657883969300494,0.00237146148848622,0.0100829473756641
"A3","A","After preheater","Preheated sludge",254.13,103.49,33.6,NA,391.14,391.14,391.14,0,190.314,93.7644,3.15048384,32.4977,3.363186973,"07032017",20.9194444444444,21,1104,"1034",99,47.1,0.2,389.55,389.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6737,190.314,30,150,0.110000000000014,1.69,95.6017705898931,64.4987548919948,1447.57199711574,948.080842022586,16.7722404543672,11.3155710336833,0.654945552906259,21,1104,"1034",99,47.1,0.2,389.55,389.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.110000000000014,0.100000000000023,0.00999999999999091,1.69,0.0200000000000387,1.66999999999996,90.110202262982,1473.6203784219,0.677889395793543,"",61.0847505668868,998.951627957472,15.8088074145583,10.7166229064714,0.677889395793543,21,1104,"1034",99,47.1,0.2,389.55,389.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.110000000000014,0.100000000000023,0.00999999999999091,1.69,0.0200000000000387,1.66999999999996,97.1963217228682,1493.28894283297,0.68871090489603,"",67.0312238669565,1029.84334850129,17.0519862671699,11.7598638363082,0.689647742618078,21,1104,"1034",99,47.1,0.2,389.55,389.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,190.314,20,30,101.325,150,0.110000000000014,0.100000000000023,0.00999999999999091,1.69,0.0200000000000387,1.66999999999996,98.5959822508861,1514.79281821797,0.701488543273387,"",69.2541672328871,1063.9958420324,17.2975407457695,12.1498539005065,0.702403542739335,0.0347021897118194,0.0474579898330766
"B1","RS","Before preheater","Raw sludge",257.37,101.41,29.82,NA,388.55,388.55,388.55,0,196.174,107.4922,3.205417404,32.4977,3.295591757,"07032017",20.9194444444444,21,1108,"1034",80,38.1,0.3,386.85,386.78,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.677,196.174,30,150,0.140000000000043,1.77000000000004,122.115422449158,82.788834704866,1487.00524616394,938.404492926727,21.4237583244136,14.524356965766,0.631070062024025,21,1108,"1034",80,38.1,0.3,386.85,386.78,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.140000000000043,0.07000000000005,0.0699999999999932,1.77000000000004,0.139999999999986,1.63000000000005,72.8163250609956,1394.43262491807,0.580216799765872,"",42.2492550976023,809.073235119084,12.7747938703501,7.41215001712321,0.580216799765872,21,1108,"1034",80,38.1,0.3,386.85,386.78,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.140000000000043,0.07000000000005,0.0699999999999932,1.77000000000004,0.139999999999986,1.63000000000005,119.91457811725,1516.06288048194,0.660269125260807,"",79.293449781789,1002.49575795519,21.0376452837281,13.9111315406647,0.661249457962129,21,1108,"1034",80,38.1,0.3,386.85,386.78,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,196.174,20,30,101.325,150,0.140000000000043,0.07000000000005,0.0699999999999932,1.77000000000004,0.139999999999986,1.63000000000005,121.194081989732,1532.23946515546,0.670069594646442,"",81.325560131464,1028.18743880464,21.2621196473215,14.267642128327,0.67103573702843,0.0301793959381039,0.0399656750044048
"B2","RS","Before preheater","Raw sludge",255.12,102.59,29.76,NA,387.4,387.4,387.4,0,195.054,107.4922,3.198967872,32.4977,3.333939043,"07032017",20.9194444444444,21,1108,"1034",117,55.9,0.2,385.75,385.65,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.677,195.054,30,150,0.120000000000005,1.75,104.67036209925,70.9618583184373,1467.80896567628,924.033456302819,18.363221420921,12.449448827796,0.629532505871485,21,1108,"1034",117,55.9,0.2,385.75,385.65,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.120000000000005,0.100000000000023,0.0199999999999818,1.75,0.0399999999999068,1.71000000000009,106.493875401706,1494.55507187693,0.658688137102898,"",70.1462524012179,984.445696092306,18.683136035387,12.3063600703891,0.658688137102898,21,1108,"1034",117,55.9,0.2,385.75,385.65,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.120000000000005,0.100000000000023,0.0199999999999818,1.75,0.0399999999999068,1.71000000000009,105.019168869956,1531.52954602013,0.680027994882256,"",71.5158338585136,1042.93924376995,18.4244155912203,12.5466375190375,0.680978859650576,21,1108,"1034",117,55.9,0.2,385.75,385.65,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,195.054,20,30,101.325,150,0.120000000000005,0.100000000000023,0.0199999999999818,1.75,0.0399999999999068,1.71000000000009,106.39242326903,1551.5561726733,0.691757029316556,"",73.6968389630021,1074.74556821041,18.6653374156194,12.9292699935091,0.692688790221911,0.0514463537790916,0.0631562843504264
"B3","RS","Before preheater","Raw sludge",255.9,100.25,29.36,NA,385.45,385.45,385.45,0,197.794,107.4922,3.155970992,32.4977,3.257894425,"07032017",20.9194444444444,21,1108,"1034",110,50.8,0.3,383.83,383.74,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6798,197.794,30,150,0.120000000000005,1.70999999999998,104.992824643712,71.4739939110511,1434.86957303643,903.861128916983,18.4197937971425,12.5392971773774,0.629925636379799,21,1108,"1034",110,50.8,0.3,383.83,383.74,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.120000000000005,0.089999999999975,0.0300000000000296,1.70999999999998,0.089999999999975,1.62,100.122446958869,1399.89384929764,0.618339433317138,"",61.9096571148723,865.60956947885,17.5653415717314,10.8613433534864,0.618339433317138,21,1108,"1034",110,50.8,0.3,383.83,383.74,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.120000000000005,0.089999999999975,0.0300000000000296,1.70999999999998,0.089999999999975,1.62,103.827659884135,1479.54415334886,0.669600879718958,"",69.6234771459711,992.134549330039,18.2153789270413,12.2146451133283,0.670567719851013,21,1108,"1034",110,50.8,0.3,383.83,383.74,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,197.794,20,30,101.325,150,0.120000000000005,0.089999999999975,0.0300000000000296,1.70999999999998,0.089999999999975,1.62,105.115992331099,1497.90289071808,0.680864971067174,"",71.6696090535028,1021.29192901236,18.4414021633507,12.5736156234215,0.681814512369867,0.0406420834712141,0.0518888759900686
"C1-1","HS1","Conf. 1","Sludge C1",257.39,101.39,50.86,NA,409.53,409.53,409.53,0,175.154,64.0804,3.259129144,32.4977,3.294941803,"07032017",20.9194444444444,21,1034,"1034",149,80.9,0,407.59,407.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.7217,175.154,30,150,0.189999999999998,2.07999999999998,174.271167131443,125.924432608956,1816.10251987056,1223.42099971175,19.4444816883061,14.0501458977914,0.673651947687923,21,1034,"1034",149,80.9,0,407.59,407.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.189999999999998,0.139999999999986,0.0500000000000114,2.07999999999998,0.0400000000000205,2.03999999999996,135.620405426104,1783.08975993113,0.662198483794796,"",89.8076268448017,1180.75933549642,15.1319838690214,10.0203767748733,0.662198483794796,21,1034,"1034",149,80.9,0,407.59,407.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.189999999999998,0.139999999999986,0.0500000000000114,2.07999999999998,0.0400000000000205,2.03999999999996,166.290816809863,1820.44683665535,0.680085184393982,"",113.25002588672,1239.78975707568,18.5540660317839,12.6359861519353,0.681035958926163,21,1034,"1034",149,80.9,0,407.59,407.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,175.154,20,30,101.325,150,0.189999999999998,0.139999999999986,0.0500000000000114,2.07999999999998,0.0400000000000205,2.03999999999996,167.868860137322,1837.72225834542,0.688626751911782,"",115.756277135295,1267.22661284955,18.7301378116956,12.91562366921,0.689563728738031,0.00738401123824017,0.0159117810501078
"C1-2","HS1","Conf. 1","Sludge C1",257.1,99.93,53.6,NA,410.62,410.61,410.615,0.00707106781185904,173.874,64.0804,3.43470944,32.4977,3.247495161,"07032017",20.9194444444444,21,1034,"1034",84,46.2,0.2,408.5,408.43,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6998,173.874,30,150,0.21999999999997,2.185,196.817442765572,137.913518371332,1880.24133161365,1244.28628901668,21.9601051900219,15.3878402645837,0.661769459109174,21,1034,"1034",84,46.2,0.2,408.5,408.43,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.21999999999997,0.0699999999999932,0.149999999999977,2.185,0.185000000000002,2,76.4571413140454,1768.52649491893,0.607200101451913,"",46.4247839626116,1073.84946713517,8.53078285233421,5.17989221340158,0.607200101451913,21,1034,"1034",84,46.2,0.2,408.5,408.43,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.21999999999997,0.0699999999999932,0.149999999999977,2.185,0.185000000000002,2,194.803094665336,1934.74891747189,0.690607314494253,"",134.714327098548,1337.95820322895,21.7353522639147,15.0308872634364,0.691541001081028,21,1034,"1034",84,46.2,0.2,408.5,408.43,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,173.874,20,30,101.325,150,0.21999999999997,0.0699999999999932,0.149999999999977,2.185,0.185000000000002,2,196.910057501215,1955.6748892737,0.700218151984618,"",138.060609260919,1371.19286925068,21.9704387727995,15.4042520793216,0.70113538644448,0.0297715419718537,0.039365927335306
"C1-3","HS1","Conf. 1","Sludge C1",234.47,100.13,50.13,NA,384.73,384.72,384.725,0.00707106781185904,177.144,64.0804,3.212350452,32.4977,3.253994701,"07032017",20.9194444444444,21,1034,"1034",85,42.4,0.2,382.74,382.66,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.7034,177.144,30,150,0.199999999999989,2.065,179.652405306492,126.531274843301,1790.09271069626,1196.25430446821,20.044898778967,14.1178549337016,0.668263882267261,21,1034,"1034",85,42.4,0.2,382.74,382.66,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.199999999999989,0.0799999999999841,0.120000000000005,2.065,0.355000000000132,1.70999999999987,77.3673453773078,1520.95098971154,0.509756107525732,"",39.4384768291353,775.314056252766,8.63233979105247,4.4003879307264,0.509756107525732,21,1034,"1034",85,42.4,0.2,382.74,382.66,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.199999999999989,0.0799999999999841,0.120000000000005,2.065,0.355000000000132,1.70999999999987,178.135579307223,1839.24985634718,0.695860483620868,"",124.122249065371,1281.56222160003,19.8756573843484,13.8490654466244,0.696785277528993,21,1034,"1034",85,42.4,0.2,382.74,382.66,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,177.144,20,30,101.325,150,0.199999999999989,0.0799999999999841,0.120000000000005,2.065,0.355000000000132,1.70999999999987,180.611349784405,1864.81218652409,0.708101430809976,"",128.054272186444,1322.16036032511,20.1518939787342,14.2877849022532,0.709004568867359,0.0285213952617327,0.0407406866000988
"C2-1","HS2","Conf. 2","Sludge C2",248.38,101.18,46.78,NA,396.28,396.29,396.285,0.00707106781189924,179.444,69.6715,3.25923277,32.4977,3.288117286,"07032017",20.9194444444444,21,1038,"1034",45,23.4,0,394.21,394.18,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.7049,179.444,30,150,0.21999999999997,2.10500000000002,197.952979963769,139.716980590185,1767.88730583644,1132.40385491183,22.0868039011179,15.5890633852368,0.640540746671661,21,1038,"1034",45,23.4,0,394.21,394.18,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.21999999999997,0.0299999999999727,0.189999999999998,2.10500000000002,0.244999999999891,1.86000000000013,40.95918284681,1633.81629355609,0.565018644376455,"",23.1427019668719,923.136667345225,4.5700622423219,2.58217037287274,0.565018644376455,21,1038,"1034",45,23.4,0,394.21,394.18,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.21999999999997,0.0299999999999727,0.189999999999998,2.10500000000002,0.244999999999891,1.86000000000013,193.505416060724,1851.49500367219,0.684584262566899,"",132.653351606643,1269.25138696375,21.5905624614476,14.800931838956,0.6855278488175,21,1038,"1034",45,23.4,0,394.21,394.18,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,179.444,20,30,101.325,150,0.21999999999997,0.0299999999999727,0.189999999999998,2.10500000000002,0.244999999999891,1.86000000000013,195.708482614211,1872.57434501352,0.694762466959587,"",136.152265866027,1302.72963476376,21.8363718398004,15.1913267354005,0.69568913951684,0.044987102145839,0.0551483928451791
