"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temp.vol","temp.grav","pres.vol","pres.grav","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","method"
"A1","14022017",0,0,1230,"1230",0,0,0,385.27,385.27,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,"Preheated sludge",0,0,0,0,0,0,20,30,101.325,150,0,0,0.697186680130504,"",0,0,NA,NA,"gd06"
"A1","15022017",0.874305555555556,1,1016,"0929",187,92.2,0.3,385.26,385.04,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,"Preheated sludge",0.229999999999961,0.21999999999997,0.00999999999999091,0.229999999999961,0.21999999999997,0.00999999999999091,20,30,101.325,150,205.160616520185,205.160616520185,0.697186680130504,"",143.224512016041,143.224512016041,234.655510555255,163.815168628355,"gd06"
"A1","16022017",2.01388888888889,2,1325,"1250",201,99.1,0.3,385.04,384.8,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,"Preheated sludge",0.240000000000009,0.240000000000009,0,0.46999999999997,0.45999999999998,0.00999999999999091,20,30,101.325,150,214.080643325454,419.241259845639,0.697186680130504,"",149.451664712422,292.676176728463,187.858699810271,131.145884939602,"gd06"
"A1","17022017",2.85,3,932,"0854",165,77.7,0.4,384.8,384.62,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,"Preheated sludge",0.180000000000007,0.180000000000007,0,0.649999999999977,0.639999999999986,0.00999999999999091,20,30,101.325,150,160.560482494091,579.80174233973,0.697186680130504,"",112.088748534316,404.764925262779,192.032470757052,134.059632798518,"gd06"
"A1","18022017",4.15138888888889,4,1644,"1608",257,125.5,0.4,384.6,384.36,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,"Preheated sludge",0.259999999999991,0.240000000000009,0.0199999999999818,0.909999999999968,0.879999999999995,0.0299999999999727,20,30,101.325,150,231.920696935892,811.722439275622,0.697186680130504,"",161.905970105112,566.670895367891,178.210140655115,124.410137113853,"gd06"
"A1","19022017",5.14513888888889,5,1634,"1559",230,108.7,0.3,384.36,384.12,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,"Preheated sludge",0.240000000000009,0.240000000000009,0,1.14999999999998,1.12,0.0299999999999727,20,30,101.325,150,214.080643325454,1025.80308260108,0.697186680130504,"",149.451664712422,716.122560080313,215.427062465866,150.391612289229,"gd06"
"A1","20022017",5.93194444444444,6,1121,"1052",171,82.3,0.3,384.13,383.97,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,"Preheated sludge",0.149999999999977,0.159999999999968,-0.00999999999999091,1.29999999999995,1.27999999999997,0.0199999999999818,20,30,101.325,150,133.800402078384,1159.60348467946,0.697186680130504,"",93.4072904452459,809.529850525559,170.055233003418,118.717121130763,"gd06"
"A1","21022017",7.13194444444444,7,1605,"1540",124,58.7,0.3,383.98,383.86,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,"Preheated sludge",0.110000000000014,0.120000000000005,-0.00999999999999091,1.40999999999997,1.39999999999998,0.00999999999999091,20,30,101.325,150,98.1202948575084,1257.72377953697,0.697186680130504,"",68.4986796598659,878.028530185425,81.766912381257,57.0822330498882,"gd06"
"A1","23022017",9.11111111111111,9,1531,"1510",102,48.5,0.1,383.85,383.75,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,"Preheated sludge",0.110000000000014,0.100000000000023,0.00999999999999091,1.51999999999998,1.5,0.0199999999999818,20,30,101.325,150,98.1202948575084,1355.84407439448,0.697186680130504,"",68.4986796598659,946.52720984529,49.5765700332674,34.6098591965638,"gd06"
"A1","01032017",15.2194444444444,15,1750,"1746",158,76.4,0.2,383.74,383.59,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,"Preheated sludge",0.160000000000025,0.150000000000034,0.00999999999999091,1.68000000000001,1.65000000000003,0.0299999999999727,20,30,101.325,150,142.720428883653,1498.56450327813,0.697186680130504,"",99.6344431416263,1046.16165298692,23.3648723956867,16.3112321650684,"gd06"
"A1","07032017",20.9194444444444,21,1104,"1034",103,49.2,0.3,383.57,383.48,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,"Preheated sludge",0.109999999999957,0.089999999999975,0.0199999999999818,1.78999999999996,1.74000000000001,0.0499999999999545,20,30,101.325,150,98.1202948574577,1596.68479813559,0.697186680130504,"",68.4986796598305,1114.66033264675,17.2140868170978,12.0173122210229,"gd06"
"A1","17032017",30.96875,31,1224,"1145",119,51.4,0.1,383.47,383.35,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,"Preheated sludge",0.129999999999995,0.120000000000005,0.00999999999999091,1.91999999999996,1.86000000000001,0.0599999999999454,20,30,101.325,150,115.960348467946,1712.64514660353,0.697186680130504,"",80.9529850525559,1195.6133176993,11.539140473626,8.05558002043262,"gd06"
"A1","06042017",50.8645833333333,51,940,"0915",135,66.8,0.2,383.33,383.2,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,"Preheated sludge",0.150000000000034,0.129999999999995,0.0200000000000387,2.06999999999999,1.99000000000001,0.0799999999999841,20,30,101.325,150,133.800402078434,1846.44554868197,0.697186680130504,"",93.4072904452813,1289.02060814458,6.72504638718832,4.6948166925377,"gd06"
"A1","16042017",60.9166666666667,61,1100,"1030",64,31.7,0.2,383.16,383.09,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,"Preheated sludge",0.110000000000014,0.07000000000005,0.0399999999999636,2.18000000000001,2.06000000000006,0.119999999999948,20,30,101.325,150,98.1202948575084,1944.56584353948,0.697186680130504,"",68.4986796598659,1357.51928780445,9.76118995473659,6.81437642212137,"gd06"
"A2","14022017",0,0,1230,"1230",0,0,0,391.09,391.09,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,"Preheated sludge",0,0,0,0,0,0,20,30,101.325,150,0,0,0.66239037950983,"",0,0,NA,NA,"gd06"
"A2","15022017",0.874305555555556,1,1016,"0929",174,86.1,0.2,391.09,390.87,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,"Preheated sludge",0.21999999999997,0.21999999999997,0,0.21999999999997,0.21999999999997,0,20,30,101.325,150,188.86879357327,188.86879357327,0.66239037950983,"",125.289459439587,125.289459439587,216.021495429316,143.301685141386,"gd06"
"A2","16022017",2.01388888888889,2,1325,"1250",202,98.8,0.4,390.89,390.65,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,"Preheated sludge",0.220000000000027,0.240000000000009,-0.0199999999999818,0.439999999999998,0.45999999999998,-0.0199999999999818,20,30,101.325,150,188.868793573319,377.737587146589,0.66239037950983,"",125.289459439619,250.578918879206,165.734955969274,109.943218521055,"gd06"
"A2","17022017",2.85,3,932,"0854",169,79.9,0.4,390.67,390.44,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,"Preheated sludge",0.20999999999998,0.230000000000018,-0.0200000000000387,0.649999999999977,0.689999999999998,-0.0400000000000205,20,30,101.325,150,180.283848410856,558.021435557445,0.66239037950983,"",119.594484010519,370.173402889725,215.621878498033,143.036592172049,"gd06"
"A2","18022017",4.15138888888889,4,1644,"1608",255,123.9,0.5,390.48,390.2,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,"Preheated sludge",0.240000000000009,0.28000000000003,-0.0400000000000205,0.889999999999986,0.970000000000027,-0.0800000000000409,20,30,101.325,150,206.038683898148,764.060119455593,0.66239037950983,"",136.679410297755,506.85281318748,158.322147712558,105.025800869139,"gd06"
