"id","date","elapsed.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak"
"A3","06042017",50.8645833333333,0.139999999999986,0.120000000000005,0.0199999999999818,1.95999999999998,1.91999999999996,0.0400000000000205
"A3","16042017",60.9166666666667,0.110000000000014,0.0600000000000023,0.0500000000000114,2.06999999999999,1.97999999999996,0.0900000000000318
"B1","14022017",0,0,0,0,0,0,0
"B1","15022017",0.874305555555556,0.240000000000009,0.21999999999997,0.0200000000000387,0.240000000000009,0.21999999999997,0.0200000000000387
"B1","16022017",2.01388888888889,0.25,0.25,0,0.490000000000009,0.46999999999997,0.0200000000000387
"B1","17022017",2.85,0.189999999999998,0.189999999999998,0,0.680000000000007,0.659999999999968,0.0200000000000387
"B1","18022017",4.15138888888889,0.28000000000003,0.270000000000039,0.00999999999999091,0.960000000000036,0.930000000000007,0.0300000000000296
"B1","19022017",5.14513888888889,0.199999999999989,0.210000000000036,-0.0100000000000477,1.16000000000003,1.14000000000004,0.0199999999999818
"B1","20022017",5.93194444444444,0.139999999999986,0.139999999999986,0,1.30000000000001,1.28000000000003,0.0199999999999818
"B1","21022017",7.13194444444444,0.0600000000000023,0.110000000000014,-0.0500000000000114,1.36000000000001,1.39000000000004,-0.0300000000000296
"B1","23022017",9.11111111111111,0.0799999999999841,0.0699999999999932,0.00999999999999091,1.44,1.46000000000004,-0.0200000000000387
"B1","01032017",15.2194444444444,0.189999999999998,0.0999999999999659,0.0900000000000318,1.63,1.56,0.0699999999999932
"B1","07032017",20.9194444444444,0.140000000000043,0.07000000000005,0.0699999999999932,1.77000000000004,1.63000000000005,0.139999999999986
"B1","17032017",30.96875,0.109999999999957,0.0399999999999636,0.0699999999999932,1.88,1.67000000000002,0.20999999999998
"B1","06042017",50.8645833333333,0.180000000000007,0.0600000000000023,0.120000000000005,2.06,1.73000000000002,0.329999999999984
"B1","16042017",60.9166666666667,0.120000000000005,0.0799999999999841,0.0400000000000205,2.18000000000001,1.81,0.370000000000005
"B2","14022017",0,0,0,0,0,0,0
"B2","15022017",0.874305555555556,0.239999999999952,0.229999999999961,0.00999999999999091,0.239999999999952,0.229999999999961,0.00999999999999091
"B2","16022017",2.01388888888889,0.25,0.25,0,0.489999999999952,0.479999999999961,0.00999999999999091
"B2","17022017",2.85,0.200000000000045,0.210000000000036,-0.00999999999999091,0.689999999999998,0.689999999999998,0
"B2","18022017",4.15138888888889,0.269999999999982,0.269999999999982,0,0.95999999999998,0.95999999999998,0
"B2","19022017",5.14513888888889,0.180000000000007,0.180000000000007,0,1.13999999999999,1.13999999999999,0
"B2","20022017",5.93194444444444,0.149999999999977,0.129999999999995,0.0199999999999818,1.28999999999996,1.26999999999998,0.0199999999999818
"B2","21022017",7.13194444444444,0.0800000000000409,0.0800000000000409,0,1.37,1.35000000000002,0.0199999999999818
"B2","23022017",9.11111111111111,0.0799999999999841,0.100000000000023,-0.0200000000000387,1.44999999999999,1.45000000000005,-5.6843418860808e-14
"B2","01032017",15.2194444444444,0.180000000000007,0.160000000000025,0.0199999999999818,1.63,1.61000000000007,0.019999999999925
"B2","07032017",20.9194444444444,0.120000000000005,0.100000000000023,0.0199999999999818,1.75,1.71000000000009,0.0399999999999068
"B2","17032017",30.96875,0.149999999999977,0.129999999999995,0.0199999999999818,1.89999999999998,1.84000000000009,0.0599999999998886
"B2","06042017",50.8645833333333,0.139999999999986,0.139999999999986,0,2.03999999999996,1.98000000000008,0.0599999999998886
"B2","16042017",60.9166666666667,0.150000000000034,0.0900000000000318,0.0600000000000023,2.19,2.07000000000011,0.119999999999891
"B3","14022017",0,0,0,0,0,0,0
"B3","15022017",0.874305555555556,0.229999999999961,0.21999999999997,0.00999999999999091,0.229999999999961,0.21999999999997,0.00999999999999091
"B3","16022017",2.01388888888889,0.25,0.259999999999991,-0.00999999999999091,0.479999999999961,0.479999999999961,0
"B3","17022017",2.85,0.190000000000055,0.200000000000045,-0.00999999999999091,0.670000000000016,0.680000000000007,-0.00999999999999091
"B3","18022017",4.15138888888889,0.269999999999982,0.269999999999982,0,0.939999999999998,0.949999999999989,-0.00999999999999091
"B3","19022017",5.14513888888889,0.20999999999998,0.199999999999989,0.00999999999999091,1.14999999999998,1.14999999999998,0
"B3","20022017",5.93194444444444,0.100000000000023,0.100000000000023,0,1.25,1.25,0
"B3","21022017",7.13194444444444,0.0799999999999841,0.0799999999999841,0,1.32999999999998,1.32999999999998,0
"B3","23022017",9.11111111111111,0.100000000000023,0.0900000000000318,0.00999999999999091,1.43000000000001,1.42000000000002,0.00999999999999091
"B3","01032017",15.2194444444444,0.159999999999968,0.110000000000014,0.0499999999999545,1.58999999999997,1.53000000000003,0.0599999999999454
"B3","07032017",20.9194444444444,0.120000000000005,0.089999999999975,0.0300000000000296,1.70999999999998,1.62,0.089999999999975
"B3","17032017",30.96875,0.150000000000034,0.0800000000000409,0.0699999999999932,1.86000000000001,1.70000000000005,0.159999999999968
"B3","06042017",50.8645833333333,0.169999999999959,0.0199999999999818,0.149999999999977,2.02999999999997,1.72000000000003,0.309999999999945
