"id","date","xCH4","time.orig","time","date.time","start.time","elapsed.time"
"C1-2","17022017",0.5719,858,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C1-2","18022017",0.6684,1608,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C1-2","19022017",0.7131,1559,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C1-2","20022017",0.714,1052,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C1-3","07032017",0.7034,1034,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C1-3","15022017",0.4681,935,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C1-3","16022017",0.5489,1250,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C1-3","17022017",0.5917,858,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C1-3","18022017",0.6807,1608,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C1-3","19022017",0.7167,1559,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C1-3","20022017",0.7271,1052,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C2","07032017",0.5982,1112,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C2","15022017",0.251,1029,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C2","16022017",0.4573,1336,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C2","17022017",0.4488,943,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C2","18022017",0.4772,1656,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C2","19022017",0.5289,1643,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C2","20022017",0.5447,1131,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C2-1","07032017",0.7049,1038,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
