"id","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","xCH4c.gdv"
"A1","14022017",0,1230,"1230",0,0,0,385.27,385.27,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,20,30,101.325,150,0,0,0,0,0,0,0,0,0.694637879846117,"",0,0,NA,NA,NA
"A1","15022017",1,1016,"0929",187,92.2,0.3,385.26,385.04,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,20,30,101.325,150,0.229999999999961,0.21999999999997,0.00999999999999091,0.229999999999961,0.00999999999999091,0.21999999999997,204.575814410914,204.575814410914,0.694637879846117,"",142.295728255148,142.295728255148,233.986634433452,162.752858369669,0.695564764900953
"A1","16022017",2,1325,"1250",201,99.1,0.3,385.04,384.8,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,20,30,101.325,150,0.240000000000009,0.240000000000009,0,0.46999999999997,0.00999999999999091,0.45999999999998,213.470415037519,418.046229448433,0.694637879846117,"",148.482499048881,290.778227304029,187.323216120675,130.295428781468,0.695564764900953
"A1","17022017",3,932,"0854",165,77.7,0.4,384.8,384.62,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,20,30,101.325,150,0.180000000000007,0.180000000000007,0,0.649999999999977,0.00999999999999091,0.639999999999986,160.10281127814,578.149040726573,0.694637879846117,"",111.361874286661,402.14010159069,191.485089900765,133.190281538863,0.695564764900953
"A1","18022017",4,1644,"1608",257,125.5,0.4,384.6,384.36,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,20,30,101.325,150,0.259999999999991,0.240000000000009,0.0199999999999818,0.909999999999968,0.0299999999999727,0.879999999999995,231.259616290629,809.408657017202,0.694637879846117,"",160.856040636276,562.996142226966,177.702159796428,123.603361001194,0.695564764900953
"A1","19022017",5,1634,"1559",230,108.7,0.3,384.36,384.12,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,20,30,101.325,150,0.240000000000009,0.240000000000009,0,1.14999999999998,0.0299999999999727,1.12,213.470415037519,1022.87907205472,0.694637879846117,"",148.482499048881,711.478641275847,214.81299626417,149.416351244157,0.695564764900953
"A1","20022017",6,1121,"1052",171,82.3,0.3,384.13,383.97,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,20,30,101.325,150,0.149999999999977,0.159999999999968,-0.00999999999999091,1.29999999999995,0.0199999999999818,1.27999999999997,133.419009398424,1156.29808145315,0.694637879846117,"",92.8015619055331,804.280203181381,169.570497381934,117.947263145603,0.695564764900953
"A1","21022017",7,1605,"1540",124,58.7,0.3,383.98,383.86,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,7.13194444444444,20,30,101.325,150,0.110000000000014,0.120000000000005,-0.00999999999999091,1.40999999999997,0.00999999999999091,1.39999999999998,97.8406068922048,1254.13868834535,0.694637879846117,"",68.054478730743,872.334681912124,81.5338390768373,56.7120656089525,0.695564764900953
"A1","23022017",9,1531,"1510",102,48.5,0.1,383.85,383.75,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,9.11111111111111,20,30,101.325,150,0.110000000000014,0.100000000000023,0.00999999999999091,1.51999999999998,0.0199999999999818,1.5,97.8406068922048,1351.97929523756,0.694637879846117,"",68.054478730743,940.389160642866,49.435254008693,34.3854208323754,0.695564764900953
"A1","01032017",15,1750,"1746",158,76.4,0.2,383.74,383.59,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,15.2194444444444,20,30,101.325,150,0.160000000000025,0.150000000000034,0.00999999999999091,1.68000000000001,0.0299999999999727,1.65000000000003,142.31361002503,1494.29290526259,0.694637879846117,"",98.9883326992658,1039.37749334213,23.2982717639885,16.2054569221172,0.695564764900953
