"id","elapsed.time","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temperature","pressure","vBg","cvBg","xCH4","vCH4","cvCH4","rvBg","rvCH4","method"
"A1",0,"14022017",0,1230,"1230",0,0,0,385.27,385.27,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,20,101.325,0,0,0,0,0,NA,NA,"gd"
"A1",0.874305555555556,"15022017",1,1016,"0929",187,92.2,0.3,385.26,385.04,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.229999999999961,0.21999999999997,0.00999999999999091,0.229999999999961,0.21999999999997,0.00999999999999091,20,101.325,170.208159830077,170.208159830077,0.558178821045786,95.0065899863251,95.0065899863251,194.678117676975,108.665202208346,"gd"
"A1",2.01388888888889,"16022017",2,1325,"1250",201,99.1,0.3,385.04,384.8,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.240000000000009,0.240000000000009,0,0.46999999999997,0.45999999999998,0.00999999999999091,20,101.325,182.951016715751,353.159176545828,0.542796886684858,99.3052422891393,194.311832275464,160.542025637222,87.1417116979651,"gd"
"A1",2.85,"17022017",3,932,"0854",165,77.7,0.4,384.8,384.62,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.180000000000007,0.180000000000007,0,0.649999999999977,0.639999999999986,0.00999999999999091,20,101.325,150.183670438303,503.342846984132,0.633130792112535,95.0859062269709,289.397738502435,179.621665640496,113.72400744754,"gd"
"A1",4.15138888888889,"18022017",4,1644,"1608",257,125.5,0.4,384.6,384.36,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.259999999999991,0.240000000000009,0.0199999999999818,0.909999999999968,0.879999999999995,0.0299999999999727,20,101.325,233.922444258448,737.26529124258,0.770712863516513,180.287036855211,469.684775357646,179.748302952063,138.534329280418,"gd"
"A1",5.14513888888889,"19022017",5,1634,"1559",230,108.7,0.3,384.36,384.12,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.240000000000009,0.240000000000009,0,1.14999999999998,1.12,0.0299999999999727,20,101.325,209.346934550362,946.612225792942,0.674680254334417,141.242243046569,610.927018404215,210.663581937471,142.130559040573,"gd"
"A1",5.93194444444444,"20022017",6,1121,"1052",171,82.3,0.3,384.13,383.97,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.149999999999977,0.159999999999968,-0.00999999999999091,1.29999999999995,1.27999999999997,0.0199999999999818,20,101.325,155.644894817878,1102.25712061082,0.769118213302868,119.709323412039,730.636341816254,197.818754225723,152.146006807887,"gd"
"A1",7.13194444444444,"21022017",7,1605,"1540",124,58.7,0.3,383.98,383.86,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,0.110000000000014,0.120000000000005,-0.00999999999999091,1.40999999999997,1.39999999999998,0.00999999999999091,20,101.325,112.865303844543,1215.12242445536,0.741025363366134,83.6360527928317,814.272394609086,94.0544198704526,69.6967106606931,"gd"
"A1",9.11111111111111,"23022017",9,1531,"1510",102,48.5,0.1,383.85,383.75,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.110000000000014,0.100000000000023,0.00999999999999091,1.51999999999998,1.5,0.0199999999999818,20,101.325,92.8408144527694,1307.96323890813,0.729943754740485,67.7685726948191,882.040967303905,46.9090430919256,34.2409630458034,"gd"
"A1",15.2194444444444,"01032017",15,1750,"1746",158,76.4,0.2,383.74,383.59,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,0.160000000000025,0.150000000000034,0.00999999999999091,1.68000000000001,1.65000000000003,0.0299999999999727,20,101.325,143.812241995466,1451.7754809036,0.757121750578313,108.883376414199,990.924343718104,23.5436139692441,17.8253822233341,"gd"
"A1",20.9194444444444,"07032017",21,1104,"1034",103,49.2,0.3,383.57,383.48,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.109999999999957,0.089999999999975,0.0199999999999818,1.78999999999996,1.74000000000001,0.0499999999999545,20,101.325,93.7510185160318,1545.52649941963,0.823330514808095,77.1880743385877,1068.11241805669,16.4475471080758,13.5417674278224,"gd"
"A1",30.96875,"17032017",31,1224,"1145",119,51.4,0.1,383.47,383.35,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,0.129999999999995,0.120000000000005,0.00999999999999091,1.91999999999996,1.86000000000001,0.0599999999999454,20,101.325,108.314283528231,1653.84078294786,0.705405907069928,76.4055354208611,1144.51795347755,10.7782854177771,7.60306620178563,"gd"
"A1",50.8645833333333,"06042017",51,940,"0915",135,66.8,0.2,383.33,383.2,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,0.150000000000034,0.129999999999995,0.0200000000000387,2.06999999999999,1.99000000000001,0.0799999999999841,20,101.325,122.87754854043,1776.71833148829,0.745211748846935,91.569792841838,1236.08774631939,6.17604432454517,4.6024607920505,"gd"
"A1",60.9166666666667,"16042017",61,1100,"1030",64,31.7,0.2,383.16,383.09,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.110000000000014,0.07000000000005,0.0399999999999636,2.18000000000001,2.06000000000006,0.119999999999948,20,101.325,58.2530600487965,1834.97139153709,0.630642152447555,36.7368351758296,1272.82458149522,5.79512307221188,3.65464888795818,"gd"
"A2",0,"14022017",0,1230,"1230",0,0,0,391.09,391.09,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,20,101.325,0,0,0,0,0,NA,NA,"gd"
"A2",0.874305555555556,"15022017",1,1016,"0929",174,86.1,0.2,391.09,390.87,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.21999999999997,0.21999999999997,0,0.21999999999997,0.21999999999997,0,20,101.325,158.375507007665,158.375507007665,0.481180747320437,76.2072448192014,76.2072448192014,181.14434479034,87.1631711990866,"gd"
"A2",2.01388888888889,"16022017",2,1325,"1250",202,98.8,0.4,390.89,390.65,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.220000000000027,0.240000000000009,-0.0199999999999818,0.439999999999998,0.45999999999998,-0.0199999999999818,20,101.325,183.861220779014,342.236727786679,0.547974963598378,100.751345763533,176.958590582735,161.340742182681,88.4106873244901,"gd"
"A2",2.85,"17022017",3,932,"0854",169,79.9,0.4,390.67,390.44,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.20999999999998,0.230000000000018,-0.0200000000000387,0.649999999999977,0.689999999999998,-0.0400000000000205,20,101.325,153.824486691353,496.061214478032,0.396577492894605,61.0033292778564,237.961919860591,183.976130262083,72.9607924917883,"gd"
