"method","time.d","id","descrip","descrip2","descrip1","tare","m.inoc","m.sub","m.water","m.tot1","m.tot2","m.tot","m.tot.sd","vol.hs","conc.sub.vs","m.sub.vs","conc.inoc.vs","m.inoc.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"man",0,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,0,0,0,3,NA,0,0,NA,0,0
"man",0.874305555555556,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,18.6789503425714,0.0977605191887836,0.00338766843467084,3,6.00202811598859,21.6558470743245,2.97689673175311,0.137463878532951,0.103157585241137,0
"man",2.01388888888889,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,43.1600771524129,0.174212884184989,0.00525150845022126,3,5.22112901965506,48.46501793897,5.30494078655711,0.10945917307278,0.159913209053734,0
"man",2.85,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,64.0853983332447,0.220634805025475,0.0016425005933807,3,1.28941328131295,70.8039288345299,6.71853050128523,0.094889233011159,0.0500156370783529,0
"man",4.15138888888889,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,105.212602269466,0.282047619764148,0.00565933682935697,3,3.4753914724715,113.801208840318,8.58860657085146,0.0754702578151232,0.172331954156967,0
"man",5.14513888888889,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,143.096376260749,0.325343346369113,0.00718054886726476,3,3.82275390080468,153.003377088287,9.90700082753809,0.064750210198442,0.218654244397738,0
"man",5.93194444444444,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,171.465663290624,0.359622911878145,0.00840246749383236,3,4.04687802906031,182.416508068425,10.9508447778008,0.0600320930038477,0.255862778027484,0
"man",7.13194444444444,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,191.651225620561,0.377016720329676,0.00937278129432742,3,4.30594521001897,203.131727687028,11.4805020664667,0.0565175228763629,0.285409715844894,0
"man",9.11111111111111,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,207.732499355296,0.405704425241055,0.01180214635132,3,5.0386231569212,220.0865681305,12.3540687752039,0.0561327703009961,0.35938609156801,0
"man",15.2194444444444,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,231.536463848221,0.494243741872806,0.0218768656130051,3,7.66663076167644,246.586635349759,15.050171501538,0.0610340113534165,0.666170456998033,0
"man",20.9194444444444,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,245.274581248713,0.576864332017578,0.0322676887613118,3,9.68846109481913,262.840624871414,17.566043622701,0.0668315395738183,0.982580473302118,0
"man",0,"A2","A","After preheater","Preheated sludge",257.13,100.34,33.69,NA,391.09,391.09,391.09,0,193.374,93.7644,3.158922636,32.4977,3.260819218,0,0,0,3,NA,0,0,NA,0,0
