"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pressure","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"B1","17032017",30.96875,31,1228,"1145",70,30.1,0.2,386.71,386.67,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,0.109999999999957,0.0399999999999636,0.0699999999999932,1.88,1.67000000000002,0.20999999999998,0.677,196.174,20,101.325,63.7142844283711,43.1954560373026,1458.14690934644,920.296246705744,6.34016789281006,4.29835233872682,"vol"
"B1","06042017",50.8645833333333,51,945,"0915",59,28.9,0.2,386.55,386.49,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,0.180000000000007,0.0600000000000023,0.120000000000005,2.06,1.73000000000002,0.329999999999984,0.677,196.174,20,101.325,53.7020397324842,36.4075986600122,1511.84894907892,956.703845365757,2.69916011220863,1.82991071799014,"vol"
"B1","16042017",60.9166666666667,61,1103,"1030",50,24.1,0.1,386.45,386.37,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.120000000000005,0.0799999999999841,0.0400000000000205,2.18000000000001,1.81,0.370000000000005,0.677,196.174,20,101.325,45.5102031631222,30.8538971695019,1557.35915224204,987.557742535258,4.52743990016553,3.06940324173283,"vol"
"B2","14022017",0,0,1230,"1230",0,0,0,387.4,387.4,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,0,195.054,20,101.325,0,0,0,0,NA,NA,"vol"
"B2","15022017",0.874305555555556,1,1023,"0929",181,89.1,0.3,387.39,387.16,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.239999999999952,0.229999999999961,0.00999999999999091,0.239999999999952,0.229999999999961,0.00999999999999091,0.4103,195.054,20,101.325,164.746935450502,67.7700658879805,164.746935450502,67.7700658879805,188.431760960066,77.5130221435202,"vol"
"B2","16022017",2.01388888888889,2,1331,"1250",219,106.8,0.5,387.16,386.91,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.25,0.25,0,0.489999999999952,0.479999999999961,0.00999999999999091,0.5186,195.054,20,101.325,199.334689854475,103.592594735816,364.081625304978,171.362660623797,174.918923455481,90.903922254464,"vol"
"B2","17022017",2.85,3,937,"0854",172,83.4,0.2,386.92,386.71,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.200000000000045,0.210000000000036,-0.00999999999999091,0.689999999999998,0.689999999999998,0,0.5792,195.054,20,101.325,156.55509888114,90.8435312612807,520.636724186118,262.206191885077,187.241978728274,108.650070611499,"vol"
"B2","18022017",4.15138888888889,4,1650,"1608",262,126.5,0.3,386.71,386.44,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.269999999999982,0.269999999999982,0,0.95999999999998,0.95999999999998,0,0.6829,195.054,20,101.325,238.473464574761,163.079195901662,759.110188760879,425.285387786739,183.245351647628,125.311655335322,"vol"
"B2","19022017",5.14513888888889,5,1638,"1559",228,109,0.4,386.44,386.26,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.180000000000007,0.180000000000007,0,1.13999999999999,1.13999999999999,0,0.7247,195.054,20,101.325,207.526526423837,150.575371504756,966.636715184716,575.860759291495,208.831724703233,151.52238641988,"vol"
"B2","20022017",5.93194444444444,6,1126,"1052",118,55.3,0.4,386.24,386.11,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.149999999999977,0.129999999999995,0.0199999999999818,1.28999999999996,1.26999999999998,0.0199999999999818,0.7133,195.054,20,101.325,107.404079464968,76.7073003331254,1074.04079464968,652.56805962462,136.506508763949,97.4920675019423,"vol"
"B2","21022017",7.13194444444444,7,1609,"1540",83,39.7,0.2,386.11,386.03,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,0.0800000000000409,0.0800000000000409,0,1.37,1.35000000000002,0.0199999999999818,0.710393577981651,195.054,20,101.325,75.5469372507829,53.7359710454135,1149.58773190047,706.304030670034,62.9557810423191,44.7799758711779,"vol"
"B2","23022017",9.11111111111111,9,1534,"1510",100,47.7,0.2,386.05,385.95,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.0799999999999841,0.100000000000023,-0.0200000000000387,1.44999999999999,1.45000000000005,-5.6843418860808e-14,0.7056,195.054,20,101.325,91.0204063262445,64.3066151671617,1240.60813822671,770.610645837196,45.9892579332604,32.4917634528817,"vol"
"B2","01032017",15.2194444444444,15,1754,"1746",162,76.7,0.1,385.93,385.77,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,0.180000000000007,0.160000000000025,0.0199999999999818,1.63,1.61000000000007,0.019999999999925,0.690805504587156,195.054,20,101.325,147.453058248516,101.999010422812,1388.06119647523,872.609656260008,24.139654829225,16.6983373134209,"vol"
"B2","07032017",20.9194444444444,21,1108,"1034",117,55.9,0.2,385.75,385.65,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.120000000000005,0.100000000000023,0.0199999999999818,1.75,1.71000000000009,0.0399999999999068,0.677,195.054,20,101.325,106.493875401706,72.1981193766344,1494.55507187693,944.807775636643,18.683136035387,12.6663367327429,"vol"
