"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pressure","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","massloss","cmassloss"
"C4-3","21022017",7.13194444444444,7,1554,"1540",105,53.2,0.3,398.85,398.74,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,"C4",0.110000000000014,0.110000000000014,0,1.44499999999999,1.43000000000001,0.0149999999999864,0.646235527560194,NA,20,101.325,95.5714266425567,61.761651316033,1222.40405696146,710.338232410958,79.6428555354639,51.4680427633608,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C4-3","23022017",9.11111111111111,9,1518,"1510",80,40.3,0.3,398.72,398.64,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,"C4",0.100000000000023,0.0800000000000409,0.0199999999999818,1.54500000000002,1.51000000000005,0.0349999999999682,0.637663858879917,NA,20,101.325,72.8163250609956,46.4323388278488,1295.22038202246,756.770571238807,36.7914063466083,23.4605501445973,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C4-3","26022017",11.9569444444444,12,1139,"1128",55,28.3,0.2,398.61,398.55,NA,2017-02-26 11:28:00,2017-02-14 12:30:00,"C4",0.089999999999975,0.0600000000000023,0.0299999999999727,1.63499999999999,1.57000000000005,0.0649999999999409,0.61971436393572,NA,20,101.325,50.0612234794345,31.0236592664017,1345.28160550189,787.794230505209,17.5910594949696,10.9014322458805,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C4-3","02032017",16.1291666666667,16,1536,"1536",55,27.8,0.4,398.52,398.46,NA,2017-03-02 15:36:00,2017-02-14 12:30:00,"C4",0.0900000000000318,0.0600000000000023,0.0300000000000296,1.72500000000002,1.63000000000005,0.0949999999999704,0.603052830142086,NA,20,101.325,50.0612234794345,30.1895624996484,1395.34282898133,817.983793004857,11.9986953745648,7.23584720364409,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C4-3","07032017",20.9194444444444,21,1047,"1034",45,23.1,0.3,398.41,398.37,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,"C4",0.089999999999975,0.0400000000000205,0.0499999999999545,1.815,1.67000000000007,0.144999999999925,0.581200546949641,NA,20,101.325,40.95918284681,23.8054994731763,1436.30201182814,841.789292478033,8.55048177724071,4.96954468561524,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C4-3","17032017",30.96875,31,1202,"1145",35,17.1,0.1,398.3,398.25,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,"C4",0.120000000000005,0.0500000000000114,0.0699999999999932,1.935,1.72000000000008,0.214999999999918,0.537892881883276,NA,20,101.325,31.8571422141856,17.1357300341536,1468.15915404232,858.925022512187,3.17008394640503,1.70516558974371,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C4-3","28032017",41.8819444444444,42,940,"0940",27,14.1,0.1,398.22,398.2,NA,2017-03-28 09:40:00,2017-02-14 12:30:00,"C4",0.0500000000000114,0.0200000000000387,0.0299999999999727,1.98500000000001,1.74000000000012,0.244999999999891,0.528486529153846,NA,20,101.325,24.575509708086,12.987825827813,1492.73466375041,871.91284834,2.2519079847053,1.19010303481074,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C4-3","06042017",50.8645833333333,51,928,"0915",39,20.1,0.1,398.15,398.11,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,"C4",0.089999999999975,0.0399999999999636,0.0500000000000114,2.07499999999999,1.78000000000009,0.294999999999902,0.506158291692512,NA,20,101.325,35.4979584672353,17.9675860163476,1528.23262221764,889.880434356348,3.95184075707916,2.00025696664403,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C4-3","16042017",60.9166666666667,61,1046,"1030",20,10.7,0.1,398.04,398.01,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,"C4",0.100000000000023,0.0300000000000296,0.0699999999999932,2.17500000000001,1.81000000000012,0.364999999999895,0.467342568588321,NA,20,101.325,18.2040812652489,8.50754209729196,1546.43670348289,898.38797645364,1.81097596006621,0.846346156829045,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","14022017",0,0,1230,"1230",0,0,0,398.945,398.945,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,"C5",0,0,0,0,0,0,0,NA,20,101.325,0,0,0,0,NA,NA,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
