"id","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","method"
"C5-1","15022017",1,1002,"0929",192,94.8,0.2,398.92,398.7,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,20,30,101.325,150,0.245000000000005,0.220000000000027,0.0249999999999773,0.245000000000005,0.0249999999999773,0.220000000000027,174.759180146389,174.759180146389,0.478013682302472,"",83.5372792179366,83.5372792179366,199.883414941065,95.5470072071714,"gdt"
"C5-1","16022017",2,1314,"1250",200,102.8,0.4,398.7,398.47,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,20,30,101.325,150,0.229999999999961,0.229999999999961,0,0.474999999999966,0.0249999999999773,0.449999999999989,182.040812652489,356.799992798878,0.478013682302472,"",87.0179991853507,170.555278403287,159.743309091764,76.3594874021359,"gdt"
"C5-1","17022017",3,920,"0854",179,89.7,0.4,398.48,398.26,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,20,30,101.325,150,0.210000000000036,0.220000000000027,-0.00999999999999091,0.685000000000002,0.0149999999999864,0.670000000000016,162.926527323978,519.726520122856,0.478013682302472,"",77.8811092708888,248.436387674176,194.862291816053,93.1468416528903,"gdt"
"C5-1","18022017",4,1631,"1608",258,128.5,0.3,398.25,397.98,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,20,30,101.325,150,0.279999999999973,0.269999999999982,0.00999999999999091,0.964999999999975,0.0249999999999773,0.939999999999998,234.832648321711,754.559168444567,0.478013682302472,"",112.253218949102,360.689606623279,180.447712691176,86.2564756065675,"gdt"
"C5-1","19022017",5,1624,"1559",212,106.7,0.2,397.97,397.76,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,20,30,101.325,150,0.220000000000027,0.210000000000036,0.00999999999999091,1.185,0.0349999999999682,1.15000000000003,192.963261411638,947.522429856205,0.478013682302472,"",92.2390791364717,452.92868575975,194.176866829321,92.8191991310407,"gdt"
"C5-1","20022017",6,1112,"1052",166,82.4,0.3,397.75,397.58,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,20,30,101.325,150,0.180000000000007,0.170000000000016,0.00999999999999091,1.36500000000001,0.0449999999999591,1.32000000000005,151.093874501566,1098.61630435777,0.478013682302472,"",72.2249393238411,525.153625083591,192.034580125556,91.7951567752261,"gdt"
"C5-1","21022017",7,1557,"1540",92,46.4,0.3,397.58,397.49,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,7.13194444444444,20,30,101.325,150,0.089999999999975,0.089999999999975,0,1.45499999999998,0.0449999999999591,1.41000000000003,83.7387738201449,1182.35507817792,0.478013682302472,"",40.0282796252613,565.181904708853,69.7823115167874,33.3568996877177,"gdt"
"C5-1","23022017",9,1523,"1510",71,35.5,0.2,397.47,397.4,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,9.11111111111111,20,30,101.325,150,0.0900000000000318,0.07000000000005,0.0199999999999818,1.54500000000002,0.0649999999999409,1.48000000000008,64.6244884916336,1246.97956666955,0.478013682302472,"",30.8913897107995,596.073294419652,32.6523731326149,15.6082811170355,"gdt"
"C5-1","07032017",21,1051,"1034",49,24.7,0.1,397.18,397.14,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444,20,30,101.325,150,0.259999999999991,0.0400000000000205,0.21999999999997,1.80500000000001,0.284999999999911,1.5200000000001,44.5999990998598,1291.57956576941,0.478013682302472,"",21.3194098004109,617.392704220063,3.77699357232405,1.80545460553939,"gdt"
"C5-2","14022017",0,1230,"1230",0,0,0,407.235,407.235,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,20,30,101.325,150,0,0,0,0,0,0,0,0,0.523665289409511,"",0,0,NA,NA,"gdt"
"C5-2","15022017",1,1002,"0929",190,95.9,0.2,407.22,407,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,20,30,101.325,150,0.235000000000014,0.220000000000027,0.0149999999999864,0.235000000000014,0.0149999999999864,0.220000000000027,172.938772019864,172.938772019864,0.523665289409511,"",90.5620320999078,90.5620320999078,197.801296035429,103.581672933969,"gdt"
"C5-2","16022017",2,1314,"1250",210,111.1,0.4,407,406.75,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,20,30,101.325,150,0.25,0.25,0,0.485000000000014,0.0149999999999864,0.470000000000027,191.142853285113,364.081625304978,0.523665289409511,"",100.094877584109,190.656909684016,167.730474546352,87.8346274961099,"gdt"
"C5-2","17022017",3,920,"0854",183,94.2,0.5,406.76,406.54,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,20,30,101.325,150,0.20999999999998,0.21999999999997,-0.00999999999999091,0.694999999999993,0.00499999999999545,0.689999999999998,166.567343577027,530.648968882005,0.523665289409511,"",87.2255361804376,277.882445864454,199.216756437641,104.322900415141,"gdt"
"C5-2","18022017",4,1631,"1608",278,144.6,0.5,406.54,406.27,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,20,30,101.325,150,0.270000000000039,0.270000000000039,0,0.965000000000032,0.00499999999999545,0.960000000000036,253.03672958696,783.685698468965,0.523665289409511,"",132.506552230391,410.388998094845,194.435907473438,101.819335758679,"gdt"
"C5-2","19022017",5,1624,"1559",223,115.5,0.2,406.25,406.02,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,20,30,101.325,150,0.25,0.230000000000018,0.0199999999999818,1.21500000000003,0.0249999999999773,1.19000000000005,202.975506107525,986.66120457649,0.523665289409511,"",106.291227148839,516.680225243685,204.252081617635,106.959725432794,"gdt"
"C5-2","20022017",6,1112,"1052",195,97.9,0.4,406.01,405.82,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,20,30,101.325,150,0.199999999999989,0.189999999999998,0.00999999999999091,1.41500000000002,0.0349999999999682,1.38000000000005,177.489792336177,1164.15099691267,0.523665289409511,"",92.945243470958,609.625468714643,225.582789906526,118.129876962206,"gdt"
"C5-2","21022017",7,1557,"1540",80,39.6,0.3,405.79,405.72,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,7.13194444444444,20,30,101.325,150,0.0999999999999659,0.0699999999999932,0.0299999999999727,1.51499999999999,0.0649999999999409,1.45000000000005,72.8163250609956,1236.96732197366,0.523665289409511,"",38.1313819368033,647.756850651446,60.680270884163,31.7761516140027,"gdt"
"C5-2","23022017",9,1523,"1510",64,33.1,0.2,405.68,405.62,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,9.11111111111111,20,30,101.325,150,0.100000000000023,0.0600000000000023,0.0400000000000205,1.61500000000001,0.104999999999961,1.51000000000005,58.2530600487965,1295.22038202246,0.523665289409511,"",30.5051055494426,678.261956200889,29.4331250772866,15.4131059618237,"gdt"
"C5-2","07032017",21,1051,"1034",114,60.4,0.4,405.47,405.36,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444,20,30,101.325,150,0.259999999999991,0.110000000000014,0.149999999999977,1.875,0.254999999999939,1.62000000000006,103.763263211919,1398.98364523438,0.523665289409511,"",54.3372192599447,732.599175460833,8.78729116826411,4.60159937275467,"gdt"
"C5-3","14022017",0,1230,"1230",0,0,0,399.38,399.38,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,20,30,101.325,150,0,0,0,0,0,0,0,0,0.519652431060529,"",0,0,NA,NA,"gdt"
"C5-3","15022017",1,1002,"0929",191,91.8,0.1,399.36,399.13,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,20,30,101.325,150,0.25,0.230000000000018,0.0199999999999818,0.25,0.0199999999999818,0.230000000000018,173.848976083127,173.848976083127,0.519652431060529,"",90.3410430589806,90.3410430589806,198.842355488247,103.328913427269,"gdt"
"C5-3","16022017",2,1314,"1250",194,98.8,0.5,399.14,398.92,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,20,30,101.325,150,0.20999999999998,0.21999999999997,-0.00999999999999091,0.45999999999998,0.00999999999999091,0.449999999999989,176.579588272914,350.428564356041,0.519652431060529,"",91.7600123216872,182.101055380668,154.951009819011,80.5206689477328,"gdt"
"C5-3","17022017",3,920,"0854",172,87,0.3,398.93,398.73,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,20,30,101.325,150,0.189999999999998,0.199999999999989,-0.00999999999999091,0.649999999999977,0,0.649999999999977,156.55509888114,506.983663237182,0.519652431060529,"",81.3542377285061,263.455293109174,187.241978728274,97.3007494427316,"gdt"
"C5-3","18022017",4,1631,"1608",259,130,0.4,398.72,398.44,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,20,30,101.325,150,0.29000000000002,0.28000000000003,0.00999999999999091,0.939999999999998,0.00999999999999091,0.930000000000007,235.742852384973,742.726515622155,0.519652431060529,"",122.504346346995,385.959639456169,181.147122430289,94.1335425505189,"gdt"
"C5-3","19022017",5,1624,"1559",224,112.7,0.4,398.44,398.23,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,20,30,101.325,150,0.20999999999998,0.20999999999998,0,1.14999999999998,0.00999999999999091,1.13999999999999,203.885710170788,946.612225792942,0.519652431060529,"",105.949704948752,491.909344404921,205.168010234755,106.616055294342,"gdt"
"C5-3","20022017",6,1112,"1052",176,88,0.4,398.22,398.05,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,20,30,101.325,150,0.180000000000007,0.170000000000016,0.00999999999999091,1.32999999999998,0.0199999999999818,1.31,160.19591513419,1106.80814092713,0.519652431060529,"",83.2461967454482,575.155541150369,203.602928325891,105.802756675592,"gdt"
