"id","xCH4.gdt","xCH4.gc","adiff"
"A1",0.668842792630456,0.648972003316273,0.0198707893141824
"A2",0.654724924123918,0.64780102192483,0.00692390219908856
"A3",0.677889395793543,0.654945552906259,0.0229438428872839
"B1",0.580216799765872,0.631070062024025,-0.0508532622581532
"B2",0.658688137102898,0.629532505871485,0.0291556312314136
"B3",0.618339433317138,0.629925636379799,-0.0115862030626601
"C1-1",0.662198483794796,0.673651947687923,-0.0114534638931271
"C1-2",0.607200101451913,0.661769459109174,-0.0545693576572605
"C1-3",0.509756107525732,0.668263882267261,-0.158507774741529
"C2-1",0.565018644376455,0.640540746671661,-0.075522102295206
"C2-2",0.387338792146767,0.642757530652112,-0.255418738505345
"C2-3",0.566469891998023,0.643498543296939,-0.0770286512989161
"C3-1",0.458551073980201,0.645036013028839,-0.186484939048638
"C3-2",0.535261693497789,0.655264942580135,-0.120003249082346
"C3-3",0.512513816150358,0.652123344080739,-0.139609527930381
"C4-1",0.665669847798366,0.637789340141342,0.0278805076570239
"C4-2",0.63180234564356,0.647351917181405,-0.0155495715378449
"C4-3",0.584739038685761,0.64973728306101,-0.0649982443752486
"C5-1",0.478013682302472,0.635729420447855,-0.157715738145383
"C5-2",0.523665289409511,0.646311255629022,-0.12264596621951
"C5-3",0.519652431060529,0.629092922268314,-0.109440491207785
"C6-1",0.343816613810784,0.621492643471139,-0.277676029660355
"C6-2",0.669096109654596,0.634481002655288,0.0346151069993084
"C6-3",0.642683243768357,0.639521843115095,0.00316140065326243
"E1",0.682613400728654,0.710258240095,-0.0276448393663454
"E2",0.667826924330831,0.713566971183335,-0.0457400468525041
"E3",0.638595972621075,0.716937103285234,-0.078341130664159
"I1",0.456749853301274,0.447429868499652,0.00931998480162133
"I2",0.612568773415402,0.408413016027075,0.204155757388327
"I3",0.644586359739886,0.414034449138548,0.230551910601338
"L1",0.561180547363975,0.499638314191478,0.0615422331724975
"L2",0.547880180636613,0.495272423969503,0.0526077566671103
"L3",0.317115350241399,0.493606602243114,-0.176491252001716
