"descrip","elapsed.time","n","mean.vol","se.vol","sd.vol","leak.l.vol","rsd.vol","mean.man","se.man","sd.man","leak.l.man","rsd.man","mean.grav","se.grav","sd.grav","leak.l.grav","rsd.grav","mean.gd01","se.gd01","sd.gd01","leak.l.gd01","rsd.gd01","mean.gd02","se.gd02","sd.gd02","leak.l.gd02","rsd.gd02","mean.gd03","se.gd03","sd.gd03","leak.l.gd03","rsd.gd03","mean.gd04","se.gd04","sd.gd04","leak.l.gd04","rsd.gd04","mean.gd05","se.gd05","sd.gd05","leak.l.gd05","rsd.gd05","mean.gd06","se.gd06","sd.gd06","leak.l.gd06","rsd.gd06","mean.gd07","se.gd07","sd.gd07","leak.l.gd07","rsd.gd07","mean.gd08","se.gd08","sd.gd08","leak.l.gd08","rsd.gd08","mean.gd09","se.gd09","sd.gd09","leak.l.gd09","rsd.gd09","mean.gd10","se.gd10","sd.gd10","leak.l.gd10","rsd.gd10","mean.gd11","se.gd11","sd.gd11","leak.l.gd11","rsd.gd11","mean.gd12","se.gd12","sd.gd12","leak.l.gd12","rsd.gd12"
"Cellulose",20.9194444,3,356.738245452136,34.3344807588596,59.4690651258408,TRUE,16.6702241444476,324.694680151751,32.0831552879288,55.5696550258147,TRUE,17.1144334732689,371.893628025929,7.87968774755812,13.6480195265486,TRUE,3.66987183915855,378.288055348192,54.9954749404056,95.2549567831635,TRUE,25.1805351600348,326.108574404856,91.3998261214863,158.309142645375,TRUE,48.5449188002147,256.440511511247,102.289157269003,177.170017453317,TRUE,69.0881547573059,466.80412115956,19.8861069183251,34.4437475472861,TRUE,7.37862970483774,398.597915498176,22.4443512558861,38.874756718117,TRUE,9.75287506697835,256.440511511247,102.289157269003,177.170017453317,TRUE,69.0881547573059,371.458846099842,59.3764229813944,102.842981375475,TRUE,27.6862383155718,325.224954153374,91.1521701792228,157.880189970579,TRUE,48.5449188182906,275.495435280591,110.171690622235,190.822965713471,TRUE,69.2653820267907,401.061044484629,41.6502775634919,72.1403968893141,TRUE,17.9873856814031,377.708839630127,41.3608256630056,71.6390514913244,TRUE,18.9667394497511,366.098556722416,33.6074025524487,58.2097287312612,TRUE,15.9000159007447
"Ethanol",20.9194444,3,708.978457328225,11.94056880258,20.6816718373404,TRUE,2.91710864040623,637.37531827501,12.1594861238634,21.0608477604602,TRUE,3.30430864776176,740.267337782464,12.3889858923048,21.458353019726,TRUE,2.89873021873508,743.414532158641,47.4951720101204,82.2640510357517,TRUE,11.0657039211869,621.387905853649,30.8137542717109,53.3709879705458,TRUE,8.58899689996797,605.197889471416,80.2467912472217,138.991519584561,TRUE,22.9662928444707,722.072248408391,20.6439083383255,35.7562981087746,TRUE,4.95190033789409,645.066558509291,28.7608673787188,49.8152835696913,TRUE,7.72250288168888,605.197889471416,80.2467912472217,138.991519584561,TRUE,22.9662928444707,693.070637463418,27.6985541113223,47.9753030170061,TRUE,6.92213757497962,619.704199965488,30.7302617289317,53.2263746443991,TRUE,8.58899691939531,631.697065381229,66.3963299336872,115.001816881252,TRUE,18.2052162632494,670.633371151348,10.4565118034321,18.111209713488,TRUE,2.70061265850737,634.376070581864,9.97091900521297,17.270138315183,TRUE,2.72238174106133,674.56009430856,10.0067928388987,17.3322736177889,TRUE,2.56941876106011
"Preheated sludge",20.9194444,3,280.645437336261,3.43056849747458,5.9419189364712,TRUE,2.11723340057432,245.768638399225,2.40253053583953,4.16130495480974,TRUE,1.69317980598084,273.92580064824,2.69791580702212,4.6729272523055,TRUE,1.7059098636372,287.306615614508,5.74432791666972,9.94946780700823,TRUE,3.46301382087139,282.617058655043,6.23939438553149,10.8069480842005,TRUE,3.8238838574112,262.869623116332,20.0533793127187,34.7334718330794,TRUE,13.2131934535883,293.272259380538,10.4120523841169,18.0342037403591,TRUE,6.14930432849385,275.905920215605,12.5141307350678,21.6751102456967,TRUE,7.85597867155544,262.869623116332,20.0533793127187,34.7334718330794,TRUE,13.2131934535883,286.181610963479,5.67660854200409,9.83217440943056,TRUE,3.43564157610577,281.851282595468,6.2224882030525,10.7776657171849,TRUE,3.8238838645463,274.283666394691,15.6995689451304,27.1924510698963,TRUE,9.91398847307468,285.598265484667,9.20122910977614,15.936996310214,TRUE,5.58021467083093,278.672277367613,9.19985685485803,15.9346194949749,TRUE,5.71804976278807,286.348503831747,7.11066419306836,12.3160316579551,TRUE,4.30106373637343
"Raw sludge",20.9194444,3,262.012435796806,6.57879365004016,11.3948048543811,TRUE,4.34895573552772,233.764816956086,5.63632719451473,9.76240506898167,TRUE,4.17616525707357,265.736512024304,2.86563634568638,4.96342774674482,TRUE,1.86780044222559,256.767216584227,16.118039700206,27.9172636791691,TRUE,10.8725966073677,252.057525727926,16.2906002866156,28.2161473822143,TRUE,11.1943284774886,207.617775664464,30.3442551213964,52.5577915880906,TRUE,25.3146877332076,300.545274093266,3.6075122527243,6.24839451064575,TRUE,2.07901938551419,275.4395611963,5.078907356766,8.79692558885405,TRUE,3.19377708512419,207.617775664464,30.3442551213964,52.5577915880906,TRUE,25.3146877332076,255.723473409751,16.0548471676279,27.8078110020849,TRUE,10.8741722577527,251.374553438016,16.2464594618376,28.1396932310108,TRUE,11.1943284816016,224.549549237076,26.8422106170826,46.4920725762518,TRUE,20.704594034685,272.789543548943,9.02177521745137,15.6261730510915,TRUE,5.72828886613388,265.833819759321,8.97090016181995,15.5380548699,TRUE,5.84502561937672,269.95987835617,7.25674475183236,12.5690506077325,TRUE,4.65589578876219
"Sludge C1",20.9194444,3,320.910328327407,15.8314387407972,27.420856255975,TRUE,8.54470979444418,274.464767791104,20.1400957215952,34.8836690591034,TRUE,12.7097074571165,347.428360251152,4.04391231683711,7.00426159411545,TRUE,2.01603046713059,305.916258103471,26.4922630271534,45.8859455705082,TRUE,14.9995119105399,280.573698888177,35.3830474588181,61.2852359252939,TRUE,21.8428299474069,231.319569109483,29.9065820421378,51.7997195777096,TRUE,22.3931419970754,373.444175030445,9.39787897982962,16.2776038764485,TRUE,4.35877835693151,349.171611255302,6.1666517314033,10.6809541113731,TRUE,3.0589411530262,231.319569109483,29.9065820421378,51.7997195777096,TRUE,22.3931419970754,299.319370259513,29.292663745195,50.7363818957086,TRUE,16.9505842043298,279.813459494524,35.2871739497186,61.1191781364336,TRUE,21.842829950655,250.001792036214,32.8546842450773,56.9059823791066,TRUE,22.7622297886823,325.713592845727,12.6095788587919,21.840431245474,TRUE,6.70540982175672,319.056429659623,12.6250147000446,21.8671669067812,TRUE,6.85369886766099,316.947320536827,8.19806783302392,14.1994700106935,TRUE,4.48007258324295
"Sludge C2",20.9194444,3,281.606304347906,16.2311592981057,28.1131925700631,TRUE,9.9831545444846,241.304644499986,13.8258555271774,23.9470842311782,TRUE,9.9240046874355,326.589019394102,2.76757994078601,4.79358907144984,TRUE,1.46777410959592,276.869199700132,32.8380280894397,56.8771330712836,TRUE,20.5429614897162,219.146752425615,38.417864462283,66.541693166969,TRUE,30.3639877983386,147.678992778849,39.5736165768912,68.5435145504256,TRUE,46.4138556612924,346.557312977366,14.7801305297063,25.5999370199512,TRUE,7.38692737429644,314.557266643887,17.191595630623,29.7767170954182,TRUE,9.46623087526018,147.678992778849,39.5736165768912,68.5435145504256,TRUE,46.4138556612924,261.808321573048,31.1187487958687,53.8992539824175,TRUE,20.5872959494065,218.552954801371,38.313767845949,66.3613925385824,TRUE,30.3639878028161,165.059242343569,43.249691418545,74.9106629485956,TRUE,45.3841068727735,286.446308368417,14.3280476091805,24.8169064323665,TRUE,8.6637201134559,276.241827252189,21.6309622911668,37.4659257049073,TRUE,13.5627272949884,282.958014599094,20.0703111469218,34.7627986301846,TRUE,12.285497083176
"Sludge C3",20.9194444,3,241.130579562792,7.45984470301225,12.9208300421908,TRUE,5.35843693720567,212.259421698637,7.3047270554557,12.6521583954723,TRUE,5.96070520414195,285.305842219404,2.63584984206396,4.56542584757718,TRUE,1.60018659697347,242.517696150741,9.92057805872845,17.1829452381707,TRUE,7.08523357713673,178.614763871089,13.167386911213,22.8065831331384,TRUE,12.7685879032925,142.729959975324,4.11296484993204,7.1238640898272,TRUE,4.99114838332387,292.270858022316,16.9591412088042,29.374094226384,TRUE,10.0502986938715,273.370377580714,10.6405215453645,18.4299239356026,TRUE,6.74174140545314,142.729959975324,4.11296484993204,7.1238640898272,TRUE,4.99114838332387,220.353353502285,6.99466351671282,12.115112592795,TRUE,5.49803867299409,178.130791270853,13.1317087112599,22.744786678097,TRUE,12.7685879099436,153.769296668076,5.0844832411823,8.80658330396023,TRUE,5.72714026452887,241.160044344324,10.4282381082969,18.0622382369962,TRUE,7.489730849115,234.400697842617,10.3670599127632,17.9562744940164,TRUE,7.66050385484464,242.314847499454,6.85993582536396,11.8817573861923,TRUE,4.9034376179607
"Sludge C4",20.9194444,3,272.91752559103,6.29224123660753,10.8984815152843,TRUE,3.99332417061987,234.338728639757,4.33583307252642,7.50988317475323,TRUE,3.20471277553869,278.106766727882,3.58654378921434,6.21207606648983,TRUE,2.23370187628989,266.698886156181,16.0399518166215,27.7820114973452,TRUE,10.4169956979407,260.776539855188,17.569014699746,30.4304260988845,TRUE,11.6691578605126,234.728523994014,29.3213789615438,50.786118109375,TRUE,21.6361084904492,304.959986090706,9.3844811417763,16.2543981402285,TRUE,5.33001012644128,287.676407986627,10.7558603692747,18.6296966387003,TRUE,6.47592090331104,234.728523994014,29.3213789615438,50.786118109375,TRUE,21.6361084904492,265.501252008189,16.1153633177574,27.9126280487876,TRUE,10.5131813268913,260.069942623246,17.5214098970159,30.3479721618718,TRUE,11.669157864135,246.735859940522,26.6525674594446,46.163600991915,TRUE,18.7097250489018,282.71507975751,10.8318222251421,18.7612664325,TRUE,6.63610389958393,276.124678920331,10.8151978095914,18.7324721001199,TRUE,6.78406297233745,284.718734025734,14.3197536536028,24.8025408799102,TRUE,8.71124303245475
"Sludge C5",20.9194444,3,236.361242634827,3.77781762900262,6.54337207516193,TRUE,2.76837776033836,208.263756962784,2.57982997319606,4.46839658846463,TRUE,2.14554690342166,275.832830477494,3.25487781924676,5.63761375536437,TRUE,2.04385161316914,236.541228199703,3.00233577354137,5.20019810115526,TRUE,2.19843201996268,180.785089485678,8.71020414625587,15.0865161256123,TRUE,8.34500022570028,141.208241501206,17.0559879761194,29.5418377479226,TRUE,20.9207603138875,299.872127077755,8.62275903690974,14.9350567533513,TRUE,4.98047514415329,271.904255104671,4.30598365937648,7.45818247460141,TRUE,2.74294437640571,141.208241501206,17.0559879761194,29.5418377479226,TRUE,20.9207603138875,222.671582877196,4.60697928548605,7.97952219187921,TRUE,3.58353863064779,180.295236194835,8.68660308197724,15.045637883169,TRUE,8.34500023445431,152.701230137176,16.0943421000901,27.8762182317508,TRUE,18.255398602034,241.36306673473,4.73717692725309,8.20503112244537,TRUE,3.39945594553748,234.475327722986,4.6736677923873,8.09503007411307,TRUE,3.45240164614535,236.660507369109,4.18231800859001,7.24398728428818,TRUE,3.06091935862794
"Sludge C6",20.9194444,3,251.507293742174,27.4858332430719,47.6068596653662,TRUE,18.9286199048244,220.103824552928,24.5458883449325,42.5147257303358,TRUE,19.3157596496522,270.930316607878,2.62911740101922,4.55376491762873,TRUE,1.68078824645507,224.529657922371,62.2811518295075,107.874119322618,TRUE,48.0444856687552,219.91453014275,62.3517301615474,107.996364579625,TRUE,49.1083351834563,196.199819243395,79.5760017755454,137.829678138436,TRUE,70.2496458304337,293.835546251848,5.40129934988792,9.35532490089463,TRUE,3.18386424659328,275.106646907571,8.91414263658121,15.4397479524747,TRUE,5.61227732082461,196.199819243395,79.5760017755454,137.829678138436,TRUE,70.2496458304337,223.580252754649,62.1095799948042,107.576948187764,TRUE,48.1155857292175,219.318652155951,62.1827826097214,107.703738836048,TRUE,49.1083351905077,202.321044176614,80.1980188931557,138.907043389314,TRUE,68.6567450037758,259.763887402357,29.4997720941208,51.0951040787198,TRUE,19.669825775119,252.947823446503,29.5267078061227,51.1417581004451,TRUE,20.2183032862749,253.534384392679,33.530266168749,58.0761245955811,TRUE,22.9066068236455
