"elapsed.time","id","exper","n","descrip.vol","substrate.vol","m.gained.vol","c.sub.vs.vol","c.inoc.vs.vol","m.inoc.vs.vol","ISR.vol","vol.tot.vol","notes.vol","id.exper.vol","cvCH4.vol","vol.mi.mn.vol","vol.mi.se.vol","rsd.inoc.vol","cvCH4.tot.vol","cvCH4.inoc.vol","fv.inoc.vol","se.inoc.vol","cvCH4.se.vol","descrip.man","substrate.man","m.gained.man","c.sub.vs.man","c.inoc.vs.man","m.inoc.vs.man","ISR.man","vol.tot.man","notes.man","id.exper.man","cvCH4.man","vol.mi.mn.man","vol.mi.se.man","rsd.inoc.man","cvCH4.tot.man","cvCH4.inoc.man","fv.inoc.man","se.inoc.man","cvCH4.se.man","descrip.grav","substrate.grav","m.gained.grav","c.sub.vs.grav","c.inoc.vs.grav","m.inoc.vs.grav","ISR.grav","vol.tot.grav","notes.grav","id.exper.grav","cvCH4.grav","vol.mi.mn.grav","vol.mi.se.grav","rsd.inoc.grav","cvCH4.tot.grav","cvCH4.inoc.grav","fv.inoc.grav","se.inoc.grav","cvCH4.se.grav","descrip.gd","substrate.gd","m.gained.gd","c.sub.vs.gd","c.inoc.vs.gd","m.inoc.vs.gd","ISR.gd","vol.tot.gd","notes.gd","id.exper.gd","cvCH4.gd","vol.mi.mn.gd","vol.mi.se.gd","rsd.inoc.gd","cvCH4.tot.gd","cvCH4.inoc.gd","fv.inoc.gd","se.inoc.gd","cvCH4.se.gd"
29,"C1",1,4,"C","C",2.03000000000009,799.27,18.28,8.8482512,3.61778292626662,1120,NA,"C1-E1",423.42674153662,0.955431168821493,0.0218151259379839,4.56655102949854,612.515503559889,189.088762023269,0.30870853215029,4.31741740441982,0,"C","C",2.03000000000009,799.27,18.28,8.8482512,3.61778292626662,1120,NA,"C1-E1",393.327406909227,0.949965612034602,0.0211778945340129,4.45866550656605,581.334484138943,188.007077229716,0.323406029332987,4.19130335117217,0,"C","C",2.03000000000009,799.27,18.28,8.8482512,3.61778292626662,1120,NA,"C1-E1",530.113589587387,1.1482100682509,0.0192959727390346,3.3610526980361,757.355098377625,227.241508790238,0.300046186098206,3.81885343112612,0,"C","C",2.03000000000009,799.27,18.28,8.8482512,3.61778292626662,1120,NA,"C1-E1",438.767462710898,0.82508187408064,0.0243423777881655,5.90059691113426,602.058880480099,163.291417769202,0.271221674595994,4.81758417651843,0
29,"C2",1,4,"C","C",2.21000000000026,799.27,18.28,9.0270296,3.9767932604699,1120,NA,"C2-E1",568.67592319412,0.955431168821493,0.0218151259379839,4.56655102949854,776.528889989098,207.852966794977,0.267669328822905,4.74585589750965,0,"C","C",2.21000000000026,799.27,18.28,9.0270296,3.9767932604699,1120,NA,"C2-E1",521.887228859017,0.949965612034602,0.0211778945340129,4.45866550656605,728.55116997594,206.663941116924,0.283664277313217,4.60722692854513,0,"C","C",2.21000000000026,799.27,18.28,9.0270296,3.9767932604699,1120,NA,"C2-E1",523.008458689874,1.1482100682509,0.0192959727390346,3.3610526980361,772.800256338882,249.791797649008,0.323229444607575,4.19781697717743,0,"C","C",2.21000000000026,799.27,18.28,9.0270296,3.9767932604699,1120,NA,"C2-E1",588.031256550282,0.82508187408064,0.0243423777881655,5.90059691113426,767.526882161866,179.495625611584,0.233862330796812,5.29565667022913,0
29,"C3",1,4,"C","C",1.95999999999981,799.27,18.28,9.2968424,4.01091961932505,1120,NA,"C3-E1",562.104582531679,0.955431168821493,0.0218151259379839,4.56655102949854,771.741213819468,209.636631287789,0.271641098769709,4.7865818721393,0,"C","C",1.95999999999981,799.27,18.28,9.2968424,4.01091961932505,1120,NA,"C3-E1",503.626864548615,0.949965612034602,0.0211778945340129,4.45866550656605,712.06426668175,208.437402133135,0.292722738502892,4.64676327584624,0,"C","C",1.95999999999981,799.27,18.28,9.2968424,4.01091961932505,1120,NA,"C3-E1",504.397444604564,1.1482100682509,0.0192959727390346,3.3610526980361,756.332799629405,251.935355024841,0.333101189249345,4.23384002368463,0,"C","C",1.95999999999981,799.27,18.28,9.2968424,4.01091961932505,1120,NA,"C3-E1",566.771389827402,0.82508187408064,0.0243423777881655,5.90059691113426,747.807334920373,181.035945092971,0.242089020311961,5.34110069209929,0
29,"L1",1,4,"Cellulose","Cellulose",2.01999999999998,945.69,18.28,8.99376,3.91368820910566,1120,NA,"L1-E1",355.579922523508,0.955431168821493,0.0218151259379839,4.56655102949854,560.134610708887,204.554688185378,0.365188446267409,4.67054710960846,0,"Cellulose","Cellulose",2.01999999999998,945.69,18.28,8.99376,3.91368820910566,1120,NA,"L1-E1",352.349563917711,0.949965612034602,0.0211778945340129,4.45866550656605,555.734094271959,203.384530354249,0.365974541512867,4.53411795029813,0,"Cellulose","Cellulose",2.01999999999998,945.69,18.28,8.99376,3.91368820910566,1120,NA,"L1-E1",354.125245123561,1.1482100682509,0.0192959727390346,3.3610526980361,599.953265128482,245.828020004922,0.409745282330077,4.13120464945207,0,"Cellulose","Cellulose",2.01999999999998,945.69,18.28,8.99376,3.91368820910566,1120,NA,"L1-E1",324.770540623295,0.82508187408064,0.0243423777881655,5.90059691113426,501.41787115591,176.647330532615,0.352295641408618,5.21162346450431,0
29,"L2",1,4,"Cellulose","Cellulose",1.98000000000002,945.69,18.28,8.9025428,4.02299428997396,1120,NA,"L2-E1",384.376907998499,0.955431168821493,0.0218151259379839,4.56655102949854,594.644639761738,210.267731763239,0.353602332726801,4.80099163476871,0,"Cellulose","Cellulose",1.98000000000002,945.69,18.28,8.9025428,4.02299428997396,1120,NA,"L2-E1",346.270980883257,0.949965612034602,0.0211778945340129,4.45866550656605,555.335873273126,209.06489238987,0.376465671410078,4.66075212166328,0,"Cellulose","Cellulose",1.98000000000002,945.69,18.28,8.9025428,4.02299428997396,1120,NA,"L2-E1",349.157927301189,1.1482100682509,0.0192959727390346,3.3610526980361,601.851720969897,252.693793668708,0.419860548477766,4.24658578493595,0,"Cellulose","Cellulose",1.98000000000002,945.69,18.28,8.9025428,4.02299428997396,1120,NA,"L2-E1",475.302449018744,0.82508187408064,0.0243423777881655,5.90059691113426,656.883393667946,181.580944649203,0.276427972452279,5.35717980558963,0
29,"L3",1,4,"Cellulose","Cellulose",1.82999999999993,945.69,18.28,9.3277356,4.16177967169106,1120,NA,"L3-E1",394.087672768628,0.955431168821493,0.0218151259379839,4.56655102949854,611.609227259948,217.521554491319,0.355654468239191,4.96661639300228,0,"Cellulose","Cellulose",1.82999999999993,945.69,18.28,9.3277356,4.16177967169106,1120,NA,"L3-E1",353.613872781587,0.949965612034602,0.0211778945340129,4.45866550656605,569.89109230955,216.277219527963,0.379506229254215,4.82153889282671,0,"Cellulose","Cellulose",1.82999999999993,945.69,18.28,9.3277356,4.16177967169106,1120,NA,"L3-E1",362.464492899981,1.1482100682509,0.0192959727390346,3.3610526980361,623.875724895474,261.411231995493,0.419011706280591,4.39308463297696,0,"Cellulose","Cellulose",1.82999999999993,945.69,18.28,9.3277356,4.16177967169106,1120,NA,"L3-E1",480.70342549157,0.82508187408064,0.0243423777881655,5.90059691113426,668.548555197783,187.845129706213,0.280974550383466,5.54199196058047,0
29,"E1",1,4,"Ethanol","Ethanol",1.87000000000012,1000,18.28,9.5098044,4.02957813559322,1120,NA,"E1-E1",585.615644144805,0.955431168821493,0.0218151259379839,4.56655102949854,796.227490312604,210.611846167799,0.264512151024968,4.80884871471075,0,"Ethanol","Ethanol",1.87000000000012,1000,18.28,9.5098044,4.02957813559322,1120,NA,"E1-E1",542.116817403459,0.949965612034602,0.0211778945340129,4.45866550656605,751.523855686833,209.407038283373,0.278643234940283,4.66837969213117,0,"Ethanol","Ethanol",1.87000000000012,1000,18.28,9.5098044,4.02957813559322,1120,NA,"E1-E1",737.381972787829,1.1482100682509,0.0192959727390346,3.3610526980361,990.489313383662,253.107340595834,0.255537679383113,4.25353555001184,0,"Ethanol","Ethanol",1.87000000000012,1000,18.28,9.5098044,4.02957813559322,1120,NA,"E1-E1",533.147960336887,0.82508187408064,0.0243423777881655,5.90059691113426,715.026071927129,181.878111590242,0.254365705994533,5.36594711726157,0
29,"E2",1,4,"Ethanol","Ethanol",1.99000000000001,1000,18.28,9.35936,3.36667625899281,1120,NA,"E2-E1",698.163053550593,0.955431168821493,0.0218151259379839,4.56655102949854,874.127355146493,175.964301595901,0.201302819960841,4.01774981303876,0,"Ethanol","Ethanol",1.99000000000001,1000,18.28,9.35936,3.36667625899281,1120,NA,"E2-E1",645.703797188955,0.949965612034602,0.0211778945340129,4.45866550656605,820.66149264281,174.957695453855,0.213191062359258,3.90038920914195,0,"Ethanol","Ethanol",1.99000000000001,1000,18.28,9.35936,3.36667625899281,1120,NA,"E2-E1",734.439256663465,1.1482100682509,0.0192959727390346,3.3610526980361,945.908161319746,211.468904656281,0.223561771960226,3.55379066272867,0,"Ethanol","Ethanol",1.99000000000001,1000,18.28,9.35936,3.36667625899281,1120,NA,"E2-E1",619.403633251351,0.82508187408064,0.0243423777881655,5.90059691113426,771.361158261886,151.957525010535,0.196999192120254,4.48320051350385,0
29,"E3",1,4,"Ethanol","Ethanol",1.92000000000007,1000,18.28,9.1312256,3.91898094420601,1120,NA,"E3-E1",766.104039293593,0.955431168821493,0.0218151259379839,4.56655102949854,970.935360087461,204.831320793868,0.210962880963998,4.67686339422391,0,"Ethanol","Ethanol",1.92000000000007,1000,18.28,9.1312256,3.91898094420601,1120,NA,"E3-E1",708.504041542894,0.949965612034602,0.0211778945340129,4.45866550656605,912.163622025094,203.659580482199,0.223270886455716,4.54024973288847,0,"Ethanol","Ethanol",1.92000000000007,1000,18.28,9.1312256,3.91898094420601,1120,NA,"E3-E1",745.622031260196,1.1482100682509,0.0192959727390346,3.3610526980361,991.782500484527,246.160469224331,0.248200053039927,4.13679154618135,0,"Ethanol","Ethanol",1.92000000000007,1000,18.28,9.1312256,3.91898094420601,1120,NA,"E3-E1",826.935233384432,0.82508187408064,0.0243423777881655,5.90059691113426,1003.82145559077,176.886222206335,0.176212832691681,5.21867148186455,0
29,"A1",2,3,"A","A",2.32000000000005,821,19.86,5.5979382,1.75281201368949,1120,NA,"A1-E2",391.244084013964,0.751798232763107,0.0629916714017405,14.5125075541215,457.596600341139,66.3525163271754,0.145002205605788,5.55954473289787,0,"A","A",2.32000000000005,821,19.86,5.5979382,1.75281201368949,1120,NA,"A1-E2",389.178439657394,0.787077260611396,0.0577933892323718,12.718076293338,458.644626872976,69.4661872155826,0.151459720980928,5.10075261623033,0,"A","A",2.32000000000005,821,19.86,5.5979382,1.75281201368949,1120,NA,"A1-E2",372.322099619348,0.935616987997367,0.0284696877239172,5.27042008065626,454.898166929205,82.5760673098572,0.181526489471892,2.51268935893607,0,"A","A",2.32000000000005,821,19.86,5.5979382,1.75281201368949,1120,NA,"A1-E2",431.047756510542,0.532748990830596,0.0834527895652995,27.1318151790577,478.067335131328,47.0195786207866,0.0983534643877521,7.3654104796555,0
