"descrip","elapsed.time","n","exper","mean.vol","se.vol","sd.vol","rsd.vol","mean.man","se.man","sd.man","rsd.man","mean.grav","se.grav","sd.grav","rsd.grav","mean.gd","se.gd","sd.gd","rsd.gd","mean.gd7","se.gd7","sd.gd7","rsd.gd7","mean.gd8","se.gd8","sd.gd8","rsd.gd8","mean.gd9","se.gd9","sd.gd9","rsd.gd9","mean.gd10","se.gd10","sd.gd10","rsd.gd10","mean.gd11","se.gd11","sd.gd11","rsd.gd11","mean.gd12","se.gd12","sd.gd12","rsd.gd12"
"C",0,3,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
"C",0.990277777777778,2,1,135.157871862496,1.8024248538864,2.54901367352449,1.88595280348728,125.834482811969,1.93865339212251,2.74166991988026,2.17879062925626,95.084944969868,13.6590120563107,19.3167600986522,20.3152666331916,129.874739831756,23.9821283148112,33.9158511173778,26.1142783895571,129.874739831756,23.9821283148112,33.9158511173778,26.1142783895571,129.874739831756,23.9821283148112,33.9158511173778,26.1142783895571,114.570048837921,2.27796569268763,3.22152997721947,2.8118430688433,129.874739831756,23.9821283148112,33.9158511173778,26.1142783895571,129.874739831756,23.9821283148112,33.9158511173778,26.1142783895571,114.161178627537,2.62933847027738,3.7184461247356,3.25718967642005
"C",2.28263888888889,3,1,260.83661757642,49.0311186542487,84.9243886610969,32.5584610972866,237.600125310451,45.5542539940616,78.9022824186121,33.2080138070288,262.674136530137,17.4207892745306,30.173692131438,11.4871195657194,263.69626323819,57.7460569536759,100.019104580533,37.9296632240055,224.688922380823,118.202869167331,204.733374998234,91.118588682015,201.036646688909,115.819925061034,200.60599473453,99.7857843525186,211.930950847523,66.3441341454929,114.911411124159,54.221155836192,263.69626323819,57.7460569536759,100.019104580533,37.9296632240055,252.68536324235,58.5695130862308,101.445372439922,40.1469128002583,233.937463436056,46.8422600955725,81.1331744268877,34.6815654214634
"C",3.075,3,1,342.087365150632,49.2602546058536,85.3212637711172,24.9413665814718,308.491759897163,44.3393532060911,76.7980125276918,24.894672244501,354.895914669967,10.5056771734078,18.196366632259,5.12724037671173,334.269331537408,66.546672335361,115.262217559483,34.4818404456541,290.701589895704,120.167149956272,208.135609125012,71.5976851725116,264.739599103998,140.330610784102,243.059747735238,91.8108770119261,281.534327382047,77.4857734877873,134.209296544621,47.6706687218631,334.269331537408,66.546672335361,115.262217559483,34.4818404456541,333.535918420263,64.9290347901008,112.460387142862,33.717624079443,314.900099478369,47.0953135322713,81.57147583628,25.9039219013912
"C",4.16805555555556,3,1,398.76252613926,47.4423731836108,82.1726007856571,20.6069014511559,359.129445697463,42.3527394710525,73.3570966035907,20.4263664487673,398.418536946164,11.4998397560024,19.9183067362966,4.99934237221197,400.329049981852,60.5144916764596,104.814174177832,26.1820055733111,366.288207850589,114.56218156193,198.427519091193,54.1725108366395,314.05639271083,153.189919047657,265.332722997904,84.4856940206313,330.400074199749,84.975178949825,147.181327323354,44.5463965708352,400.329049981852,60.5144916764596,104.814174177832,26.1820055733111,392.87135732337,65.7432232154488,113.870602862499,28.9841956507847,372.37173029938,45.7690176462148,79.2742639757605,21.2890124371217
"C",5.77430555555556,3,1,441.702947601566,47.0974376937163,81.5751549918261,18.4683293228575,397.446022706447,41.4779162044223,71.8418582581439,18.0758780195937,448.164191400986,11.6834148095842,20.2362680561025,4.51536924287565,433.552300162504,58.5272657382721,101.372197886773,23.3817691311466,399.511458031241,112.530244487398,194.908100840322,48.7866109775205,352.198715308627,163.284232785558,282.81658725949,80.3002892874445,368.442613678345,92.3931532441929,160.029635690439,43.4340735163027,433.552300162504,58.5272657382721,101.372197886773,23.3817691311466,437.529481383235,67.5120103947555,116.934232124835,26.7260235253521,416.786119615231,45.9034603316305,79.5071255376065,19.0762412171994
"C",8.84652777777778,3,1,469.58670192844,46.9298855333771,81.2849461372008,17.3098909750617,425.045446302955,41.1582022500998,71.2880974453686,16.7718765288353,481.819460958846,13.5329240953229,23.4397121080724,4.86483299396544,454.32283233633,47.0148547615058,81.4321171573997,17.9238443154265,417.899059546476,111.900438791681,193.817245376443,46.3789618447055,379.588212631519,171.605696623932,297.229785420901,78.3032179425008,395.928954223009,99.0799306733869,171.611473936708,43.3440070765946,454.32283233633,47.0148547615058,81.4321171573997,17.9238443154265,469.182807206173,68.2030249389515,118.131104424151,25.1780548242129,448.982762704283,46.1008469006365,79.8490091038567,17.7844264271785
"C",13.775,3,1,488.038794798542,47.155709223166,81.6760842414678,16.7355720717209,442.855041233584,41.1185702787564,71.2194528573977,16.0818882537758,490.281496323118,12.3796524341547,21.4421869959996,4.37344406362589,486.418732161605,48.9774514352404,84.8314343110736,17.4400015258643,449.994959371751,112.818716389619,195.407748831524,43.424430599031,400.970485837625,178.971847665577,309.988333281257,77.3095138495525,416.78016183278,105.792028477393,183.237168358619,43.964944865139,486.418732161605,48.9774514352404,84.8314343110736,17.4400015258643,493.308642665785,69.2805374569872,119.99741085118,24.3250169311301,473.116013070121,46.9519395507947,81.3231448158791,17.1888379529074
"C",21.8826388888889,3,1,507.818064045026,47.9669882804461,83.0812607877935,16.3604382494804,462.918905366901,40.9191243712285,70.8740024121976,15.3102415110967,513.564457188759,10.0089418517433,17.3359958172219,3.37562219786758,520.144208438936,43.3168781536311,75.0270337873594,14.4242755316899,464.247463330372,120.102076919092,208.022899318413,44.808623794327,422.551224786903,187.131303377182,324.120925135864,76.7057119049465,439.701360252898,113.404054104406,196.421583493122,44.6715887756518,520.144208438936,43.3168781536311,75.0270337873594,14.4242755316899,520.687517871373,70.2517399059663,121.679582837248,23.3690224291696,499.57889217685,48.4508281162188,83.9192959660776,16.7980067373163
"C",30.8423611111111,3,1,520.722604886505,47.4888340884812,82.2530734334582,15.7959482960003,475.543027588803,40.2787990259582,69.7649263808155,14.6705812793749,520.625003492892,9.05846520070915,15.6897219662229,3.01363205012436,534.049298874537,48.1368396117752,83.3754519233887,15.6119392159292,483.364126844393,118.618564732304,205.453380837248,42.5048880185906,437.829200124819,191.452415768878,331.605311343497,75.7385097314116,454.979335590814,117.906328688148,204.219751821789,44.8855004714882,534.049298874537,48.1368396117752,83.3754519233887,15.6119392159292,538.582980777037,69.4917315842837,120.363209809918,22.3481272349648,517.474355082514,48.7771324065097,84.4844715755892,16.3263108105362
