"id","exper","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","date.time","start.time","time.d","xCH4.GC","vol.hs","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"A2","2","18012017",1616,"1527",221,842.7,0.937,763,841.8,NA,"17-02-2017 13:26:51",0.5691,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.5596,823.13,30,1.5,0.900000000000091,0.900000000000091,664.890949756408,372.789422428199,664.890949756408,372.789422428199,664.890949756408,372.789422428199,"grav"
"A2","2","19012017",1118,"1103",234,841.8,1.009,821,840.8,NA,"06-02-2017 14:38:54",0.5231,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,0.5113,823.13,30,1.5,1,1.90000000000009,738.01664741919,378.154375131507,1402.9075971756,750.943797559706,922.520809273988,472.692968914384,"grav"
"A2","2","20012017",1525,"1450",266,840.8,0.539,434,840.3,NA,"02-02-2017 17:10:07",0.5455,2017-01-20 14:50:00,2017-01-17 15:20:00,3,0.5455,823.13,30,1.5,0.5,2.40000000000009,381.121107417009,208.314732417773,1784.02870459261,959.258529977479,317.600922847507,173.595610348144,"grav"
"A2","2","22012017",627,"0617",281,840.3,0.338,270,840,NA,"10-02-2017 21:24:12",0.5625,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,0.5511,823.13,30,1.5,0.299999999999955,2.70000000000005,229.908180985102,126.951089031772,2013.93688557771,1086.20961900925,143.692613115689,79.3444306448575,"grav"
"A2","2","24012017",1021,"0923",314,840,0.242,188,839.8,"Check final mass","03-02-2017 12:45:44",0.5672,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,0.5569,823.13,30,1.5,0.200000000000045,2.90000000000009,154.13460812026,86.0038634940039,2168.07149369797,1172.21348250325,70.0611855092093,39.0926652245472,"grav"
"A2","2","28012017",1832,"1822",329,839.8,0.258,192,839.5,NA,"09-02-2017 15:23:24",0.5734,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,0.5623,823.13,30,1.5,0.299999999999955,3.20000000000005,232.419518013095,130.939599012758,2400.49101171106,1303.15308151601,54.0510507007197,30.4510695378508,"grav"
"A2","2","01022017",1055,"1013",368,839.5,0.14,100,839.4,NA,NA,NA,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,0.56378,823.13,30,1.5,0.100000000000023,3.30000000000007,77.5851548260482,43.8243832640634,2478.07616653711,1346.97746478008,20.9689607637968,11.8444279092063,"grav"
"A2","2","06022017",1802,"1701",392,839.4,0.132,93,839.3,"mass.init originally entered as 838.4. Must be mistake due to writing 8/9.","08-02-2017 14:40:07",0.5778,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,0.5659,823.13,30,1.5,0.100000000000023,3.40000000000009,77.7461243046985,44.0800352793344,2555.82229084181,1391.05750005941,14.6690800574903,8.31698778855367,"grav"
"A2","2","17022017",1712,"1707",398,839.3,0.182,134,839.1,NA,"27-02-2017 12:05:41",0.5771,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.5771,823.13,30,1.5,0.199999999999932,3.60000000000002,157.215373629811,90.8967408128113,2713.03766447162,1481.95424087222,14.2923066936192,8.26334007389194,"grav"
"A3","2","17012017",1520,"1520",187,839.3,0,0,839.3,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,NA,822.81,30,1.5,0,0,0,0,0,0,NA,NA,"grav"
"A3","2","18012017",1618,"1527",222,839.3,0.866,709,838.5,NA,"17-02-2017 12:15:42",0.5786,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.5691,822.81,30,1.5,0.799999999999955,0.799999999999955,586.489801822995,334.400151386147,586.489801822995,334.400151386147,586.489801822995,334.400151386147,"grav"
"A3","2","19012017",1120,"1103",235,838.5,0.924,758,837.5,NA,"06-02-2017 14:56:01",0.5319,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,0.5201,822.81,30,1.5,1,1.79999999999995,744.102459011052,387.819872038524,1330.59226083405,722.220023424672,930.128073763815,484.774840048156,"grav"
"A3","2","20012017",1527,"1450",267,837.6,0.467,390,837.1,NA,"02-02-2017 16:15:39",0.5406,2017-01-20 14:50:00,2017-01-17 15:20:00,3,0.5406,822.81,30,1.5,0.399999999999977,2.19999999999993,303.469840941312,164.385350512928,1634.06210177536,886.6053739376,252.89153411776,136.987792094107,"grav"
"A3","2","22012017",629,"0617",282,837.1,0.311,240,836.8,NA,"10-02-2017 19:55:33",0.5569,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,0.5454,822.81,30,1.5,0.300000000000068,2.5,228.650721778309,124.953990059671,1862.71282355367,1011.55936399727,142.906701111443,78.0962437872946,"grav"
"A3","2","24012017",1024,"0923",315,836.8,0.214,162,836.6,NA,"03-02-2017 12:27:46",0.5627,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,0.5524,822.81,30,1.5,0.199999999999932,2.69999999999993,153.464600273301,84.9397558274812,2016.17742382697,1096.49911982475,69.7566364878642,38.6089799215824,"grav"
"A3","2","28012017",1834,"1822",330,836.6,0.225,180,836.4,NA,"09-02-2017 13:21:17",0.5709,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,0.5598,822.81,30,1.5,0.200000000000045,2.89999999999998,154.569485552081,86.6945366127399,2170.74690937905,1183.19365643749,35.946391988856,20.1615201424977,"grav"
"A3","2","01022017",1057,"1013",369,836.4,0.123,90,836.3,NA,"20-02-2017 16:21:40",0.5636,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,0.5636,822.81,30,1.5,0.100000000000023,3,77.5715181635599,43.8027254921931,2248.31842754261,1226.99638192968,20.9652751793405,11.8385744573495,"grav"
