"id.exper","descrip","exper","elapsed.time","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temperature","pressure","vBg","cvBg","xCH4","vCH4","cvCH4","rvBg","rvCH4"
"C2-E2","C","2",2.97916666666667,"C2","20012017",1509,"1450",260,1020.6,0.901,575,1020,NA,"02-02-2017 18:04:21",2017-01-20 14:50:00,2017-01-17 15:20:00,0.600000000000023,0.600000000000023,0,2.10000000000002,2.10000000000002,0,20,1.01325,524.044278570781,1715.65962609543,0.674680254334418,354.064978134551,1051.44821909787,452.683719941167,305.850970914069
"C2-E2","C","2",4.62291666666667,"C2","22012017",639,"0617",287,1020,0.683,420,1019.5,NA,"10-02-2017 18:09:50",2017-01-22 06:17:00,2017-01-17 15:20:00,0.5,0.5,0,2.60000000000002,2.60000000000002,0,20,1.01325,382.564763853621,2098.22438994905,0.545909897210288,209.26056086188,1260.70877995975,232.739019834903,127.306805087075
"C2-E2","C","2",6.75208333333333,"C2","24012017",1009,"0923",311,1019.5,0.444,275,1019.2,NA,"03-02-2017 11:52:03",2017-01-24 09:23:00,2017-01-17 15:20:00,0.299999999999955,0.299999999999955,0,2.89999999999998,2.89999999999998,0,20,1.01325,250.584364294821,2348.80875424387,0.633130792112716,158.907083239801,1419.61586319955,117.691286557255,74.6334637525484
"C2-E2","C","2",11.1263888888889,"C2","28012017",1858,"1822",338,1019.2,0.495,310,1018.9,"mass.init originally entered as 1018.2. Must be mistake.","09-02-2017 11:39:14",2017-01-28 18:22:00,2017-01-17 15:20:00,0.300000000000068,0.300000000000068,0,3.20000000000005,3.20000000000005,0,20,1.01325,282.610134268416,2631.41888851229,0.741025363365973,209.658219556766,1629.27408275631,64.6068571751895,47.9294866108498
"C2-E2","C","2",14.7868055555556,"C2","01022017",1013,"1013",353,1018.8,0.248,150,1018.7,NA,"20-02-2017 14:33:04",2017-02-01 10:13:00,2017-01-17 15:20:00,0.199999999999932,0.0999999999999091,0.100000000000023,3.39999999999998,3.29999999999995,0.100000000000023,20,1.01325,136.555509555028,2767.97439806732,0.420766874090019,57.6036399531776,1686.87772270949,37.3060014720624,15.7369078984208
"C2-E2","C","2",20.0701388888889,"C2","06022017",1720,"1701",377,1018.7,0.268,162,1018.5,NA,"08-02-2017 11:48:19",2017-02-06 17:01:00,2017-01-17 15:20:00,0.200000000000045,0.200000000000045,0,3.60000000000002,3.5,0.100000000000023,20,1.01325,147.535773545975,2915.51017161329,0.507285507357984,75.004029547506,1761.881752257,27.9247520907208,14.1963462865942
"C2-E2","C","2",31.0743055555556,"C2","17022017",1756,"1707",416,1018.5,0.357,220,1018.3,NA,"27-02-2017 14:02:09",2017-02-17 17:07:00,2017-01-17 15:20:00,0.200000000000045,0.200000000000045,0,3.80000000000007,3.70000000000005,0.100000000000023,20,1.01325,200.607049502218,3116.11722111551,0.792403730629602,159.105912587199,1920.9876648442,18.2300991596109,14.4586970923619
"C3-E2","C","2",0,"C3","17012017",1520,"1520",193,1049.3,0,0,1049.3,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,0,0,0,0,0,20,1.01325,0,0,0,0,0,NA,NA
"C3-E2","C","2",1.00486111111111,"C3","18012017",1600,"1527",216,1049.3,1.059,655,1048.6,NA,"17-02-2017 13:09:08",2017-01-18 15:27:00,2017-01-17 15:20:00,0.700000000000045,0.700000000000045,0,0.700000000000045,0.700000000000045,0,20,1.01325,596.897143344523,596.897143344523,0.652583975442857,390.116960442103,390.116960442103,594.009596693928,388.229732575417
"C3-E2","C","2",1.82152777777778,"C3","19012017",1135,"1103",243,1048.6,0.904,554,1048,NA,"06-02-2017 12:35:13",2017-01-19 11:03:00,2017-01-17 15:20:00,0.599999999999909,0.599999999999909,0,1.29999999999995,1.29999999999995,0,20,1.01325,504.828816586625,1101.72595993115,0.640030702806601,323.614296344409,713.731256786511,618.157734595867,396.262403687031
"C3-E2","C","2",2.97916666666667,"C3","20012017",1513,"1450",261,1048,0.776,472,1047.5,NA,NA,2017-01-20 14:50:00,2017-01-17 15:20:00,0.5,0.5,0,1.79999999999995,1.79999999999995,0,20,1.01325,430.145907814391,1531.87186774554,0.660801090753273,284.662249104363,998.393505890874,371.571750001634,245.899003425485
"C3-E2","C","2",4.62291666666667,"C3","22012017",641,"0617",288,1047.5,0.586,351,1047.1,NA,"10-02-2017 18:44:58",2017-01-22 06:17:00,2017-01-17 15:20:00,0.400000000000091,0.400000000000091,0,2.20000000000005,2.20000000000005,0,20,1.01325,319.77714107158,1851.64900881712,0.590476500885512,189.158935682455,1187.55244157333,194.541226507425,115.077679502634
