"descrip","elapsed.time","n","exper","mean.vol","se.vol","sd.vol","mean.man","se.man","sd.man","mean.grav","se.grav","sd.grav","mean.gd","se.gd","sd.gd","gd.grav.diff","gd.vol.diff","gd.man.diff"
"C",29,3,1,519.495363248581,47.5327142738937,82.3290761440382,468.369133236536,40.2972658751405,69.7969119018549,340.356448384847,50.6138814720828,87.6658142779164,532.726903434723,47.5513329527071,82.3613246417129,192.370455049876,13.2315401861416,64.357770198187
"Cellulose",29,3,1,362.431753038333,12.7535786854432,22.0898462615152,335.729317510456,15.3402200200066,26.5700404739367,347.862605401342,8.19727279565184,14.1980929655712,418.185457164553,48.0933651205064,83.3001518956781,70.3228517632116,55.7537041262205,82.4561396540976
"Ethanol",29,3,1,683.195514727559,53.602473809323,92.8422080491274,626.908426636556,49.352561634389,85.4811442344363,607.038240442913,38.8523675255052,67.294274548514,658.530196725658,88.9002629715977,153.979772273041,51.4919562827456,-24.6653180019006,31.621770089102
"A",29,3,2,389.428183742169,6.92919608644702,12.0017196773337,375.30174698037,7.71318823610662,13.3596339132792,266.011089691345,2.8726894441495,4.97564407163373,397.07304371191,20.2679186596807,35.1050648822402,131.061954020565,7.64485996974179,21.77129673154
"B",29,3,2,379.148018243707,15.506869221924,26.8586853586984,369.683155884668,12.1700111873942,21.0790777052485,258.88719387333,2.85791098435708,4.95004702841564,393.957645071283,44.5857077829236,77.2247111714427,135.070451197952,14.8096268275756,24.2744891866143
"C",29,3,2,510.893529189993,31.8259769788665,55.1242091279142,469.256525107077,33.4024663939924,57.8547688925068,379.270416885567,5.97879152140037,10.3555706829275,555.047316953134,29.0753640546599,50.3600077912328,175.776900067567,44.1537877631411,85.7907918460564
"CB",29,3,2,425.690227811678,81.3550250452265,140.911036829371,409.605516743833,83.1486583258319,144.017700801526,396.569730647748,6.89308897785442,11.9391803307369,441.529110547101,83.1410115041181,144.004456117801,44.9593798993524,15.8388827354234,31.9235938032679
"Cellulose",29,3,2,311.236688743598,44.7714270862837,77.5463864408088,305.230916154518,46.9902720098819,81.3895385825972,341.461625157736,5.88763603851483,10.1976847551812,380.5200753615,54.2147355175241,93.9026764352607,39.0584502037641,69.2833866179014,75.2891592069814
"Ethanol",29,3,2,732.888313486999,15.8265553110398,27.41239790752,721.602100171285,14.5972177050887,25.2831227143577,628.962450961746,7.52097975731243,13.0267190623622,673.479281718362,26.4394528214814,45.7944756111262,44.5168307566164,-59.4090317686367,-48.1228184529228
