"id","exper","date","inject.date.time","xCH4","xCH4.oa","start.time"
"B2",2,"17022017","27-02-2017 11:46:24",0.5891,0.5891,2016-11-16 14:26:00
"B2",1,"16112016","23-11-2016 15:33:29",0.5527,0.5461,2016-11-16 14:26:00
"B2",2,"24012017","03-02-2017 10:41:02",0.5785,0.5888,2016-11-16 14:26:00
"B2",2,"22012017","10-02-2017 15:34:56",0.5723,0.5836,2016-11-16 14:26:00
"B2",2,"06022017","08-02-2017 12:22:10",0.5846,0.5963,2016-11-16 14:26:00
"B2",2,"18012017","17-02-2017 12:33:31",0.474,0.4837,2016-11-16 14:26:00
"B2",2,"28012017","09-02-2017 12:30:42",0.5775,0.5885,2016-11-16 14:26:00
"B2",2,"01022017","20-02-2017 15:26:54",0.5815,0.5815,2016-11-16 14:26:00
"B2",2,"20012017","02-02-2017 17:28:08",0.5701,0.5701,2016-11-16 14:26:00
"B3",2,"20012017","02-02-2017 15:57:44",0.5415,0.5415,2017-01-18 15:27:00
"B3",2,"18012017","17-02-2017 12:51:20",0.5429,0.5525,2017-01-18 15:27:00
"B3",1,"21112016","24-11-2016 15:51:52",0.602,0.5949,2017-01-18 15:27:00
"B3",2,"01022017","20-02-2017 11:33:16",0.5661,0.5661,2017-01-18 15:27:00
"B3",1,"17112016","23-11-2016 00:31:40",0.5255,0.519,2017-01-18 15:27:00
"B3",1,"29112016","01-12-2016 16:35:07",0.6129,0.6098,2017-01-18 15:27:00
"B3",1,"17022017","20-03-2017 14:47:56",0.6387,0.6387,2017-01-18 15:27:00
"B3",2,"17022017","27-02-2017 15:02:03",0.5761,0.5761,2017-01-18 15:27:00
"B3",1,"16112016","23-11-2016 00:13:00",0.5535,0.547,2017-01-18 15:27:00
"B3",2,"22012017","10-02-2017 15:51:44",0.5481,0.5595,2017-01-18 15:27:00
"B3",1,"24112016","25-11-2016 12:56:25",0.6095,0.6067,2017-01-18 15:27:00
"B3",1,"07122016","08-12-2016 12:10:44",0.6193,0.6192,2017-01-18 15:27:00
"B3",1,"18112016","23-11-2016 15:15:46",0.5699,0.5634,2017-01-18 15:27:00
"B3",2,"06022017","08-02-2017 12:05:12",0.5683,0.5801,2017-01-18 15:27:00
"B3",2,"24012017","03-02-2017 11:34:15",0.5543,0.5647,2017-01-18 15:27:00
"B3",1,"16122016","02-01-2017 12:38:58",0.6156,0.6122,2017-01-18 15:27:00
"B3",1,"19112016","24-11-2016 13:29:38",0.592,0.5847,2017-01-18 15:27:00
"B3",2,"19012017","06-02-2017 11:42:33",0.4909,0.5027,2017-01-18 15:27:00
"C1",2,"28012017","09-02-2017 12:13:54",0.618,0.6286,2016-11-16 14:26:00
"C1",1,"24112016","25-11-2016 15:20:00",0.6567,0.654,2016-11-16 14:26:00
"C1",1,"29112016","01-12-2016 15:59:34",0.6555,0.6525,2016-11-16 14:26:00
"C1",2,"17022017","27-02-2017 13:42:36",0.615,0.615,2016-11-16 14:26:00
"C1",2,"06022017","08-02-2017 15:15:19",0.6173,0.6287,2016-11-16 14:26:00
"C1",1,"18112016","24-11-2016 09:52:51",0.6588,0.6521,2016-11-16 14:26:00
"C1",2,"22012017","10-02-2017 17:52:30",0.6404,0.651,2016-11-16 14:26:00
"C1",2,"19012017","06-02-2017 13:10:28",0.6251,0.6361,2016-11-16 14:26:00
"C1",2,"24012017","03-02-2017 10:05:42",0.635,0.6447,2016-11-16 14:26:00
"C1",1,"16112016","22-11-2016 15:33:34",0.6598,0.6539,2016-11-16 14:26:00
"C1",1,"21112016","24-11-2016 14:40:39",0.662,0.6553,2016-11-16 14:26:00
"C1",1,"07122016","08-12-2016 14:53:19",0.6492,0.6491,2016-11-16 14:26:00
"C1",1,"17022017","20-03-2017 15:06:56",0.6531,0.6531,2016-11-16 14:26:00
"C1",2,"18012017","17-02-2017 14:19:52",0.6354,0.6443,2016-11-16 14:26:00
"C1",2,"20012017","02-02-2017 17:46:16",0.6494,0.6494,2016-11-16 14:26:00
"C1",2,"01022017","20-02-2017 13:57:20",0.62,0.62,2016-11-16 14:26:00
"C1",1,"17112016","22-11-2016 20:10:29",0.6739,0.6681,2016-11-16 14:26:00
"C1",1,"16122016","02-01-2017 13:34:25",0.6436,0.6403,2016-11-16 14:26:00
"C1",1,"19112016","23-11-2016 11:24:40",0.6595,0.6535,2016-11-16 14:26:00
"C2",2,"17022017","27-02-2017 14:02:09",0.6361,0.6361,2016-11-16 14:26:00
"C2",1,"17112016","22-11-2016 22:58:16",0.6839,0.6782,2016-11-16 14:26:00
"C2",2,"19012017","06-02-2017 12:52:47",0.6207,0.6317,2016-11-16 14:26:00
"C2",1,"16112016","22-11-2016 21:06:22",0.671,0.6652,2016-11-16 14:26:00
"C2",2,"18012017","17-02-2017 11:57:55",0.6239,0.633,2016-11-16 14:26:00
"C2",1,"18112016","22-11-2016 16:46:18",0.6655,0.6597,2016-11-16 14:26:00
"C2",2,"01022017","20-02-2017 14:33:04",0.6222,0.6222,2016-11-16 14:26:00
"C2",2,"24012017","03-02-2017 11:52:03",0.6364,0.6461,2016-11-16 14:26:00
"C2",2,"22012017","10-02-2017 18:09:50",0.6407,0.6513,2016-11-16 14:26:00
"C2",2,"28012017","09-02-2017 11:39:14",0.6318,0.6423,2016-11-16 14:26:00
"C2",1,"19112016","23-11-2016 12:36:58",0.661,0.655,2016-11-16 14:26:00
"C2",1,"17022017","20-03-2017 16:05:35",0.6529,0.6529,2016-11-16 14:26:00
"C2",1,"07122016","08-12-2016 12:29:29",0.6481,0.648,2016-11-16 14:26:00
"C2",1,"29112016","01-12-2016 17:29:01",0.655,0.6521,2016-11-16 14:26:00
"C2",2,"20012017","02-02-2017 18:04:21",0.6475,0.6475,2016-11-16 14:26:00
"C2",1,"16122016","02-01-2017 12:20:19",0.6436,0.6404,2016-11-16 14:26:00
"C2",1,"21112016","24-11-2016 17:04:05",0.6602,0.6534,2016-11-16 14:26:00
"C2",2,"06022017","08-02-2017 11:48:19",0.6164,0.6278,2016-11-16 14:26:00
"C2",1,"24112016","25-11-2016 14:08:28",0.6552,0.6525,2016-11-16 14:26:00
"C3",1,"19112016","23-11-2016 09:55:02",0.6614,0.6554,2016-11-16 14:26:00
"C3",2,"22012017","10-02-2017 18:44:58",0.6388,0.6494,2016-11-16 14:26:00
"C3",2,"28012017","09-02-2017 11:04:12",0.6314,0.6418,2016-11-16 14:26:00
"C3",1,"18112016","22-11-2016 23:16:50",0.6642,0.6583,2016-11-16 14:26:00
"C3",2,"18012017","17-02-2017 13:09:08",0.6482,0.657,2016-11-16 14:26:00
"C3",1,"17022017","20-03-2017 17:05:14",0.6355,0.6355,2016-11-16 14:26:00
"C3",1,"21112016","24-11-2016 13:47:22",0.6624,0.6557,2016-11-16 14:26:00
"C3",2,"17022017","27-02-2017 13:03:45",0.637,0.637,2016-11-16 14:26:00
"C3",1,"16112016","23-11-2016 18:00:22",0.6747,0.6688,2016-11-16 14:26:00
"C3",1,"29112016","01-12-2016 16:17:17",0.6564,0.6534,2016-11-16 14:26:00
"C3",1,"17112016","24-11-2016 10:10:32",0.6862,0.6797,2016-11-16 14:26:00
"C3",2,"24012017","03-02-2017 11:16:30",0.6422,0.6518,2016-11-16 14:26:00
"C3",1,"24112016","25-11-2016 12:01:40",0.6566,0.6539,2016-11-16 14:26:00
"C3",2,"01022017","20-02-2017 13:03:21",0.62,0.62,2016-11-16 14:26:00
"C3",1,"16122016","02-01-2017 14:29:11",0.6416,0.6383,2016-11-16 14:26:00
"C3",1,"07122016","08-12-2016 10:23:35",0.6479,0.6478,2016-11-16 14:26:00
"C3",2,"19012017","06-02-2017 12:35:13",0.6324,0.6433,2016-11-16 14:26:00
"C3",2,"06022017","08-02-2017 12:56:22",0.6151,0.6265,2016-11-16 14:26:00
"C4",2,"24012017","03-02-2017 09:48:12",0.6382,0.6479,2017-01-18 15:27:00
"C4",2,"20012017","02-02-2017 19:53:12",0.6406,0.6406,2017-01-18 15:27:00
"C4",2,"22012017","10-02-2017 17:00:22",0.6454,0.6559,2017-01-18 15:27:00
"C4",2,"17022017","27-02-2017 10:11:20",0.6174,0.6174,2017-01-18 15:27:00
"C4",2,"19012017","06-02-2017 11:07:43",0.6043,0.6155,2017-01-18 15:27:00
"C4",2,"31012017","20-02-2017 15:45:32",0.6168,0.6168,2017-01-18 15:27:00
"C4",2,"18012017","17-02-2017 15:30:14",0.5883,0.5977,2017-01-18 15:27:00
"C4",2,"06022017","08-02-2017 14:57:42",0.6133,0.6247,2017-01-18 15:27:00
"C4",2,"28012017","09-02-2017 11:56:49",0.6303,0.6407,2017-01-18 15:27:00
"C5",2,"19012017","06-02-2017 11:25:14",0.5921,0.6034,2017-01-18 15:27:00
"C5",2,"22012017","10-02-2017 17:35:06",0.6471,0.6576,2017-01-18 15:27:00
"C5",2,"31012017","20-02-2017 16:03:16",0.6284,0.6284,2017-01-18 15:27:00
"C5",2,"06022017","08-02-2017 17:17:59",0.6262,0.6375,2017-01-18 15:27:00
"C5",2,"20012017","02-02-2017 19:34:58",0.6368,0.6368,2017-01-18 15:27:00
"C5",2,"18012017","17-02-2017 15:12:34",0.5518,0.5614,2017-01-18 15:27:00
"C5",2,"28012017","09-02-2017 12:47:48",0.6357,0.6461,2017-01-18 15:27:00
"C5",2,"24012017","03-02-2017 09:30:42",0.6416,0.6512,2017-01-18 15:27:00
"C6",2,"20012017","02-02-2017 18:40:34",0.6318,0.6318,2017-01-18 15:27:00
"C6",2,"31012017","20-02-2017 16:40:11",0.6226,0.6226,2017-01-18 15:27:00
"C6",2,"24012017","03-02-2017 12:09:55",0.6366,0.6462,2017-01-18 15:27:00
"C6",2,"28012017","09-02-2017 10:47:09",0.6309,0.6413,2017-01-18 15:27:00
"C6",2,"22012017","10-02-2017 16:08:42",0.6388,0.6494,2017-01-18 15:27:00
"C6",2,"17022017","27-02-2017 12:24:56",0.6173,0.6173,2017-01-18 15:27:00
"C6",2,"18012017","17-02-2017 14:54:58",0.552,0.5616,2017-01-18 15:27:00
"C6",2,"06022017","08-02-2017 15:50:25",0.6176,0.629,2017-01-18 15:27:00
"C6",2,"19012017","06-02-2017 10:50:16",0.5892,0.6006,2017-01-18 15:27:00
"E1",2,"01022017","20-02-2017 11:16:02",0.7061,0.7061,2016-11-16 14:26:00
"E1",2,"18012017","17-02-2017 13:44:37",0.6168,0.6259,2016-11-16 14:26:00
"E1",1,"19112016","23-11-2016 13:12:09",0.7627,0.7579,2016-11-16 14:26:00
"E1",1,"17112016","24-11-2016 10:28:00",0.8017,0.7969,2016-11-16 14:26:00
"E1",1,"24112016","25-11-2016 15:01:49",0.7261,0.7237,2016-11-16 14:26:00
"E1",2,"19012017","06-02-2017 10:32:54",0.6894,0.6994,2016-11-16 14:26:00
"E1",2,"24012017","03-02-2017 14:15:41",0.7363,0.7444,2016-11-16 14:26:00
"E1",2,"17022017","27-02-2017 13:23:21",0.6899,0.6899,2016-11-16 14:26:00
"E1",1,"17022017","20-03-2017 19:24:03",0.6879,0.6879,2016-11-16 14:26:00
"E1",2,"06022017","08-02-2017 17:00:27",0.6968,0.7069,2016-11-16 14:26:00
"E1",1,"07122016","08-12-2016 11:34:31",0.7037,0.7036,2016-11-16 14:26:00
"E1",1,"16122016","02-01-2017 11:43:19",0.6931,0.69,2016-11-16 14:26:00
"E1",1,"16112016","22-11-2016 20:29:10",0.5955,0.5891,2016-11-16 14:26:00
"E1",1,"29112016","01-12-2016 18:23:12",0.7199,0.7173,2016-11-16 14:26:00
"E1",1,"21112016","24-11-2016 12:17:38",0.7472,0.7415,2016-11-16 14:26:00
"E1",1,"18112016","22-11-2016 19:33:15",0.7603,0.7555,2016-11-16 14:26:00
"E1",2,"28012017","09-02-2017 10:13:52",0.7158,0.725,2016-11-16 14:26:00
"E1",2,"20012017","02-02-2017 20:29:36",0.7454,0.7454,2016-11-16 14:26:00
"E1",2,"22012017","10-02-2017 16:25:47",0.7404,0.7492,2016-11-16 14:26:00
"E2",2,"06022017","08-02-2017 16:42:59",0.6997,0.7098,2016-11-16 14:26:00
"E2",2,"17022017","27-02-2017 15:22:31",0.6948,0.6948,2016-11-16 14:26:00
"E2",1,"24112016","25-11-2016 10:50:15",0.736,0.7337,2016-11-16 14:26:00
"E2",1,"29112016","01-12-2016 20:12:18",0.7196,0.717,2016-11-16 14:26:00
"E2",2,"01022017","20-02-2017 12:45:17",0.71,0.71,2016-11-16 14:26:00
"E2",1,"07122016","08-12-2016 13:24:00",0.7145,0.7144,2016-11-16 14:26:00
"E2",1,"17022017","20-03-2017 17:44:54",0.7,0.7,2016-11-16 14:26:00
"E2",2,"19012017","06-02-2017 09:58:22",0.6809,0.6911,2016-11-16 14:26:00
