"id.exper","elapsed.time","method","xCH4"
"A1-E2",20.0701388888889,"grav",0.5721
"A1-E2",20.0701388888889,"gd01",0.689212933668597
"A1-E2",20.0701388888889,"gd02",0.552724384316032
"A1-E2",20.0701388888889,"gd03",0.536883828392118
"A1-E2",20.0701388888889,"gd04",0.689212933668597
"A1-E2",20.0701388888889,"gd05",0.583300341099448
"A1-E2",20.0701388888889,"gd06",0.56620113635212
"A1-E2",20.0701388888889,"gd07",0.689212933668597
"A1-E2",20.0701388888889,"gd08",0.552724384316032
"A1-E2",20.0701388888889,"gd09",0.536883828392118
"A1-E2",20.0701388888889,"gd10",0.689212933668597
"A1-E2",20.0701388888889,"gd11",0.583300341099448
"A1-E2",20.0701388888889,"gd12",0.56620113635212
