"id.exper","exper","elapsed.time","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4","xCH4.oa","date.time","start.time","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temperature","pressure","vBg","cvBg","vCH4","cvCH4","rvBg","rvCH4","method"
"C2-E1","1",30.8423611111111,"C2","16122016",1126,"1053",179,1034.8,0.271,162,1034.7,NA,"02-01-2017 12:20:19",1.04802696528753,0.6404,2016-12-16 10:53:00,2016-11-15 14:40:00,"C",0.200000000000045,0.0999999999999091,0.100000000000136,3.20000000000005,3.09999999999991,0.100000000000136,20,1.01325,147.453058248516,2672.35912973854,154.534781158557,1774.00636832695,16.4573247463853,17.2477201107055,"gd"
"C2-E2","2",0,"C2","17012017",1520,"1520",192,1022.1,0,0,1022.1,NA,NA,0,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,"C",0,0,0,0,0,0,20,1.01325,0,0,0,0,NA,NA,"gd"
"C2-E2","2",1.00486111111111,"C2","18012017",1557,"1527",215,1022.1,1.082,690,1021.3,NA,"17-02-2017 11:57:55",0.573114902236433,0.633,2017-01-18 15:27:00,2017-01-17 15:20:00,"C",0.800000000000068,0.800000000000068,0,0.800000000000068,0.800000000000068,0,20,1.01325,628.040803651087,628.040803651087,359.939543784983,359.939543784983,625.002596584357,358.198302038961,"gd"
"C2-E2","2",1.82152777777778,"C2","19012017",1132,"1103",242,1021.3,0.971,618,1020.6,NA,"06-02-2017 12:52:47",0.596534097501916,0.6317,2017-01-19 11:03:00,2017-01-17 15:20:00,"C",0.699999999999932,0.699999999999932,0,1.5,1.5,0,20,1.01325,562.506111096191,1190.54691474728,335.554075322079,695.493619107062,688.782993179009,410.882541210709,"gd"
"C2-E2","2",2.97916666666667,"C2","20012017",1509,"1450",260,1020.6,0.901,575,1020,NA,"02-02-2017 18:04:21",0.674680254334418,0.6475,2017-01-20 14:50:00,2017-01-17 15:20:00,"C",0.600000000000023,0.600000000000023,0,2.10000000000002,2.10000000000002,0,20,1.01325,523.367336375906,1713.91425112318,353.105607616423,1048.59922672349,452.098958837015,305.022240532483,"gd"
"C2-E2","2",4.62291666666667,"C2","22012017",639,"0617",287,1020,0.683,420,1019.5,NA,"10-02-2017 18:09:50",0.545909897210288,0.6513,2017-01-22 06:17:00,2017-01-17 15:20:00,"C",0.5,0.5,0,2.60000000000002,2.60000000000002,0,20,1.01325,382.285706570227,2096.19995769341,208.693550778715,1257.2927775022,232.569251145385,126.961855987051,"gd"
"C2-E2","2",6.75208333333333,"C2","24012017",1009,"0923",311,1019.5,0.444,275,1019.2,NA,"03-02-2017 11:52:03",0.633130792112716,0.6461,2017-01-24 09:23:00,2017-01-17 15:20:00,"C",0.299999999999955,0.299999999999955,0,2.89999999999998,2.89999999999998,0,20,1.01325,250.306117397172,2346.50607509058,158.47651037833,1415.76928788053,117.560603082821,74.4312377510748,"gd"
"C2-E2","2",11.1263888888889,"C2","28012017",1858,"1822",338,1019.2,0.495,310,1018.9,"mass.init originally entered as 1018.2. Must be mistake.","09-02-2017 11:39:14",0.741025363365973,0.6423,2017-01-28 18:22:00,2017-01-17 15:20:00,"C",0.300000000000068,0.300000000000068,0,3.20000000000005,3.20000000000005,0,20,1.01325,282.163259611358,2628.66933470194,209.090131982034,1624.85941986256,64.50469818072,47.7996174081805,"gd"
"C2-E2","2",14.7868055555556,"C2","01022017",1013,"1013",353,1018.8,0.248,150,1018.7,NA,"20-02-2017 14:33:04",1.00476764865326,0.6222,2017-02-01 10:13:00,2017-01-17 15:20:00,"C",0.199999999999932,0.0999999999999091,0.100000000000023,3.39999999999998,3.29999999999995,0.100000000000023,20,1.01325,136.530609489367,2765.19994419131,137.181539465828,1762.04095932839,37.2991989498554,37.4770284254965,"gd"
"C2-E2","2",20.0701388888889,"C2","06022017",1720,"1701",377,1018.7,0.268,162,1018.5,NA,"08-02-2017 11:48:19",0.507285507357984,0.6278,2017-02-06 17:01:00,2017-01-17 15:20:00,"C",0.200000000000045,0.200000000000045,0,3.60000000000002,3.5,0.100000000000023,20,1.01325,147.453058248516,2912.65300243982,74.8007994650848,1836.84175879348,27.9090961984573,14.1578800249372,"gd"
"C2-E2","2",31.0743055555556,"C2","17022017",1756,"1707",416,1018.5,0.357,220,1018.3,NA,"27-02-2017 14:02:09",0.792403730629602,0.6361,2017-02-17 17:07:00,2017-01-17 15:20:00,"C",0.200000000000045,0.200000000000045,0,3.80000000000007,3.70000000000005,0.100000000000023,20,1.01325,200.244893917738,3112.89789635756,158.674800979944,1995.51655977342,18.1971883908584,14.4195199678859,"gd"
"C3-E1","1",0,"C3","15112016",1440,"1440",10,1057.6,0,0,1057.6,NA,NA,0,NA,2016-11-15 14:40:00,2016-11-15 14:40:00,"C",0,0,0,0,0,0,20,1.01325,0,0,0,0,NA,NA,"gd"
"C3-E1","1",0.990277777777778,"C3","16112016",1508,"1426",29,1057.6,0.842,550,1057.1,NA,"23-11-2016 18:00:22",0.792403730629783,0.6688,2016-11-16 14:26:00,2016-11-15 14:40:00,"C",0.5,0.5,0,0.5,0.5,0,20,1.01325,500.612234794345,500.612234794345,396.687002449951,396.687002449951,505.527081419254,400.581545251003,"gd"
"C3-E1","1",2.28263888888889,"C3","17112016",2245,"2127",47,1057.2,1.059,682,1056.5,NA,"24-11-2016 10:10:32",0.689646996102491,0.6797,2016-11-17 21:27:00,2016-11-15 14:40:00,"C",0.599999999999909,0.700000000000045,-0.100000000000136,1.09999999999991,1.20000000000005,-0.100000000000136,20,1.01325,620.759171144987,1121.37140593933,428.104697683212,824.791700133164,480.329503733897,331.257799389482,"gd"
"C3-E1","1",3.075,"C3","18112016",1659,"1628",72,1056.4,0.554,373,1056,NA,"22-11-2016 23:16:50",0.649356989602046,0.6583,2016-11-18 16:28:00,2016-11-15 14:40:00,"C",0.5,0.400000000000091,0.0999999999999091,1.59999999999991,1.60000000000014,-2.27373675443232e-13,20,1.01325,339.506115596892,1460.87752153622,220.460669175482,1045.25236930865,428.473975862861,278.232571089127,"gd"
"C3-E1","1",4.16805555555556,"C3","19112016",1900,"1842",83,1056,0.436,277,1055.7,NA,"23-11-2016 09:55:02",0.640030702806601,0.6554,2016-11-19 18:42:00,2016-11-15 14:40:00,"C",0.299999999999955,0.299999999999955,0,1.89999999999986,1.90000000000009,-2.27373675443232e-13,20,1.01325,252.126525523697,1713.00404705992,161.368717327118,1206.62108663576,230.662132626508,147.630846855814,"gd"
"C3-E1","1",5.77430555555556,"C3","21112016",945,"0915",105,1055.7,0.396,250,1055.4,NA,"24-11-2016 13:47:22",0.537567029002403,0.6557,2016-11-21 09:15:00,2016-11-15 14:40:00,"C",0.299999999999955,0.299999999999955,0,2.19999999999982,2.20000000000005,-2.27373675443232e-13,20,1.01325,227.551015815611,1940.55506287553,122.323923518477,1328.94501015424,141.666002064194,76.1549718402969,"gd"
"C3-E1","1",8.84652777777778,"C3","24112016",1106,"1059",113,1055.4,0.387,228,1055.1,NA,"25-11-2016 12:01:40",0.436135315524793,0.6539,2016-11-24 10:59:00,2016-11-15 14:40:00,"C",0.300000000000182,0.300000000000182,0,2.5,2.50000000000023,-2.27373675443232e-13,20,1.01325,207.526526423837,2148.08158929937,90.5096470816247,1419.45465723587,67.5493214399471,29.460644619697,"gd"
"C3-E1","1",13.775,"C3","29112016",925,"0916",130,1055.1,0.376,220,1054.9,NA,"01-12-2016 16:17:17",0.792403730630507,0.6534,2016-11-29 09:16:00,2016-11-15 14:40:00,"C",0.199999999999818,0.199999999999818,0,2.69999999999982,2.70000000000005,-2.27373675443232e-13,20,1.01325,200.244893917738,2348.32648321711,158.674800980126,1578.12945821599,40.6302166044163,32.1955352136651,"gd"
"C3-E1","1",21.8826388888889,"C3","07122016",1302,"1151",162,1054.9,0.397,238,1054.6,NA,"08-12-2016 10:23:35",0.484565278032821,0.6478,2016-12-07 11:51:00,2016-11-15 14:40:00,"C",0.300000000000182,0.300000000000182,0,3,3.00000000000023,-2.27373675443232e-13,20,1.01325,216.628567056462,2564.95505027357,104.970681825566,1683.10014004156,26.7190695127456,12.9471333472218,"gd"
"C3-E1","1",30.8423611111111,"C3","16122016",1128,"1053",180,1054.6,0.265,154,1054.4,NA,"02-01-2017 14:29:11",0.451104576665363,0.6383,2016-12-16 10:53:00,2016-11-15 14:40:00,"C",0.199999999999818,0.199999999999818,0,3.19999999999982,3.20000000000005,-2.27373675443232e-13,20,1.01325,140.171425742416,2705.12647601599,63.2319716701131,1746.33211171167,15.6446173515021,7.05735848744093,"gd"
"C3-E2","2",0,"C3","17012017",1520,"1520",193,1049.3,0,0,1049.3,NA,NA,0,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,"C",0,0,0,0,0,0,20,1.01325,0,0,0,0,NA,NA,"gd"
"C3-E2","2",1.00486111111111,"C3","18012017",1600,"1527",216,1049.3,1.059,655,1048.6,NA,"17-02-2017 13:09:08",0.652583975442857,0.657,2017-01-18 15:27:00,2017-01-17 15:20:00,"C",0.700000000000045,0.700000000000045,0,0.700000000000045,0.700000000000045,0,20,1.01325,596.183661436901,596.183661436901,389.059903874571,389.059903874571,593.299566322832,387.177789619476,"gd"
"C3-E2","2",1.82152777777778,"C3","19012017",1135,"1103",243,1048.6,0.904,554,1048,NA,"06-02-2017 12:35:13",0.640030702806601,0.6433,2017-01-19 11:03:00,2017-01-17 15:20:00,"C",0.599999999999909,0.599999999999909,0,1.29999999999995,1.29999999999995,0,20,1.01325,504.253051047394,1100.4367124843,322.737434654237,711.797338528808,617.452715568238,395.188695494984,"gd"
"C3-E2","2",2.97916666666667,"C3","20012017",1513,"1450",261,1048,0.776,472,1047.5,NA,NA,0.660801090753273,NA,2017-01-20 14:50:00,2017-01-17 15:20:00,"C",0.5,0.5,0,1.79999999999995,1.79999999999995,0,20,1.01325,429.616317859874,1530.05303034417,283.890931447209,995.688269976017,371.114275775776,245.232718226744,"gd"
"C3-E2","2",4.62291666666667,"C3","22012017",641,"0617",288,1047.5,0.586,351,1047.1,NA,"10-02-2017 18:44:58",0.590476500885512,0.6494,2017-01-22 06:17:00,2017-01-17 15:20:00,"C",0.400000000000091,0.400000000000091,0,2.20000000000005,2.20000000000005,0,20,1.01325,319.481626205118,1849.53465654929,188.646392738811,1184.33466271483,194.361445600072,114.76586630498,"gd"
"C3-E2","2",6.75208333333333,"C3","24012017",1016,"0923",312,1047.1,0.403,240,1046.8,"Labeled C5 on data sheet but see mass.","03-02-2017 11:16:30",0.493766970910176,0.6518,2017-01-24 09:23:00,2017-01-17 15:20:00,"C",0.299999999999955,0.299999999999955,0,2.5,2.5,0,20,1.01325,218.448975182987,2067.98363173227,107.862888774536,1292.19755148936,102.598344508643,50.6596737884316,"gd"
"C3-E2","2",11.1263888888889,"C3","28012017",1900,"1822",339,1046.8,0.475,294,1046.5,NA,"09-02-2017 11:04:12",0.694889686639789,0.6418,2017-01-28 18:22:00,2017-01-17 15:20:00,"C",0.299999999999955,0.299999999999955,0,2.79999999999995,2.79999999999995,0,20,1.01325,267.599994599159,2335.58362633143,185.952476391819,1478.15002788118,61.1754234359087,42.5101708214349,"gd"
"C3-E2","2",14.7868055555556,"C3","01022017",1015,"1013",354,1046.4,0.24,150,1046.3,NA,"20-02-2017 13:03:21",1.00476764865194,0.62,2017-02-01 10:13:00,2017-01-17 15:20:00,"C",0.200000000000045,0.100000000000136,0.0999999999999091,3,2.90000000000009,0.0999999999999091,20,1.01325,136.530609489367,2472.1142358208,137.181539465647,1615.33156734683,37.2991989498554,37.477028425447,"gd"
"C3-E2","2",20.0701388888889,"C3","06022017",1722,"1701",378,1046.3,0.262,154,1046.2,NA,"08-02-2017 12:56:22",1.0199364999406,0.6265,2017-02-06 17:01:00,2017-01-17 15:20:00,"C",0.0999999999999091,0.0999999999999091,0,3.09999999999991,3,0.0999999999999091,20,1.01325,140.171425742416,2612.28566156322,142.965953363404,1758.29752071023,26.530869225694,27.0598018984362,"gd"
"C3-E2","2",31.0743055555556,"C3","17022017",1758,"1707",417,1046.2,0.344,222,1045.9,"Ask Jinmi about pres.init","27-02-2017 13:03:45",0.404983069371879,0.637,2017-02-17 17:07:00,2017-01-17 15:20:00,"C",0.299999999999955,0.299999999999955,0,3.39999999999986,3.29999999999995,0.0999999999999091,20,1.01325,202.065302044263,2814.35096360748,81.8330262354412,1840.13054694567,18.3626173762299,7.43654914672696,"gd"
"C4-E2","2",0,"C4","17012017",1520,"1520",194,951.5,0,0,951.5,NA,NA,0,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,"CB",0,0,0,0,0,0,20,1.01325,0,0,0,0,NA,NA,"gd"
"C4-E2","2",1.00486111111111,"C4","18012017",1528,"1527",207,951.1,1.098,772,950.2,"For all bottles (W excepted) I always mixed by swirling before measurements in experiment 2","17-02-2017 15:30:14",0.567523545417683,0.5977,2017-01-18 15:27:00,2017-01-17 15:20:00,"CB",1.29999999999995,0.899999999999977,0.399999999999977,1.29999999999995,0.899999999999977,0.399999999999977,20,1.01325,702.677536838607,702.677536838607,398.786046992011,398.786046992011,699.278267482788,396.856881595367,"gd"
"C4-E2","2",1.82152777777778,"C4","19012017",1146,"1103",247,950.2,1.109,780,949.3,NA,"06-02-2017 11:07:43",0.57799785185651,0.6155,2017-01-19 11:03:00,2017-01-17 15:20:00,"CB",0.900000000000091,0.900000000000091,0,2.20000000000005,1.80000000000007,0.399999999999977,20,1.01325,709.959169344707,1412.63670618331,410.354874787073,809.140921779084,869.337758381274,502.47535688213,"gd"
"C4-E2","2",2.97916666666667,"C4","20012017",1450,"1450",253,949.3,0.998,698,948.5,NA,"02-02-2017 19:53:12",0.584755630270724,0.6406,2017-01-20 14:50:00,2017-01-17 15:20:00,"CB",0.799999999999955,0.799999999999955,0,3,2.60000000000002,0.399999999999977,20,1.01325,635.322436157186,2047.9591423405,371.508371580227,1180.64929335931,548.808823075194,320.919049235469,"gd"
"C4-E2","2",4.62291666666667,"C4","22012017",650,"0617",292,948.5,0.802,560,947.9,NA,"10-02-2017 17:00:22",0.650195749810808,0.6559,2017-01-22 06:17:00,2017-01-17 15:20:00,"CB",0.600000000000023,0.600000000000023,0,3.60000000000002,3.20000000000005,0.399999999999977,20,1.01325,509.714275426969,2557.67341776747,331.414055500511,1512.06334885982,310.092334860513,201.620718175216,"gd"
"C4-E2","2",6.75208333333333,"C4","24012017",944,"0923",307,947.9,0.481,220,947.6,NA,"03-02-2017 09:48:12",0.394221384336933,0.6479,2017-01-24 09:23:00,2017-01-17 15:20:00,"CB",0.299999999999955,0.299999999999955,0,3.89999999999998,3.5,0.399999999999977,20,1.01325,200.244893917738,2757.91831168521,78.940819286653,1591.00416814647,94.0484824662565,37.0759229526355,"gd"
"C4-E2","2",11.1263888888889,"C4","28012017",1912,"1822",343,947.5,0.572,370,947.2,NA,"09-02-2017 11:56:49",0.878497210909465,0.6407,2017-01-28 18:22:00,2017-01-17 15:20:00,"CB",0.399999999999977,0.299999999999955,0.100000000000023,4.29999999999995,3.79999999999995,0.5,20,1.01325,336.775503407105,3094.69381509231,295.856340445772,1886.86050859225,76.9894784737626,67.6350421085747,"gd"
"C4-E2","2",14.0611111111111,"C4","31012017",1648,"1648",349,947.2,0.22,150,947,NA,"20-02-2017 15:45:32",0.420766874089355,0.6168,2017-01-31 16:48:00,2017-01-17 15:20:00,"CB",0.200000000000045,0.200000000000045,0,4.5,4,0.5,20,1.01325,136.530609489367,3231.22442458168,57.4475577723553,1944.3080663646,46.5224982642423,19.5751261694727,"gd"
"C4-E2","2",20.0701388888889,"C4","06022017",1709,"1701",373,947,0.27,174,946.8,NA,"08-02-2017 14:57:42",0.581870536037837,0.6247,2017-02-06 17:01:00,2017-01-17 15:20:00,"CB",0.200000000000045,0.200000000000045,0,4.70000000000005,4.20000000000005,0.5,20,1.01325,158.375507007665,3389.59993158934,92.1540411578144,2036.46210752242,26.356261422748,15.3359319620077,"gd"
"C4-E2","2",31.0743055555556,"C4","17022017",1733,"1707",406,946.8,0.327,222,946.5,NA,"27-02-2017 10:11:20",0.404983069371879,0.6174,2017-02-17 17:07:00,2017-01-17 15:20:00,"CB",0.299999999999955,0.299999999999955,0,5,4.5,0.5,20,1.01325,202.065302044263,3591.66523363361,81.8330262354412,2118.29513375786,18.3626173762299,7.43654914672696,"gd"
"C5-E2","2",0,"C5","17012017",1520,"1520",195,858,0,0,858,NA,NA,0,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,"CB",0,0,0,0,0,0,20,1.01325,0,0,0,0,NA,NA,"gd"
"C5-E2","2",1.00486111111111,"C5","18012017",537,"1527",208,857.8,0.663,513,857.2,NA,"17-02-2017 15:12:34",0.564205660824576,0.5614,2017-01-18 15:27:00,2017-01-17 15:20:00,"CB",0.799999999999955,0.599999999999909,0.200000000000045,0.799999999999955,0.599999999999909,0.200000000000045,20,1.01325,466.934684453634,466.934684453634,263.447192204077,263.447192204077,464.6758435475,262.172741377935,"gd"
"C5-E2","2",1.82152777777778,"C5","19012017",1149,"1103",248,857,0.698,549,856.4,NA,"06-02-2017 11:25:14",0.631390104259887,0.6034,2017-01-19 11:03:00,2017-01-17 15:20:00,"CB",0.800000000000068,0.600000000000023,0.200000000000045,1.60000000000002,1.19999999999993,0.400000000000091,20,1.01325,499.702030731082,966.636715184716,315.506917282175,578.954109486253,611.880037629896,386.335000753684,"gd"
"C5-E2","2",2.97916666666667,"C5","20012017",1454,"1450",254,856.1,0.502,388,855.7,NA,"02-02-2017 19:34:58",0.685674441932733,0.6368,2017-01-20 14:50:00,2017-01-17 15:20:00,"CB",0.699999999999932,0.399999999999977,0.299999999999955,2.29999999999995,1.59999999999991,0.700000000000045,20,1.01325,353.159176545828,1319.79589173054,242.152221291485,821.106330777737,305.068514832629,209.177683659111,"gd"
"C5-E2","2",4.62291666666667,"C5","22012017",652,"0617",293,855.4,0.338,260,855.1,NA,"10-02-2017 17:35:06",0.577997851856766,0.6576,2017-01-22 06:17:00,2017-01-17 15:20:00,"CB",0.600000000000023,0.299999999999955,0.300000000000068,2.89999999999998,1.89999999999986,1.00000000000011,20,1.01325,236.653056448236,1556.44894817878,136.784958262418,957.891289040155,143.971441185238,83.2151837337904,"gd"
