"id","exper","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","date.time","start.time","time.d","xCH4.GC","vol.hs","temperature","pres.resid","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","xCH4.GC.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"A1","2","17012017",1520,"1520",185,826.2,0,0,826.2,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,0,837.24,30,0,1.01325,1.01325,1,1.01325,1,20,0,-39.3826852989392,0,-39.3826852989392,0,NA,NA
"A1","2","18012017",1613,"1527",220,826.2,0.959,790,825.3,NA,"17-02-2017 11:40:12",0.5566,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.547,837.24,30,0,1.97225,1.01325,0.513753327417924,1.01325,1,30,0,713.858562038033,390.480633434804,674.475876739094,390.480633434804,713.858562038033,390.480633434804
"A1","2","19012017",1114,"1103",233,825.3,0.966,790,824.3,NA,"06-02-2017 15:30:33",0.5135,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,0.5017,837.24,30,0,1.97925,1.01325,0.511936339522546,1.01325,0.513753327417924,30,0.547,703.65061473878,353.021513414446,1378.12649147787,743.50214684925,879.563268423475,441.276891768058
"A1","2","20012017",1523,"1450",265,824.3,0.564,449,823.8,NA,"02-02-2017 18:22:23",0.5491,2017-01-20 14:50:00,2017-01-17 15:20:00,3,0.5491,837.24,30,0,1.57725,1.01325,0.642415596766524,1.01325,0.511936339522546,30,0.5017,404.353091836854,222.030282727617,1782.47958331473,965.532429576867,336.960909864045,185.025235606347
"A1","2","22012017",625,"0617",280,823.8,0.338,260,823.5,NA,"10-02-2017 21:06:28",0.5605,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,0.5491,837.24,30,0,1.35125,1.01325,0.749861239592969,1.01325,0.642415596766524,30,0.5491,240.261064833976,131.927350700336,2022.7406481487,1097.4597802772,150.163165521235,82.4545941877102
"A1","2","24012017",1018,"0923",313,823.4,0.241,184,823.2,NA,"03-02-2017 09:13:31",0.5753,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,0.565,837.24,30,0,1.25425,1.01325,0.807853298784134,1.01325,0.749861239592969,30,0.5491,171.463418054435,96.8768312007556,2194.20406620314,1194.33661147796,77.9379172974703,44.0349232730707
"A1","2","28012017",1829,"1822",328,823.2,0.251,200,823,NA,"09-02-2017 14:30:48",0.5765,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,0.5654,837.24,30,0,1.26425,1.01325,0.80146331817283,1.01325,0.807853298784134,30,0.565,180.746093742604,102.193841402068,2374.95015994574,1296.53045288003,42.0339752889777,23.766009628388
"A1","2","01022017",1053,"1013",367,823,0.13,95,822.9,NA,"20-02-2017 14:51:03",0.5689,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,0.5689,837.24,30,0,1.14325,1.01325,0.886289088125957,1.01325,0.80146331817283,30,0.5654,90.4737031976445,51.4704897491399,2465.42386314339,1348.00094262917,24.4523522155796,13.9109431754432
"A1","2","06022017",1759,"1701",391,822.9,0.137,97,822.8,NA,"08-02-2017 16:25:28",0.5839,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,0.5721,837.24,30,0,1.15025,1.01325,0.880895457509237,1.01325,0.886289088125957,30,0.5689,98.3741256941427,56.279837309619,2563.79798883753,1404.28077993879,18.5611557913477,10.61883722823
"A1","2","17022017",1707,"1707",397,822.8,0.169,123,822.6,"Initial mass (822.4) below final mass even after removing 123 mL biogas. Must be data recording error but which one? Suspect mass.init, so set to previous mass.final value. This is the most consitent explanation.","27-02-2017 12:44:19",0.5813,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.5813,837.24,30,0,1.18225,1.01325,0.857052230915627,1.01325,0.880895457509237,30,0.5721,122.023201614094,70.9320870982728,2685.82119045162,1475.21286703706,11.093018328554,6.44837155438843
