"id","xCH4.gdt","xCH4.gc","adiff"
"A1",0.536883828392118,0.542287419331615,-0.00540359093949716
"A2",0.539350593535998,0.546234304182003,-0.00688371064600524
"A3",0.527161802907985,0.548477517002159,-0.0213157140941743
"B1",0.537519242652546,0.519044700252227,0.0184745424003194
"B2",0.518704961051564,0.519855584457172,-0.00115062340560723
"B3",0.466823623502707,0.532332424275714,-0.0655088007730074
"C1",0.567258117094499,0.633181861056154,-0.0659237439616552
"C2",0.618972290680095,0.632287383584502,-0.0133150929044068
"C3",0.629045611500558,0.637526354688326,-0.0084807431877677
"E1",0.654690992488244,0.72422572162146,-0.0695347291332163
"E2",0.701026663075114,0.719518509227795,-0.018491846152682
"E3",0.661682124077695,0.725287342670494,-0.0636052185927987
"I1",0.466019706865993,0.519196020323664,-0.053176313457671
"I2",0.642426137048133,0.50091934482856,0.141506792219573
"L1",0.520901882992896,0.498112840671343,0.0227890423215527
"L3",0.54402248610561,0.500460152377558,0.0435623337280516
