"id","exper","mean","stddev","day.start","day.end","interval.nb","detect.lim.int","detect.lim.tot"
"W1","2",1073.59,0.031622776601655,1073.6,1073.6,10,0.158113883008275,0.499999999999545
"W2","2",826.89,0.031622776601691,826.9,826.9,10,0.158113883008455,0.500000000000114
"W3","2",405.95625,0.0091612538131329,405.96,405.95,8,0.0458062690656645,0.129559693908748
