"descrip","elapsed.time","mean.vol","sd.vol","mean.grav","sd.grav","mean.gd","sd.gd"
"Cellulose",0,0,0,0,0,0,0
"Cellulose",0.725694444444444,11.3404526520138,0.44047256642971,8.35783376504712,1.78004989571288,9.31630747050181,3.38823894397321
"Cellulose",1.60416666666667,23.3415145678788,0.524326632060217,24.2969275282247,2.68581582782328,18.5515826147404,7.31287655026564
"Cellulose",2.97708333333333,134.121274399717,5.07610284221466,141.54845824875,4.38311109642664,115.425526471147,5.12378056780669
"Cellulose",3.71875,244.614469710861,2.36872059479762,263.827727841287,4.44917397915248,207.003232762605,5.5472402369651
"Cellulose",4.75694444444444,352.984186278547,4.8175140869971,374.507188176774,4.93923316363429,274.94813238436,70.8317947056759
"Cellulose",5.68888888888889,396.635676628019,4.43568133784976,426.325852269154,2.31659506417241,312.616798444808,73.3720661653363
"Cellulose",7.81527777777778,434.362369069905,5.39680095461732,468.856435872514,4.38262674804876,345.340055863864,74.3345096874814
"Cellulose",10.8388888888889,450.257384464409,5.53466572567685,490.738880059491,4.82189666780253,356.693046004897,74.3302789400314
"Cellulose",13.8597222222222,460.527128888209,5.6448375205352,502.810476766924,3.48500847922131,365.759920964351,69.8628474947074
"Cellulose",18.2409722222222,466.397771081893,5.99907945547608,509.362805108938,4.89244109910959,370.321180790127,66.1028001102712
"Cellulose",21.8006944444444,468.236713230902,5.7321832360388,515.179099875045,5.35744793465588,367.808877597455,65.4228826757824
"Cellulose",27.9395833333333,469.40754425616,5.24295544466448,518.448428947962,4.1550071499073,371.465585895472,67.4470792840413
"Cellulose",31.7576388888889,471.322062900331,5.5188155374712,525.287091086108,5.19589005098882,374.245632740757,65.4998369172864
"Cellulose",49.9388888888889,474.921394543197,5.46772198090464,536.821520466441,4.741689061847,377.105800988479,63.2145273329068
"Cellulose",80.8354166666667,481.201452148854,5.73297930349373,553.596820493235,5.1076059316039,343.743953472199,124.606498024149
"Cellulose",129.899305555556,480.152178106461,5.55438142287942,562.950367712608,2.7296661224201,337.99164794745,125.462853883812
"Substrate C",0,0,0,0,0,0,0
"Substrate C",0.725694444444444,57.4767469495902,2.78150268412375,39.0576485808801,33.3806714897786,85.8927199468251,51.3815477994879
"Substrate C",1.60416666666667,155.857657317861,5.29661169293061,162.644549310475,5.50596037175575,176.653860740041,50.8678271426214
"Substrate C",2.97708333333333,286.024537621022,11.0455156017141,283.097389648671,10.690643130165,321.290852640118,49.2483630081801
"Substrate C",3.71875,337.405142490482,4.7115740559685,335.812932619572,5.46209749152206,375.55380918921,60.064695210539
"Substrate C",5.68888888888889,404.886657228988,2.49747078078923,397.797377645541,2.61165628683902,453.506490925824,61.6129148498545
"Substrate C",7.81527777777778,439.445464635262,2.97350053935387,431.722803755162,4.18720406486717,491.803374936019,61.8208003357625
"Substrate C",10.8388888888889,460.770823556112,5.51425318557426,453.971335005134,3.90492683011318,516.582355109729,57.287856398235
"Substrate C",13.8597222222222,475.049733685155,4.35965612721034,468.048736402741,6.90283684715706,531.311066965588,54.7865853196588
"Substrate C",18.2409722222222,482.298234303514,4.6341372249793,479.767221076734,4.53850131214828,538.765573371841,51.6801711851488
"Substrate C",21.8006944444444,488.905431936623,5.51315450408856,488.000767005695,6.03129481685767,544.778761131419,43.3064679592539
"Substrate C",27.9395833333333,493.421994416017,5.82200706666177,495.735889154988,5.52032596502759,554.159422571161,43.1410674500955
"Substrate C",31.7576388888889,495.730538053416,5.92094153335118,503.031941037124,5.26818619618065,558.164461225274,41.8050921563196
"Substrate C",49.9388888888889,503.626057236178,5.55712626894335,519.384182295098,4.62675581654313,562.057200940217,41.6700991645531
"Substrate C",80.8354166666667,514.393156132296,6.67796405043055,533.091934911254,4.92026413622336,572.263972824824,38.5951686729774
"Substrate C",129.899305555556,524.176508682334,8.58654065758425,554.026181661705,7.22228042388728,576.87846639974,32.6594961554331
"Substrate D",0,0,0,0,0,0,0
"Substrate D",0.725694444444444,19.3552475104408,0.446553247151056,18.7557907776989,0.877858686780708,18.9808528062316,1.81990213963482
"Substrate D",1.60416666666667,38.7727129113995,1.03154737017259,40.0146350651908,1.75766570574691,36.3562297023061,1.42867016413325
"Substrate D",2.97708333333333,79.7419765473133,2.47197280650739,81.8205026436778,2.38838608168362,75.1727742506726,2.98634914737259
"Substrate D",3.71875,105.110659481382,1.92062638467396,110.207492779203,4.09037095424566,96.6467207564434,1.78299183056366
"Substrate D",5.68888888888889,163.273648877515,1.88767120159096,170.795775436676,3.43035181841472,149.953257574282,3.65770318701141
"Substrate D",7.81527777777778,223.282798897088,2.65864455605063,234.884379272011,4.41388899053461,204.662452479665,4.62819489871951
"Substrate D",9.23958333333333,256.250274431301,1.6697392189676,272.377939111945,2.6112413977045,229.96324177771,7.07816797126099
"Substrate D",10.8388888888889,283.469536796104,1.81346700700925,302.205288373715,3.01295131882269,252.465018089371,8.7511345389835
"Substrate D",13.8597222222222,316.158700010982,1.4859450251841,337.921884578675,3.0527730421198,280.222483307574,9.65490614020811
"Substrate D",18.2409722222222,342.877052220016,1.88902252367136,367.442307698601,2.80053359160101,303.044363675951,6.2536868117949
"Substrate D",21.8006944444444,356.516119881735,1.48590080236909,383.707805552676,2.17826202287929,314.257496231848,6.60406608458796
"Substrate D",27.9395833333333,363.184464972079,1.32592954784341,398.207337651066,2.53829480318621,319.123894664164,6.7800483826068
"Substrate D",31.7576388888889,367.421633288586,1.34278060731492,405.050859290144,3.98052008464885,323.491958749532,6.90390841995574
