"id","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"C1",0,NA,0,0,0,0,NA,NA
"C1",0.725694444444444,0.6,190.924629738396,114.755088976667,190.924629738396,114.755088976667,263.09231274956,158.131414475024
"C1",1.60416666666667,0.6,299.59638912872,180.072159043399,490.521018867116,294.827248020066,341.042529917278,204.983327290509
"C1",2.97708333333333,0.6,421.560004957804,253.378288302676,912.08102382492,548.205536322742,307.054328345593,184.554747170386
"C1",3.71875,0.6,145.357531845846,87.367022909796,1057.43855567077,635.572559232538,195.987683387657,117.798233136804
"C1",5.68888888888889,0.6,218.726248939665,131.465228938748,1276.16480461043,767.037788171286,111.020725580937,66.7289142304537
"C1",7.81527777777778,0.6,127.755123883753,76.7871103303595,1403.91992849418,843.824898501646,60.0807898081662,36.1115084505936
"C1",10.8388888888889,0.6,110.20828906082,66.2405999397218,1514.128217555,910.065498441367,36.4492274339872,21.9077776557647
"C1",13.8597222222222,0.6,62.3933702961173,37.5014830181712,1576.52158785112,947.566981459539,20.6543570635423,12.4142840336015
"C1",18.2409722222222,0.6,54.1907090413132,32.5712803333198,1630.71229689244,980.138261792858,12.3687780978746,7.43424372800451
"C1",21.8006944444444,0.6,48.3194076982637,29.0423395730121,1679.0317045907,1009.18060136587,13.5739264700546,8.15859714887582
"C1",27.9395833333333,0.6,30.3537909293026,18.2441206440678,1709.38549552,1027.42472200994,4.94450892966015,2.97189295559475
"C1",31.7576388888889,0.6,24.5052511799312,14.728860720598,1733.89074669993,1042.15358273054,6.41825421955274,3.85768632914899
"C1",49.9388888888889,0.6,67.7443582835484,40.7176898713787,1801.63510498348,1082.87127260191,3.72605614484969,2.23954292864235
"C1",80.8354166666667,0.6,100.05548206146,60.1382637865976,1901.69058704494,1143.00953638851,3.23840538914617,1.9464408498955
"C1",129.899305555556,0.6,99.5966030555015,59.8624549439647,2001.28719010044,1202.87199133248,2.02993699258227,1.22009193114574
"C2",0,NA,0,0,0,0,NA,NA
"C2",0.725694444444444,0.6,195.913159256501,117.753440470119,195.913159256501,117.753440470119,269.966458688385,162.263114140643
"C2",1.60416666666667,0.6,308.620376753079,185.496019255549,504.53353600958,303.249459725668,351.314895276232,211.157523895645
"C2",2.97708333333333,0.6,391.898000344568,235.549965245132,896.431536354149,538.7994249708,285.449226351127,171.569018691447
"C2",3.71875,0.6,162.405637432704,97.6137725103276,1058.83717378685,636.413197481128,218.973893167691,131.614075294824
"C2",5.68888888888889,0.6,217.826140919338,130.924219766161,1276.66331470619,767.337417247288,110.563850167024,66.4543096451432
"C2",7.81527777777778,0.6,128.661188592149,77.3316997653265,1405.32450329834,844.669117012615,60.5068947004227,36.3676184396049
"C2",10.8388888888889,0.6,96.6580895861287,58.0962638815593,1501.98259288447,902.765380894174,31.9677650445625,19.2141984357936
"C2",13.8597222222222,0.6,71.4358877303372,42.9364805570366,1573.41848061481,945.701861451211,23.6477421452151,14.2134556326742
"C2",18.2409722222222,0.6,54.1907090413132,32.5712803333198,1627.60918965612,978.273141784531,12.3687780978746,7.43424372800451
"C2",21.8006944444444,0.6,47.4077207605606,28.4943709018232,1675.01691041668,1006.76751268635,13.3178146498649,8.00466135361401
"C2",27.9395833333333,0.6,33.9248251562793,20.390487778664,1708.94173557296,1027.15800046502,5.52621586256134,3.32152742095884
"C2",31.7576388888889,0.6,24.5052511799312,14.728860720598,1733.44698675289,1041.88686118562,6.41825421955274,3.85768632914899
"C2",49.9388888888889,0.6,82.0063284485059,49.2898351074584,1815.4533152014,1091.17669629307,4.51048901744962,2.71102565046179
"C2",80.8354166666667,0.6,94.6470776257053,56.8875468251599,1910.1003928271,1148.06424311823,3.06335644919232,1.84122783098223
"C2",129.899305555556,0.6,98.6993363613078,59.3231535480731,2008.79972918841,1207.38739666631,2.01164927192837,1.20910011194623
"C3",0,NA,0,0,0,0,NA,NA
