"descrip","mean.vol","sd.vol","mean.grav","sd.grav","mean.gd","sd.gd"
"Cellulose",470.440715739837,5.3904613744861,522.138918319348,4.46756678466738,372.965840349812,66.3481819489709
"Substrate C",494.667801795457,5.87501822296303,499.673209259444,5.30065191085065,556.320744813204,42.3977726305527
"Substrate D",365.471056167982,1.33218695194388,401.900449455931,3.18796251094733,321.481123864107,6.76485184768433
