"Sub. type","ID","Inoc. mass [g]","Sub. mass [g]","Total mass [g]","Sub. VS conc. [g/kg]","Inoc. VS conc. [g/kg]","Initial mass [g]","Final mass [g]","Cum total mass [g]","Cum biogas [mL]","xCH4 [mol/mol]","Cum CH4 [mL]"
"Cellulose","L1",142.37,1.6,467.76,22.3,989.19,465.68,465.66,2.1,1527,0.5,757
"Cellulose","L2",142.8,1.62,468.5,22.3,989.19,466.41,466.37,2.13,1571,0.51,800
"Cellulose","L3",145.19,1.64,470.55,22.3,989.19,468.43,468.41,2.14,1550,0.49,762
"FIC","C1",142.25,2.12,468.51,22.3,802.16,466.37,466.35,2.16,1704,0.58,987
"FIC","C2",146.13,2.14,471.9,22.3,802.16,469.76,469.73,2.17,1704,0.58,984
"FIC","C3",142.2,2.18,468.3,22.3,802.16,466.14,466.11,2.19,1718,0.58,990
"Inoculum","I1",406.51,0,729.5,22.3,NA,728.46,728.39,1.1,867,0.58,500
"Inoculum","I2",401.2,0,722.09,22.3,NA,720.99,720.92,1.16,949,0.61,582
"Inoculum","I3",416.59,0,740.53,22.3,NA,739.45,739.39,1.14,906,0.58,530
"Inoculum","I4",399.71,0,723.77,22.3,NA,722.76,722.71,1.06,846,0.59,498
"LBD","D1",143.09,3.79,471.15,22.3,861.15,468.07,468.01,3.14,2306,0.51,1169
"LBD","D2",142.92,3.78,472.1,22.3,861.15,469.04,469,3.1,2302,0.52,1194
"LBD","D3",144.13,3.78,472.51,22.3,861.15,469.47,469.42,3.09,2281,0.51,1169
