"method","descrip","elapsed.time","mean","se","sd","n","rate.crit.met","rsd","leak.l"
"gd03","Cellulose",18.2409722222222,343.306812569735,10.0182057489886,17.3520413579269,3,TRUE,5.05438305405089,FALSE
"gd03","FIC",27.9395833333333,446.542190538203,8.94258910927097,15.4890186884694,3,TRUE,3.46865738930536,FALSE
"gd03","LB",49.9388888888889,304.718251731374,3.78789768606792,6.56083124614222,3,TRUE,2.15308115246275,FALSE
