"id","cvCH4.vol","cvCH4.grav","cvCH4.gd"
"L1",467.278861550737,523.291195914022,296.626554922067
"L2",475.855106881259,524.284846510212,411.975287831822
"L3",468.188178787513,518.840712533809,410.295678295546
"C1",500.669179569773,504.460653331004,530.597668709684
"C2",492.911886830573,498.220097619053,533.478508142555
"C3",490.422338986027,496.338876828274,604.886057587374
"D1",365.149556593783,404.632500719048,317.819438708933
"D2",365.827910313964,401.865900530209,317.9913045678
"D3",365.435701596199,399.202947118534,328.632628315589
