"method","descrip","time.d","mean","se","sd","n"
"man","A",0,0,0,0,3
"man","A",0.874305555555556,18.6719198277542,0.110486945807472,0.191369003711651,3
"man","A",2.01388888888889,44.5257859786441,0.70984279555965,1.22948378729604,3
"man","A",2.85,67.0163191522552,1.48129817806879,2.56568370557435,3
"man","A",4.15138888888889,110.58248658166,2.81685162108825,4.8789301251076,3
"man","A",5.14513888888889,149.54631023135,3.7075033831434,6.42158422883786,3
"man","A",5.93194444444444,176.863985158522,3.47468768234192,6.01833560624995,3
"man","A",7.13194444444444,193.887608520391,1.44354194061351,2.50028798399918,3
"man","A",9.11111111111111,209.588188879231,1.82930584280447,3.16845066231995,3
"man","A",15.2194444444444,231.854258256027,2.22134130445195,3.8474760002621,3
"man","A",20.9194444444444,245.41975534039,2.40130668353461,4.15918518043666,3
"man","C3",0,0,0,0,3
"man","C3",0.874305555555556,16.5804415442893,0.587557575386169,1.01767957294083,3
"man","C3",2.01388888888889,43.0997196613425,0.934408923033325,1.61844372973943,3
"man","C3",2.85,65.9052216706633,1.22619065258117,2.12382451003662,3
"man","C3",4.15138888888889,110.573609884637,1.09526946849724,1.89706236741618,3
"man","C3",5.14513888888889,147.964802661797,1.96275198550403,3.39958616154968,3
"man","C3",5.93194444444444,174.626957830735,4.18045461720557,7.24075979573595,3
"man","C3",7.13194444444444,189.547641795926,5.50036890947109,9.52691841157615,3
"man","C3",8.19375,198.562388531147,5.87536735614353,10.1764347739722,3
"man","C3",11.9569444444444,206.71561256233,7.44615969294438,12.8971269094511,3
"man","C3",20.9194444444444,211.955534708078,7.29758153652647,12.6397819936404,3
"man","C4",0,0,0,0,3
"man","C4",0.874305555555556,16.6380027997978,1.33565343844279,2.31341961668697,3
"man","C4",2.01388888888889,41.939586802204,1.77973188770081,3.08258605334827,3
"man","C4",2.85,64.5255502291595,1.80857617131681,3.1325458180791,3
"man","C4",4.15138888888889,107.131059158315,2.51474126459652,4.35565963817118,3
"man","C4",5.14513888888889,143.119615425849,4.34642924938562,7.52823629143936,3
"man","C4",5.93194444444444,172.774074818164,4.55777365995029,7.89429554843305,3
"man","C4",7.13194444444444,192.602920637362,4.46659699011555,7.73637292381435,3
"man","C4",9.11111111111111,206.785687300415,4.12771299128196,7.14940861996247,3
"man","C4",11.9569444444444,216.297832204071,3.63786788197376,6.30097200280153,3
"man","C4",16.1291666666667,225.821848927357,3.84034281695629,6.65166887745047,3
"man","C4",20.9194444444444,233.999680668525,4.32902450466091,7.49809038928339,3
"man","C5",0,0,0,0,3
"man","C5",0.874305555555556,14.6712300830934,1.16345004868977,2.01515459639916,3
"man","C5",2.01388888888889,40.6333618889799,1.53704800497048,2.66224523828125,3
"man","C5",2.85,65.2377415029576,1.68963054548741,2.92652595080451,3
