"id","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","time.d","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","xCH4.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"A1","14022017",0,1230,"1230",0,0,0,385.27,385.27,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,190.544,30,101.325,101.325,1,101.325,1,20,0,-8.96294298839172,0,-8.96294298839172,0,NA,NA
"A1","15022017",1,1016,"0929",187,92.2,0.3,385.26,385.04,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,0.4615,190.544,30,193.525,101.625,0.525125952719287,101.325,1,30,0,156.195962108907,72.0844365132607,147.233019120516,72.0844365132607,178.65145785292,82.4476477991227
"A1","16022017",2,1325,"1250",201,99.1,0.3,385.04,384.8,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,0.5443,190.544,30,200.425,101.625,0.507047524011476,101.625,0.525125952719287,30,0.4615,163.949984626207,89.2379766320443,311.183003746722,161.322413145305,143.868359452613,78.3075480500572
"A1","17022017",3,932,"0854",165,77.7,0.4,384.8,384.62,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,0.5829,190.544,30,179.025,101.725,0.568216729507052,101.625,0.507047524011476,30,0.5443,127.56580455573,74.3581074755349,438.748808302452,235.68052062084,152.570397475292,88.9332846883474
"A1","18022017",4,1644,"1608",257,125.5,0.4,384.6,384.36,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,0.6854,190.544,30,226.825,101.725,0.448473492780778,101.725,0.568216729507052,30,0.5829,208.815732023347,143.122302728802,647.564540325799,378.802823349642,160.456058758602,109.976582673145
"A1","19022017",5,1634,"1559",230,108.7,0.3,384.36,384.12,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,0.727,190.544,30,210.025,101.625,0.483870967741935,101.725,0.448473492780778,30,0.6854,179.490724000938,130.489756348682,827.055264326737,509.292579698324,180.619596478932,131.310446640183
"A1","20022017",6,1121,"1052",171,82.3,0.3,384.13,383.97,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,0.7242,190.544,30,183.625,101.625,0.553437712729748,101.625,0.483870967741935,30,0.727,135.191400905588,97.9056125358271,962.246665232326,607.198192234151,171.823139721136,124.434317786047
"A1","21022017",7,1605,"1540",124,58.7,0.3,383.98,383.86,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,7.13194444444444,0.720420850708924,190.544,30,160.025,101.625,0.635057022340259,101.625,0.553437712729748,30,0.7242,95.712707156629,68.9534299134328,1057.95937238895,676.151622147584,79.7605892971908,57.4611915945273
"A1","23022017",9,1531,"1510",102,48.5,0.1,383.85,383.75,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,9.11111111111111,0.714187878787879,190.544,30,149.825,101.425,0.676956449190723,101.625,0.635057022340259,30,0.720420850708924,79.0219175396111,56.4364956653656,1136.98128992857,732.588117812949,39.9268635989614,28.5152820203952
"A1","01032017",15,1750,"1746",158,76.4,0.2,383.74,383.59,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,15.2194444444444,0.694950959132611,190.544,30,177.725,101.525,0.571247714165143,101.425,0.676956449190723,30,0.714187878787879,126.928500334117,88.2090830484583,1263.90979026268,820.797200861408,20.7795634926248,14.4407775795566
