"exp","bottle","date.time","time","pres","pres.resid","xCH4.p","headspace.p","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg.p","vCH4.p","cvBg.p","cvCH4.p","rvBg.p","rvCH4.p","mass","xCH4.m","headspace.m","massloss","cmassloss","vBg.m","vCH4.m","cvBg.m","cvCH4.m","rvBg.m","rvCH4.m","err.m"
"TSR1",10,"2016-04-28 10:30:00.00",1.89583333333333,1.24,1.003,0.113207547169811,503.043333333333,0.808870967741935,1.008,1,22,71.2326443354056,8.09540100335177,71.2326443354056,8.09540100335177,NA,NA,471.05,0.113207547169811,503.043333333333,0.129999999999995,0.129999999999995,178.6549876896,20.303665265973,178.6549876896,20.303665265973,94.2355979022066,10.709625634799,150.804935512974
"TSR1",10,"2016-04-29 16:00:00.00",3.125,1.086,1.005,0.158685369496325,503.043333333333,0.925414364640884,1.003,0.808870967741935,35,32.268576026187,5.13941977042014,103.501220361593,13.2348207737719,26.2524008348639,4.18122286407061,471.01,0.158685369496325,503.043333333333,0.0400000000000205,0.170000000000016,22.1313931848681,3.52486950737916,200.786380874468,23.8285347733522,18.0052012351469,2.86769044668134,-31.4150300065681
"TSR1",10,"2016-05-04 14:30:00.00",8.0625,1.104,1.007,0.205204662510165,503.043333333333,0.91213768115942,1.008,0.958174904942966,35,41.7694477680533,8.60111749872126,177.036023501962,27.5452976938302,19.4653737171511,4.00828776639438,470.95,0.205204662510165,503.043333333333,0.0600000000000023,0.230000000000018,34.3125444316922,7.06560038753497,235.09892530616,30.8941351608871,6.94937608743134,1.4310076734248,-17.852530341721
"TSR1",11,"2016-04-28 10:30:00.00",1.89583333333333,1.329,1.003,0.225317492830807,508.8,0.754702784048156,1.008,1,22,112.187694563614,25.363594847456,112.187694563614,25.363594847456,NA,NA,467.69,0.225317492830807,508.8,0.199999999999989,0.199999999999989,200.305485506125,45.2854227895695,200.305485506125,45.2854227895695,105.655640706528,23.8868164164763,78.5449699142769
"TSR1",11,"2016-04-29 16:00:00.00",3.125,1.347,1.005,0.269290531758478,508.8,0.746102449888641,1.003,0.754702784048156,35,148.99221129356,40.2505399499411,261.179905857173,65.6141347973972,121.214002408319,32.7462019931724,467.46,0.269290531758478,508.8,0.230000000000018,0.430000000000007,137.912195014054,37.2572516831772,338.21768052018,82.5426744727467,112.199751875841,30.3109844202119,-7.43664127359937
"TSR1",11,"2016-04-30 13:20:00.00",4.01388888888889,1.135,1.005,0.389965327350602,508.8,0.885462555066079,1.005,0.746102449888641,35,52.2602720475161,20.4340921061013,313.44017790469,86.0482269034985,58.7928060534555,22.9883536193639,467.39,0.389965327350602,508.8,0.0699999999999932,0.5,46.1891433726649,18.0602429532093,384.406823892844,100.602917425956,51.9627862942479,20.3177733223604,-11.6171011688021
"TSR1",11,"2016-05-02 11:00:00.00",5.91666666666667,1.154,1.008,0.447960581986652,508.8,0.873483535528596,1.005,0.885462555066079,35,64.326409020875,28.885281295438,377.766586925564,114.933508198937,33.8065799233795,15.1805857903032,467.27,0.447960581986652,508.8,0.120000000000005,0.620000000000005,83.1941477128655,37.3576948472361,467.60097160571,137.960612273192,43.722471790703,19.6332410875985,29.3312482061102
"TSR1",11,"2016-05-04 14:30:00.00",8.0625,1.13,1.007,0.335477318889641,508.8,0.891150442477876,1.008,0.873483535528596,35,51.8485518181519,17.4446007418097,429.615138743716,132.378108940746,24.1624319152553,8.12952267579484,467.21,0.335477318889641,508.8,0.0600000000000023,0.680000000000007,37.8735433893631,12.7426672479161,505.474514995073,150.703279521108,17.6498066280527,5.93833036796093,-26.9535173861813
"TSR1",1,"2016-04-28 10:30:00.00",1.89583333333333,1.512,1.003,0.418909825033647,491.343333333333,0.663359788359788,1.008,1,22,188.0416881654,78.9727706140514,188.0416881654,78.9727706140514,NA,NA,488.64,0.418909825033647,491.343333333333,0.25,0.25,195.90402645079,82.2747545728217,195.90402645079,82.2747545728217,103.333991974043,43.3976727417082,4.18116767728383
"TSR1",1,"2016-04-29 16:00:00.00",3.125,1.697,1.005,0.436393114328531,491.343333333333,0.592221567472009,1.003,0.663359788359788,35,294.104559646874,128.661649950013,482.146247812273,207.634420564065,239.271506153388,104.673884705095,488.23,0.436393114328531,491.343333333333,0.409999999999968,0.659999999999968,281.402825557552,123.105034074623,477.306852008342,205.379788647445,228.937891979025,100.15324806071,-4.31878176406807
"TSR1",1,"2016-04-30 13:20:00.00",4.01388888888889,1.389,1.005,0.441323648103309,491.343333333333,0.723542116630669,1.005,0.592221567472009,35,157.364567583124,69.6184346865081,639.510815395397,277.252855250573,177.035138531014,78.3207390223215,488.01,0.441323648103309,491.343333333333,0.220000000000027,0.879999999999995,151.643337182774,67.0873496330519,628.950189191116,272.467138280497,170.59875433062,75.4732683371833,-3.63565349444239
"TSR1",1,"2016-05-02 11:00:00.00",5.91666666666667,1.665,1.008,0.50138339661251,491.343333333333,0.605405405405405,1.005,0.723542116630669,35,280.754670279157,141.072690937063,920.265485674554,418.325546187636,147.549899708754,74.1403923172886,487.63,0.50138339661251,491.343333333333,0.379999999999995,1.25999999999999,276.342198158203,138.85552633863,905.292387349319,411.322664619126,145.230936258325,72.975167126871,-1.57164691741975
