"id","date","day","time","vol","mass.init","mass.final","notes","date.time","start.time","time.d","vol.hs","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"C1","12112018",0,"1230",0,188.87815,188.87815,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,79.0116,20,30,1013.25,1500,0,0,0,0,0,0,0,0,0.600895833111231,"",0,0,NA,NA
"C1","13112018",0.840277777773736,"0840",138,188.8779,188.7113,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,79.0116,20,30,1013.25,1500,0.166850000000011,0.166600000000017,0.000249999999994088,0.166850000000011,0.000249999999994088,0.166600000000017,125.608160730217,125.608160730217,0.600895833111231,"",75.4774203875534,75.4774203875534,149.484092108688,89.8243680645263
"C1","14112018",1.84375,"0845",172.9,188.7118,188.5119,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,79.0116,20,30,1013.25,1500,0.199399999999997,0.199900000000014,-0.000500000000016598,0.366250000000008,-0.00025000000002251,0.36650000000003,157.374282538077,282.982443268294,0.600895833111231,"",94.5655506159998,170.042971003553,156.829734847633,94.2383341778822
"C1","15112018",2.85069444444525,"0855",165.5,188.507,188.328,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,79.0116,20,30,1013.25,1500,0.183899999999994,0.179000000000002,0.00489999999999213,0.550150000000002,0.00464999999996962,0.545500000000033,150.638772469935,433.621215738229,0.600895833111231,"",90.5182106821745,260.561181685728,149.599884383935,89.8939471602285
"C1","16112018",3.80902777777374,"0755",101.16,188.3279,188.2215,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,79.0116,20,30,1013.25,1500,0.106500000000011,0.106400000000008,0.00010000000000332,0.656650000000013,0.00474999999997294,0.65190000000004,92.0762430396289,525.697458777857,0.600895833111231,"",55.32823077105,315.889412456778,96.0795579543954,57.7338060219652
"C1","17112018",4.86111111110949,"0910",60.7,188.22,188.1519,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,79.0116,20,30,1013.25,1500,0.0695999999999799,0.0680999999999869,0.00149999999999295,0.726249999999993,0.00624999999996589,0.720000000000027,55.2493866400304,580.946845417888,0.600895833111231,"",33.1991262139456,349.088538670723,52.5142684895339,31.5556051142453
"C1","18112018",5.85902777777665,"0907",38,188.1555,188.113,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,79.0116,20,30,1013.25,1500,0.0389000000000124,0.0424999999999898,-0.0035999999999774,0.765150000000006,0.00264999999998849,0.762500000000017,34.5877544039729,615.534599821861,0.600895833111231,"",20.7836374980219,369.872176168745,34.6599626595135,20.8270271378925
"C1","19112018",6.8395833333343,"0839",29.5,188.1089,188.0759,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,79.0116,20,30,1013.25,1500,0.0371000000000095,0.0330000000000155,0.004099999999994,0.802250000000015,0.00674999999998249,0.795500000000033,26.8510198662421,642.385619688103,0.600895833111231,"",16.1346659524118,386.006842121157,27.3834763508418,16.4546168353208
"C1","21112018",8.91666666666424,"1030",41,188.0801,188.0343,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,79.0116,20,30,1013.25,1500,0.0415999999999883,0.0457999999999856,-0.00419999999999732,0.843850000000003,0.00254999999998518,0.841300000000018,37.3183665937602,679.703986281863,0.600895833111231,"",22.4244509847079,408.431293105865,17.966716113345,10.7961248472014
"C1","23112018",10.878472222219,"0935",30,188.039,188.0061,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,79.0116,20,30,1013.25,1500,0.0281999999999982,0.0328999999999837,-0.00469999999998549,0.872050000000002,-0.00215000000000032,0.874200000000002,27.3061218978733,707.010108179736,0.600895833111231,"",16.4081348668594,424.839427972724,13.9188727550222,8.36379264009826
"C1","25112018",13.125,"1530",24.33,188.005,187.9777,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,79.0116,20,30,1013.25,1500,0.0284000000000049,0.0272999999999968,0.00110000000000809,0.900450000000006,-0.00104999999999222,0.901499999999999,22.1452648591753,729.155373038912,0.600895833111231,"",13.306997377023,438.146425349747,9.85755220933922,5.92336204726835
"C1","28112018",15.8541666666642,"0900",23,187.9773,187.9509,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,79.0116,20,30,1013.25,1500,0.0268000000000086,0.0264000000000237,0.000399999999984857,0.927250000000015,-0.000650000000007367,0.927900000000022,20.9346934550362,750.090066493948,0.600895833111231,"",12.5795700645922,450.725995414339,7.6707273728377,4.60930811527044
"C1","01122018",18.909722222219,"1020",19.1,187.9522,187.9304,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,79.0116,20,30,1013.25,1500,0.0204999999999984,0.0218000000000131,-0.00130000000001473,0.947750000000013,-0.0019500000000221,0.949700000000036,17.3848976083127,767.474964102261,0.600895833111231,"",10.4465125319005,461.17250794624,5.68960285362961,3.4188586468038
