"id","date","elapsed.time","day","time","vol","mass.init","mass.final","notes","date.time","start.time","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temp.vol","temp.grav","pres.vol","pres.grav","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","method","xCH4_gd03"
"L1","12112018",0,0,"1230",0,185.2874,185.2874,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,"L",0,0,0,0,0,0,20,30,1013.25,1500,0,0,0.496972892058111,"",0,0,NA,NA,"gd03",0.496972892058111
"L1","13112018",0.840277777777778,0.840277777773736,"0840",30,185.287,185.2481,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,"L",0.0392999999999972,0.0389000000000124,0.000399999999984857,0.0392999999999972,0.0389000000000124,0.000399999999984857,20,30,1013.25,1500,28.6228840433925,28.6228840433925,0.496972892058111,"",14.2560917457402,14.2560917457402,34.0635975392439,16.9659273668313,"gd03",0.496972892058111
"L1","14112018",1.84375,1.84375,"0845",48.5,185.2492,185.1973,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,"L",0.0507999999999811,0.0518999999999892,-0.00110000000000809,0.0900999999999783,0.0908000000000015,-0.000700000000023238,20,30,1013.25,1500,36.9985371349592,65.6214211783517,0.496972892058111,"",18.4277216458876,32.6838133916277,36.8705145151151,18.3639579031682,"gd03",0.496972892058111
"L1","15112018",2.85069444444444,2.85069444444525,"0855",156,185.194,185.0059,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,"L",0.191400000000016,0.188099999999991,0.00330000000002428,0.281499999999994,0.278899999999993,0.00260000000000105,20,30,1013.25,1500,139.400000150284,205.021421328635,0.496972892058111,"",69.4304315556001,102.114244947228,138.438620838902,68.9516009931477,"gd03",0.496972892058111
"L1","16112018",3.80902777777778,3.80902777777374,"0755",186,185.0063,184.7724,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,"L",0.233499999999992,0.233900000000006,-0.000400000000013279,0.514999999999986,0.512799999999999,0.00219999999998777,20,30,1013.25,1500,170.062173642046,375.083594970681,0.496972892058111,"",84.7022244944136,186.816469441641,177.4561811917,88.3849299072142,"gd03",0.496972892058111
"L1","17112018",4.86111111111111,4.86111111110949,"0910",128.5,184.7718,184.6023,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,"L",0.170099999999991,0.169499999999999,0.000599999999991496,0.685099999999977,0.682299999999998,0.00279999999997926,20,30,1013.25,1500,123.886833989342,498.970428960023,0.496972892058111,"",61.703847479655,248.520316921296,117.753822405711,58.6492015648206,"gd03",0.496972892058111
"L1","18112018",5.85902777777778,5.85902777777665,"0907",67,184.6049,184.5165,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,"L",0.0858000000000061,0.0883999999999787,-0.00259999999997262,0.770899999999983,0.770699999999977,0.000200000000006639,20,30,1013.25,1500,62.4896552397817,561.460084199805,0.496972892058111,"",31.1239865594066,279.644303480703,62.6201138102196,31.1889635668375,"gd03",0.496972892058111
"L1","19112018",6.83958333333333,6.8395833333343,"0839",44.5,184.5132,184.4549,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,"L",0.0615999999999985,0.0583000000000027,0.00329999999999586,0.832499999999982,0.828999999999979,0.0035000000000025,20,30,1013.25,1500,44.8643678644544,606.324452064259,0.496972892058111,"",22.345426247777,301.98972972848,45.7540295501518,22.7885366832853,"gd03",0.496972892058111
"L1","21112018",8.91666666666667,8.91666666666424,"1030",52,184.4595,184.395,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,"L",0.059899999999999,0.0644999999999811,-0.00459999999998217,0.892399999999981,0.89349999999996,-0.00109999999997967,20,30,1013.25,1500,43.6262278422213,649.95067990648,0.496972892058111,"",21.7287505234066,323.718480251887,21.0036001647605,10.4611838026431,"gd03",0.496972892058111
"L1","23112018",10.8784722222222,10.878472222219,"0935",33.1,184.3988,184.3589,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,"L",0.0361000000000047,0.0398999999999887,-0.00379999999998404,0.928499999999985,0.933399999999949,-0.00489999999996371,20,30,1013.25,1500,26.2922675309586,676.242947437439,0.496972892058111,"",13.095290382222,336.813770634109,13.4020761927718,6.67512146916801,"gd03",0.496972892058111
