"id","date","elapsed.time","day","time","vol","mass.init","mass.final","notes","date.time","start.time","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak"
"L1","12112018",0,0,"1230",0,185.2874,185.2874,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,"L",0,0,0,0,0,0
"L1","13112018",0.840277777777778,0.840277777773736,"0840",30,185.287,185.2481,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,"L",0.0392999999999972,0.0389000000000124,0.000399999999984857,0.0392999999999972,0.0389000000000124,0.000399999999984857
"L1","14112018",1.84375,1.84375,"0845",48.5,185.2492,185.1973,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,"L",0.0507999999999811,0.0518999999999892,-0.00110000000000809,0.0900999999999783,0.0908000000000015,-0.000700000000023238
"L1","15112018",2.85069444444444,2.85069444444525,"0855",156,185.194,185.0059,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,"L",0.191400000000016,0.188099999999991,0.00330000000002428,0.281499999999994,0.278899999999993,0.00260000000000105
"L1","16112018",3.80902777777778,3.80902777777374,"0755",186,185.0063,184.7724,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,"L",0.233499999999992,0.233900000000006,-0.000400000000013279,0.514999999999986,0.512799999999999,0.00219999999998777
"L1","17112018",4.86111111111111,4.86111111110949,"0910",128.5,184.7718,184.6023,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,"L",0.170099999999991,0.169499999999999,0.000599999999991496,0.685099999999977,0.682299999999998,0.00279999999997926
"L1","18112018",5.85902777777778,5.85902777777665,"0907",67,184.6049,184.5165,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,"L",0.0858000000000061,0.0883999999999787,-0.00259999999997262,0.770899999999983,0.770699999999977,0.000200000000006639
"L1","19112018",6.83958333333333,6.8395833333343,"0839",44.5,184.5132,184.4549,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,"L",0.0615999999999985,0.0583000000000027,0.00329999999999586,0.832499999999982,0.828999999999979,0.0035000000000025
"L1","21112018",8.91666666666667,8.91666666666424,"1030",52,184.4595,184.395,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,"L",0.059899999999999,0.0644999999999811,-0.00459999999998217,0.892399999999981,0.89349999999996,-0.00109999999997967
"L1","23112018",10.8784722222222,10.878472222219,"0935",33.1,184.3988,184.3589,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,"L",0.0361000000000047,0.0398999999999887,-0.00379999999998404,0.928499999999985,0.933399999999949,-0.00489999999996371
"L1","25112018",13.125,13.125,"1530",25,184.3579,184.3274,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,"L",0.0314999999999941,0.0304999999999893,0.00100000000000477,0.95999999999998,0.963899999999938,-0.00389999999995894
"L1","28112018",15.8541666666667,15.8541666666642,"0900",22.66,184.3268,184.2988,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,"L",0.0286000000000115,0.0279999999999916,0.000600000000019918,0.988599999999991,0.99189999999993,-0.00329999999993902
"L1","01122018",18.9097222222222,18.909722222219,"1020",20.1,184.2999,184.2747,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,"L",0.0241000000000042,0.0252000000000123,-0.00110000000000809,1.0127,1.01709999999994,-0.00439999999994711
"L1","05122018",22.8611111111111,22.8611111111095,"0910",21.6,184.2694,184.2433,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,"L",0.0313999999999908,0.0260999999999854,0.00530000000000541,1.04409999999999,1.04319999999993,0.000900000000058299
"L1","09122018",27.1458333333333,27.1458333333285,"1600",21.1,184.243,184.217,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,"L",0.026299999999992,0.025999999999982,0.000300000000009959,1.07039999999998,1.06919999999991,0.00120000000006826
