"id","date","day","time","vol","mass.init","mass.final","notes","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"C1","12112018",0,"1230",0,188.87815,188.87815,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,20,30,1013.25,1500,0,0,0,0,0,0,0,0,0,"",0,0,NA,NA
"C1","13112018",0.840277777773736,"0840",138,188.8779,188.7113,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,20,30,1013.25,1500,0.166850000000011,0.166600000000017,0.000249999999994088,0.166850000000011,0.000249999999994088,0.166600000000017,125.608160730217,125.608160730217,0.533170727605645,"",66.9705944497367,66.9705944497367,149.484092108688,79.7005421550586
"C1","14112018",1.84375,"0845",172.9,188.7118,188.5119,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,20,30,1013.25,1500,0.199399999999997,0.199900000000014,-0.000500000000016598,0.366250000000008,-0.00025000000002251,0.36650000000003,157.374282538077,282.982443268294,0.582042995508216,"",91.5985988244185,158.569193274155,156.829734847633,91.2816486554758
"C1","15112018",2.85069444444525,"0855",165.5,188.507,188.328,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,20,30,1013.25,1500,0.183899999999994,0.179000000000002,0.00489999999999213,0.550150000000002,0.00464999999996962,0.545500000000033,150.638772469935,433.621215738229,0.618913478920369,"",93.2323667296611,251.801560003816,149.599884383935,92.5893848901461
"C1","16112018",3.80902777777374,"0755",101.16,188.3279,188.2215,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,20,30,1013.25,1500,0.106500000000011,0.106400000000008,0.00010000000000332,0.656650000000013,0.00474999999997294,0.65190000000004,92.0762430396289,525.697458777857,0.670063698893574,"",61.6969479913574,313.498507995174,96.0795579543954,64.3794239909817
"C1","17112018",4.86111111110949,"0910",60.7,188.22,188.1519,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,20,30,1013.25,1500,0.0695999999999799,0.0680999999999869,0.00149999999999295,0.726249999999993,0.00624999999996589,0.720000000000027,55.2493866400304,580.946845417888,0.587864067104004,"",32.4791291352099,345.977637130384,52.5142684895339,30.871251455249
"C1","18112018",5.85902777777665,"0907",38,188.1555,188.113,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,20,30,1013.25,1500,0.0389000000000124,0.0424999999999898,-0.0035999999999774,0.765150000000006,0.00264999999998849,0.762500000000017,34.5877544039729,615.534599821861,0.695558357168586,"",24.0578016313779,370.035438761762,34.6599626595135,24.1080266869758
"C1","19112018",6.8395833333343,"0839",29.5,188.1089,188.0759,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,20,30,1013.25,1500,0.0371000000000095,0.0330000000000155,0.004099999999994,0.802250000000015,0.00674999999998249,0.795500000000033,26.8510198662421,642.385619688103,0.49062409785212,"",13.1737573982844,383.209196160046,27.3834763508418,13.4349933806866
"C1","21112018",8.91666666666424,"1030",41,188.0801,188.0343,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,20,30,1013.25,1500,0.0415999999999883,0.0457999999999856,-0.00419999999999732,0.843850000000003,0.00254999999998518,0.841300000000018,37.3183665937602,679.703986281863,0.703486223909821,"",26.2529567975268,409.462152957573,17.966716113345,12.6393372746368
"C1","23112018",10.878472222219,"0935",30,188.039,188.0061,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,20,30,1013.25,1500,0.0281999999999982,0.0328999999999837,-0.00469999999998549,0.872050000000002,-0.00215000000000032,0.874200000000002,27.3061218978733,707.010108179736,0.76886582281803,"",20.9947438809778,430.456896838551,13.9188727550222,10.7017455534896
