substrate,BMP.lab,sd.lab,n.lab,n.tests,BMP.OBA,sd.OBA,n.lab.OBA,n.tests.OBA
descrip,mean.lab,sd.lab,n.lab,n.tests,mean.OBA,sd.OBA,n.lab.OBA,n.tests.OBA
CELL,345.5750799,24.49862682,32,72,340.9617647,25.10654924,28,68
SC,481.3371521,59.75253574,32,78,471.2986301,39.69600628,28,73
SD,276.3622025,31.54470543,28,63,273.8087719,31.8169894,24,57
