"descrip","grav_mean","grav_sd","man_mean","man_sd","gdi_mean","gdi_sd","gdt_mean","gdt_sd","gdtc_mean","gdtc_sd","gdv_mean","gdv_sd"
"C",506,6.2,485,23.7,502,9.4,502,9.4,515,10.8,NA,NA
"L",371,8.6,323,11.3,358,5.9,358,5.9,360,7,NA,NA
