"method","descrip","elapsed.time","mean","se","sd","n","leak.l","rsd"
"grav","C",27.1458333,502.668183155145,3.62732588996727,6.2827127370333,3,FALSE,1.24987276847283
"grav","L",27.1458333,368.401101279344,5.01695207694874,8.68961589641342,3,FALSE,2.35873776333378
