"method","descrip","mean","sd"
"gd03","C",503.266471127069,9.41764452610222
"gd03","L",358.540207377746,5.91959881918592
"grav","C",502.495612299005,6.26496998590613
"grav","L",368.188557830827,8.64985196299772
